Year,Location,Total Talks,Plenary Talks,Parallel Talks
2011,Annecy, France,4,0,0
2012,Washington DC, USA,539,62,164
2014,Darmstadt, Germany,626,31,0
2015,Kobe, Japan,26,0,0
2017,Chicago, USA,530,29,179
2019,Wuhan, China,584,44,184
2022,Krakow, Poland,790,36,198
2023,Houston, USA,570,37,0
2025,Frankfurt, Germany,867,40,151
