Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
,plenary,Flow - Theory perspective,"Schenke, Björn",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Björn', 'last_name': 'Schenke', 'fullName': 'Schenke, Björn', 'id': '1897269', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '4a88eb902ae580760430eaf0464746cf', 'db_id': 1897269, 'person_id': 2046839}"
Jets,plenary,Common discussion with 4 speakers,"Jacobs, Peter",Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Jacobs', 'fullName': 'Jacobs, Peter', 'id': '1896520', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': 'c59155bee7a6a6f2eaad7cde3c9bfaad', 'db_id': 1896520, 'person_id': 2046849}"
Jets,plenary,Common discussion with 4 speakers,"Gyulassy, Miklos",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Miklos', 'last_name': 'Gyulassy', 'fullName': 'Gyulassy, Miklos', 'id': '1896524', 'affiliation': 'Columbia University', 'emailHash': '75bd1b66eb51ce57862622cb3a7096f7', 'db_id': 1896524, 'person_id': 2046852}"
Jets,plenary,Recent R_{AA} Results from the PHENIX Experiment,"Purschke, Martin",BROOKHAVEN NATIONAL LABORATORY,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Purschke', 'fullName': 'Purschke, Martin', 'id': '1896525', 'affiliation': 'BROOKHAVEN NATIONAL LABORATORY', 'emailHash': '5a1e63662c4d847d39a29f3e15bb18f8', 'db_id': 1896525, 'person_id': 2046853}"
Jets,plenary,ATLAS jet measurements,"Cole, Brian","Physics Dept., Pupin Physics Lab.-Columbia University-Unknown",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Brian', 'last_name': 'Cole', 'fullName': 'Cole, Brian', 'id': '1896526', 'affiliation': 'Physics Dept., Pupin Physics Lab.-Columbia University-Unknown', 'emailHash': '5ac89c43538af2f10d3ef24f9575e165', 'db_id': 1896526, 'person_id': 2046854}"
Global and collective dynamics,plenary,Common discussion with 4 experimental speakers,"Heinz, Ulrich",Ohio State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ulrich', 'last_name': 'Heinz', 'fullName': 'Heinz, Ulrich', 'id': '1896531', 'affiliation': 'Ohio State University', 'emailHash': '602d974434483929bd8fae6487d9c5f2', 'db_id': 1896531, 'person_id': 2046859}"
"Experiments upgrade, future facilities and instrumentations",plenary,The high energy frontier of A-A,"Antinori, Federico","INFN Padova, Italy",Italy,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Federico', 'last_name': 'Antinori', 'fullName': 'Antinori, Federico', 'id': '1896662', 'affiliation': 'INFN Padova, Italy', 'emailHash': '27d75b57b1056243a3746809b71c96b6', 'db_id': 1896662, 'person_id': 2046968}"
,plenary,Overview of the experimental results by the ALICE Collaboration,"Schukraft, Juergen",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Juergen', 'last_name': 'Schukraft', 'fullName': 'Schukraft, Juergen', 'id': '1896671', 'affiliation': 'CERN', 'emailHash': 'b963dfdfdc88c708473351fe18a23d06', 'db_id': 1896671, 'person_id': 2046975}"
Global and collective dynamics,plenary,Collective flow measurements from the PHENIX Experiment,"Esumi, Shinichi",Institute of Physics - University of Tsukuba,UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shinichi', 'last_name': 'Esumi', 'fullName': 'Esumi, Shinichi', 'id': '1896528', 'affiliation': 'Institute of Physics - University of Tsukuba', 'emailHash': '1c014e38cae508f8b64e4ccaafc67c8b', 'db_id': 1896528, 'person_id': 2046856}"
,plenary,PHENIX Highlights,"Bathe, Stefan",RIKEN-BNL Research Center,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Stefan', 'last_name': 'Bathe', 'fullName': 'Bathe, Stefan', 'id': '1896660', 'affiliation': 'RIKEN-BNL Research Center', 'emailHash': 'fb2fcf06f68e13011a16d8f2b1475add', 'db_id': 1896660, 'person_id': 2046966}"
Jets,plenary,Jet measurements by the CMS experiment in pp and PbPb collisions,"Roland, Christof",Massachusetts Institute of Technology,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christof', 'last_name': 'Roland', 'fullName': 'Roland, Christof', 'id': '1896527', 'affiliation': 'Massachusetts Institute of Technology', 'emailHash': 'a99d816e356fb73352a8c599d4e8877d', 'db_id': 1896527, 'person_id': 2046855}"
Hadron thermodynamics and chemistry,plenary,Production of identified particles in pp and PbPb collisions at LHC energies with the ALICE detector,"Floris, Michele",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michele', 'last_name': 'Floris', 'fullName': 'Floris, Michele', 'id': '1896990', 'affiliation': 'CERN', 'emailHash': '7f14819573003fee7a660207016e3e0c', 'db_id': 1896990, 'person_id': 2047238}"
,plenary,Femtoscopy of PbPb and pp collisions at the LHC with the ALICE experiment,"Kisiel, Adam",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Adam', 'last_name': 'Kisiel', 'fullName': 'Kisiel, Adam', 'id': '1897268', 'affiliation': 'CERN', 'emailHash': '02a0e8f22cc1122baa1d0d1f7988350d', 'db_id': 1897268, 'person_id': 2047053}"
Correlations and fluctuations,plenary,Results from correlation studies in ALICE,"Grosse-Oetringhaus, Jan Fiete",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jan Fiete', 'last_name': 'Grosse-Oetringhaus', 'fullName': 'Grosse-Oetringhaus, Jan Fiete', 'id': '1896612', 'affiliation': 'CERN', 'emailHash': '900666055e79df1d031db015aaa505bd', 'db_id': 1896612, 'person_id': 2046927}"
Jets,plenary,Nuclear modification factors from the CMS experiment,"Lee, Yen-Jie",Massachusetts Inst. of Technology (MIT),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yen-Jie', 'last_name': 'Lee', 'fullName': 'Lee, Yen-Jie', 'id': '1896530', 'affiliation': 'Massachusetts Inst. of Technology (MIT)', 'emailHash': '8037f2f5eb66457d78bbe8b4f5515d4d', 'db_id': 1896530, 'person_id': 2046858}"
Global and collective dynamics,plenary,Flow measurements from the CMS experiment,"Velkovska, Julia",Vanderbilt University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Julia', 'last_name': 'Velkovska', 'fullName': 'Velkovska, Julia', 'id': '1896994', 'affiliation': 'Vanderbilt University', 'emailHash': '6f8dcac38932897c936ddb727c7bce6f', 'db_id': 1896994, 'person_id': 2047242}"
,plenary,Overview of the experimental results by the CMS Collaboration,"Wyslouch, Bolek",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bolek', 'last_name': 'Wyslouch', 'fullName': 'Wyslouch, Bolek', 'id': '1896661', 'affiliation': 'MIT', 'emailHash': 'fddd61dcdb342245e2b3b4cf6c856d3a', 'db_id': 1896661, 'person_id': 2046967}"
Jets,plenary,Quenching of single hadron and photon spectra from RHIC to LHC,"Arleo, Francois",lapp-Laboratoire d'Annecy-le-Vieux de Physique des Particules-In,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Francois', 'last_name': 'Arleo', 'fullName': 'Arleo, Francois', 'id': '1896993', 'affiliation': ""lapp-Laboratoire d'Annecy-le-Vieux de Physique des Particules-In"", 'emailHash': 'b7c6989b90a1ff2e27dfa31cbd641fd4', 'db_id': 1896993, 'person_id': 2047241}"
Heavy flavor and quarkonia production,plenary,Heavy-flavor production in PbPb collisions at the LHC measured with the ALICE detector,"Dainese, Andrea",INFN Padova,Italy,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrea', 'last_name': 'Dainese', 'fullName': 'Dainese, Andrea', 'id': '1896519', 'affiliation': 'INFN Padova', 'emailHash': '454d015e169785de696fba891c60e956', 'db_id': 1896519, 'person_id': 2046848}"
Global and collective dynamics,plenary,ATLAS flow,"Jia, Jiangyong",Brookhaven National Laboratory (BNL)- Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jiangyong', 'last_name': 'Jia', 'fullName': 'Jia, Jiangyong', 'id': '1896529', 'affiliation': 'Brookhaven National Laboratory (BNL)- Stony Brook University', 'emailHash': '3d951a186ae4e1d5ce26f3dd3683cd17', 'db_id': 1896529, 'person_id': 2046857}"
Heavy flavor and quarkonia production,plenary,PHENIX heavy flavor,"daSilva, Cesar luiz",Los Alamos National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Cesar luiz', 'last_name': 'daSilva', 'fullName': 'daSilva, Cesar luiz', 'id': '1896818', 'affiliation': 'Los Alamos National Lab', 'emailHash': '2031058b2a06b3e222fb1fae6661e1ff', 'db_id': 1896818, 'person_id': 2047096}"
Heavy flavor and quarkonia production,plenary,Quarkonia measurements by the CMS experiment in pp and PbPb collisions,"Silvestre, Catherine","Los Alamos National Laboratory (LANL)-Laboratoire de Physique Subatomique  et Cosmologie (LPSC, Grenoble)",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Catherine', 'last_name': 'Silvestre', 'fullName': 'Silvestre, Catherine', 'id': '1896819', 'affiliation': 'Los Alamos National Laboratory (LANL)-Laboratoire de Physique Subatomique  et Cosmologie (LPSC, Grenoble)', 'emailHash': '521511cdbab79c1a7ad10cc3c0c49459', 'db_id': 1896819, 'person_id': 2047097}"
Correlations and fluctuations,plenary,Correlations and fluctuations from  lattice QCD,"Mukherjee, Swagato",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Swagato', 'last_name': 'Mukherjee', 'fullName': 'Mukherjee, Swagato', 'id': '1896820', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '6567fbf8f5b7e140f7a1b81fe83d35b2', 'db_id': 1896820, 'person_id': 2047098}"
Pre-equilibrium and initial state physics,plenary,Initial conditions - Theory perspectives,"Lopez Albacete, Javier",IPhT CEA/Saclay,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Javier', 'last_name': 'Lopez Albacete', 'fullName': 'Lopez Albacete, Javier', 'id': '1896951', 'affiliation': 'IPhT CEA/Saclay', 'emailHash': 'ee631630092647ca93095bb8093a4707', 'db_id': 1896951, 'person_id': 2047196}"
Heavy flavor and quarkonia production,plenary,Quarkonium measurements at the LHC with the ALICE detector,"Martinez-Garcia, Gines",Laboratoire de Physique Subatomique et des Technologies Associees,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gines', 'last_name': 'Martinez-Garcia', 'fullName': 'Martinez-Garcia, Gines', 'id': '1896984', 'affiliation': 'Laboratoire de Physique Subatomique et des Technologies Associees', 'emailHash': 'de232484b6da412ddf700209107efa23', 'db_id': 1896984, 'person_id': 2047234}"
Heavy flavor and quarkonia production,plenary,Common discussion with 3 speakers,"Kharzeev, Dima",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dima', 'last_name': 'Kharzeev', 'fullName': 'Kharzeev, Dima', 'id': '1896985', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'ec0097a6784fdedad8ac0d7937cbb7de', 'db_id': 1896985, 'person_id': 2046837}"
Hadron thermodynamics and chemistry,plenary,Hadrochemistry – theory status,Unknown,Unknown,Unknown,
Heavy flavor and quarkonia production,plenary,Common discussion with 2 speakers,"Kharzeev, Dmitri",Stony Brook U./BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dmitri', 'last_name': 'Kharzeev', 'fullName': 'Kharzeev, Dmitri', 'id': '1896986', 'affiliation': 'Stony Brook U./BNL', 'emailHash': 'ec0097a6784fdedad8ac0d7937cbb7de', 'db_id': 1896986, 'person_id': 2046837}"
Correlations and fluctuations,plenary,Correlations and fluctuations measured by the CMS experiment in pp and PbPb collisions,"Li, Wei",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wei', 'last_name': 'Li', 'fullName': 'Li, Wei', 'id': '1896989', 'affiliation': 'MIT', 'emailHash': '3f83a710094cb6c25481f2368b33bfbf', 'db_id': 1896989, 'person_id': 2047237}"
Jets,plenary,Monte Carlo tools for jet quenching,"Zapp, Korinna",University of Heidelberg,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Korinna', 'last_name': 'Zapp', 'fullName': 'Zapp, Korinna', 'id': '1896991', 'affiliation': 'University of Heidelberg', 'emailHash': '8df9ceea916fdf93641274909aadc3b2', 'db_id': 1896991, 'person_id': 2047239}"
Jets,plenary,Particle production at large transverse momentum with ALICE,"Appelshaeuser, Harald",Johann-Wolfgang-Goethe Univ.,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Harald', 'last_name': 'Appelshaeuser', 'fullName': 'Appelshaeuser, Harald', 'id': '1896992', 'affiliation': 'Johann-Wolfgang-Goethe Univ.', 'emailHash': '1d25618e6a30442de8aee1759d3bc217', 'db_id': 1896992, 'person_id': 2047240}"
Global and collective dynamics,plenary,Anisotropic flow from ALICE,"Snellings, Raimond","Nikhef, Amsterdam,The Netherlands",Netherlands,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Raimond', 'last_name': 'Snellings', 'fullName': 'Snellings, Raimond', 'id': '1896995', 'affiliation': 'Nikhef, Amsterdam,The Netherlands', 'emailHash': '57a3a64426bf6b8fc01effb907a04a56', 'db_id': 1896995, 'person_id': 2047243}"
Global and collective dynamics,plenary,Common discussion with 3 speakers,"Mueller, Bernd",Duke University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bernd', 'last_name': 'Mueller', 'fullName': 'Mueller, Bernd', 'id': '1896996', 'affiliation': 'Duke University', 'emailHash': 'e51bc35ff8b893a5b108a7694d341c8f', 'db_id': 1896996, 'person_id': 2047244}"
Pre-equilibrium and initial state physics,plenary,Bulk properties of PbPb collisions at the LHC measured by ALICE,"Toia, Alberica",Organisation européenne pour la recherche nucléaire (CERN),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alberica', 'last_name': 'Toia', 'fullName': 'Toia, Alberica', 'id': '1896997', 'affiliation': 'Organisation européenne pour la recherche nucléaire (CERN)', 'emailHash': 'b83dac0d26a3ed311a640a2581980859', 'db_id': 1896997, 'person_id': 2047245}"
Heavy flavor and quarkonia production,plenary,Applying the AdS/CFT correspondence to non-abelian plasmas,"Mateos, David",ICREA & U. Barcelona,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'David', 'last_name': 'Mateos', 'fullName': 'Mateos, David', 'id': '1896999', 'affiliation': 'ICREA & U. Barcelona', 'emailHash': '505a9f74d6d516313dc87e0d44034ffd', 'db_id': 1896999, 'person_id': 2047247}"
Jets,plenary,STAR  on reconstructed jets and jet-like correlations,"Caines, Helen Louise",Yale University-Unknown-Unknown,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Helen Louise', 'last_name': 'Caines', 'fullName': 'Caines, Helen Louise', 'id': '1897000', 'affiliation': 'Yale University-Unknown-Unknown', 'emailHash': '9eda5e282eeac6b806d1007ba123d4a6', 'db_id': 1897000, 'person_id': 2047248}"
"Experiments upgrade, future facilities and instrumentations",plenary,Physics opportunities of e-A colliders,"Stasto, Anna",Penn State University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anna', 'last_name': 'Stasto', 'fullName': 'Stasto, Anna', 'id': '1897329', 'affiliation': 'Penn State University', 'emailHash': '9b58fe14ae3b9096a6df3cc8c33c5585', 'db_id': 1897329, 'person_id': 2047475}"
"Experiments upgrade, future facilities and instrumentations",plenary,The low energy frontier of A-A,"Bleicher, Marcus",Uni Frankfurt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marcus', 'last_name': 'Bleicher', 'fullName': 'Bleicher, Marcus', 'id': '1897330', 'affiliation': 'Uni Frankfurt', 'emailHash': '76f0eb719f1c14cbd860802662dd22e7', 'db_id': 1897330, 'person_id': 2046979}"
"Experiments upgrade, future facilities and instrumentations",plenary,Physics opportunities of future p-A runs,"Salgado Lopez, Carlos Albert",Universidade de Santiago de Compostela,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Carlos Albert', 'last_name': 'Salgado Lopez', 'fullName': 'Salgado Lopez, Carlos Albert', 'id': '1897331', 'affiliation': 'Universidade de Santiago de Compostela', 'emailHash': 'b9519e16d379671cf48b190c7145a31a', 'db_id': 1897331, 'person_id': 2047471}"
