Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
,plenary,LHC accelerator,"Myers, Steve",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Steve', 'last_name': 'Myers', 'fullName': 'Myers, Steve', 'id': '1896591', 'affiliation': 'CERN', 'emailHash': '4e0997b1c1a67d1fa12a60bf12278abd', 'db_id': 1896591, 'person_id': 2046911}"
,plenary,Theory overview,"Rajagopal, Krishna",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Krishna', 'last_name': 'Rajagopal', 'fullName': 'Rajagopal, Krishna', 'id': '1896592', 'affiliation': 'MIT', 'emailHash': '2c68a5f0ec1dce250f21eee4b240232f', 'db_id': 1896592, 'person_id': 2046912}"
,plenary,STAR highlights,"Masui, Hiroshi",LBNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hiroshi', 'last_name': 'Masui', 'fullName': 'Masui, Hiroshi', 'id': '1896593', 'affiliation': 'LBNL', 'emailHash': 'c88e4d4b9d3060b28ccb16289c199c74', 'db_id': 1896593, 'person_id': 2046860}"
,plenary,Fluctuations & correlations – TH perspective,"Luzum, Matthew",IPhT CEA/Saclay,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Luzum', 'fullName': 'Luzum, Matthew', 'id': '1896609', 'affiliation': 'IPhT CEA/Saclay', 'emailHash': 'ffd480ebb0ec5ba85204185c2bb4ee89', 'db_id': 1896609, 'person_id': 2046924}"
,plenary,Common discussion with 4 speakers,"Redlich, Krzysztof","University of Wroclaw, Institute of Theoretical Physics",Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Krzysztof', 'last_name': 'Redlich', 'fullName': 'Redlich, Krzysztof', 'id': '1896610', 'affiliation': 'University of Wroclaw, Institute of Theoretical Physics', 'emailHash': 'c06cef80b1d949c64e6a7368c3955218', 'db_id': 1896610, 'person_id': 2046925}"
,plenary,Common discussion with 4 speakers,"Koch, Volker",Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Volker', 'last_name': 'Koch', 'fullName': 'Koch, Volker', 'id': '1896613', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': 'e688fe295d6b13fb761f0b6256488e97', 'db_id': 1896613, 'person_id': 2046928}"
,plenary,STAR correlations and fluctuations,"Sorensen, Paul",BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Sorensen', 'fullName': 'Sorensen, Paul', 'id': '1896614', 'affiliation': 'BNL', 'emailHash': '9b09759a9c50bc0cc44b08c1b36c96b5', 'db_id': 1896614, 'person_id': 2046929}"
,plenary,Results from lead-lead collisions with the ATLAS Detector at the LHC,"Steinberg, Peter",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Steinberg', 'fullName': 'Steinberg, Peter', 'id': '1896670', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '47b904d74c150449d5653db6cc3fabfe', 'db_id': 1896670, 'person_id': 2046974}"
,plenary,NA49/NA61: SPS results on fluctuations & correlations,"Gazdzicki, Marek",Frankfurt University,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marek', 'last_name': 'Gazdzicki', 'fullName': 'Gazdzicki, Marek', 'id': '1896987', 'affiliation': 'Frankfurt University', 'emailHash': '438eacd34730f4ef2b3f515f26a88f3d', 'db_id': 1896987, 'person_id': 2047235}"
,plenary,STAR: results from the beam energy scan program,"Mohanty, Bedangadas","Variable Energy Cyclotron Centre, Kolkata",India,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bedangadas', 'last_name': 'Mohanty', 'fullName': 'Mohanty, Bedangadas', 'id': '1896988', 'affiliation': 'Variable Energy Cyclotron Centre, Kolkata', 'emailHash': '8dcd0c43ad6ddc8aea2158858a527682', 'db_id': 1896988, 'person_id': 2047236}"
