Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
,parallel,Probing the gluonic structure of matter at a future Electron-Ion Collider,Unknown,Unknown,Unknown,
,parallel,eA collisions at the Large Hadron-electron Collider,Unknown,Unknown,Unknown,
Jets,parallel,Jet Reconstruction and Jet Background Classification with the ALICE experiment in PbPb collisions at the LHC,"Klein-Boesing, Christian",IKP Muenster,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Klein-Boesing', 'fullName': 'Klein-Boesing, Christian', 'id': '1896758', 'affiliation': 'IKP Muenster', 'emailHash': '85a9d0cd66ec905a74d2a5a0741444e1', 'db_id': 1896758, 'person_id': 2047045}"
Electromagnetic probes,parallel,Photons at RHIC and at the LHC: the role of viscosity and of event-by-event fluctuations,"Gale, Charles",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Charles', 'last_name': 'Gale', 'fullName': 'Gale, Charles', 'id': '1897247', 'affiliation': 'McGill University', 'emailHash': '9d284bd5fe141884c2dfb30cbf498386', 'db_id': 1897247, 'person_id': 2046964}"
Jets,parallel,Non-conformal holography of light and heavy quark jet quenching at RHIC and LHC,"Ficnar, Andrej","Columbia University, New York, USA",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrej', 'last_name': 'Ficnar', 'fullName': 'Ficnar, Andrej', 'id': '1896664', 'affiliation': 'Columbia University, New York, USA', 'emailHash': '31229815ca8e01bd0ee2504a573da5e1', 'db_id': 1896664, 'person_id': 2046970}"
Global and collective dynamics,parallel,Measurement of the electromagnetic dissociation cross-section of Pb nuclei at 2.76 A Tev with the ALICE ZDC,"Oppedisano, Chiara","INFN, Sezione di Torino",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chiara', 'last_name': 'Oppedisano', 'fullName': 'Oppedisano, Chiara', 'id': '1897169', 'affiliation': 'INFN, Sezione di Torino', 'emailHash': '9b823312dfe2ebc8bfbcb8eda8e91c31', 'db_id': 1897169, 'person_id': 2047368}"
Electromagnetic probes,parallel,Dielectron Continuum Production from $\sqrt{s_{NN}}$ = 200 GeV pp and Au+Au collisions at STAR,"Zhao, Jie",SINAP/LBNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jie', 'last_name': 'Zhao', 'fullName': 'Zhao, Jie', 'id': '1896548', 'affiliation': 'SINAP/LBNL', 'emailHash': '24b683006c9bf8d50396b18ff2bc9a92', 'db_id': 1896548, 'person_id': 2046869}"
Correlations and fluctuations,parallel,"Dynamical $K/\pi$, $p/\pi$, and $K/p$ fluctuations in $\sqrt{s_{NN}}$ =  7.7-200 GeV Au+Au collisions","Tarnowsky, Terence",Michigan State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Terence', 'last_name': 'Tarnowsky', 'fullName': 'Tarnowsky, Terence', 'id': '1896470', 'affiliation': 'Michigan State University', 'emailHash': 'f75fba248104f8c5daf1518383ec1cd9', 'db_id': 1896470, 'person_id': 2046801}"
Heavy flavor and quarkonia production,parallel,Study of Ultraperipheral processes in sqrt(s_NN)=2.76 Pb+Pb collisions with the ATLAS detector at the LHC,"Baroncelli, Toni",Physics Department University of ROMA TRE - Rome -Italy,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Toni', 'last_name': 'Baroncelli', 'fullName': 'Baroncelli, Toni', 'id': '1896709', 'affiliation': 'Physics Department University of ROMA TRE - Rome -Italy', 'emailHash': '00a15a995218eecb4d6e9f18b833c380', 'db_id': 1896709, 'person_id': 2047013}"
Correlations and fluctuations,parallel,Anisotropic flow of charged particles at 2.76 TeV measured with the ALICE detector,"Bilandzic, Ante",NIKHEF,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ante', 'last_name': 'Bilandzic', 'fullName': 'Bilandzic, Ante', 'id': '1897253', 'affiliation': 'NIKHEF', 'emailHash': '65e58f83f1ec1a2bc937d4fa18424a31', 'db_id': 1897253, 'person_id': 2047426}"
New theoretical developments,parallel,"Some new results on high-energy ""jet stopping"" in AdS/CFT","Arnold, Peter",University of Virginia,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Arnold', 'fullName': 'Arnold, Peter', 'id': '1897545', 'affiliation': 'University of Virginia', 'emailHash': 'c61ed25e02aa51bb87c97f1506bc7c65', 'db_id': 1897545, 'person_id': 2047604}"
New theoretical developments,parallel,Interference effects in medium--induced gluon radiation,"Casalderrey Solana, Jorge",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jorge', 'last_name': 'Casalderrey Solana', 'fullName': 'Casalderrey Solana, Jorge', 'id': '1897567', 'affiliation': 'CERN', 'emailHash': '4e4e485192147e6dd3250bf6d8faf700', 'db_id': 1897567, 'person_id': 2047473}"
Correlations and fluctuations,parallel,Relativistic theory of hydrodynamic fluctuations,"Kapusta, Joseph",University of Minnesota,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Joseph', 'last_name': 'Kapusta', 'fullName': 'Kapusta, Joseph', 'id': '1896800', 'affiliation': 'University of Minnesota', 'emailHash': '239eb4cdb966b999e799583f8927547f', 'db_id': 1896800, 'person_id': 2047082}"
Pre-equilibrium and initial state physics,parallel,Determining initial state fluctuations from flow measurements,"Ollitrault, Jean-Yves","SPhT, Saclay",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Yves', 'last_name': 'Ollitrault', 'fullName': 'Ollitrault, Jean-Yves', 'id': '1897084', 'affiliation': 'SPhT, Saclay', 'emailHash': '715a3bb69281417ddf07f10a359becca', 'db_id': 1897084, 'person_id': 2047272}"
Global and collective dynamics,parallel,"Spectra, flow and HBT in PbPb collisons at the LHC","Bozek, Piotr",IFJ PAN Krakow/ Rzeszow University,Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Piotr', 'last_name': 'Bozek', 'fullName': 'Bozek, Piotr', 'id': '1896464', 'affiliation': 'IFJ PAN Krakow/ Rzeszow University', 'emailHash': '31f8e284f7bc6b2809145f28b598aec4', 'db_id': 1896464, 'person_id': 2046795}"
Global and collective dynamics,parallel,Far-from-equilibrium anisotropic collective flow,"Gombeaud, Clément",University of Bielefeld,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Clément', 'last_name': 'Gombeaud', 'fullName': 'Gombeaud, Clément', 'id': '1896744', 'affiliation': 'University of Bielefeld', 'emailHash': 'f24a924b35bebabbc469d0d398955aff', 'db_id': 1896744, 'person_id': 2047037}"
Jets,parallel,Jet shower evolution in medium and di-jet asymmetry in PbPb collisions at the LHC,"Qin, Guang-You",Duke University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Guang-You', 'last_name': 'Qin', 'fullName': 'Qin, Guang-You', 'id': '1897383', 'affiliation': 'Duke University', 'emailHash': 'b77167f5003dd6c4fa8ec33458288bf1', 'db_id': 1897383, 'person_id': 2047504}"
