Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary Session X: PDFs / Future,plenary,"The near- and mid-term future of RHIC, EIC and sPHENIX (EX)","Morrison, David",Brookhaven National Laboratory,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'David', 'last_name': 'Morrison', 'fullName': 'Morrison, David', 'id': '6511488', 'affiliation': '', 'emailHash': 'ca7ac30754454d72c7929e3b683b3dca', 'db_id': 6511488, 'person_id': 6446961}"
Plenary Session III: Experimental highlights,plenary,Deciphering deconfinement and hadronization: achievements and opportunities,"Stachel, Johanna",Ruprecht Karls Universitaet Heidelberg (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Johanna', 'last_name': 'Stachel', 'fullName': 'Stachel, Johanna', 'id': '6511539', 'affiliation': 'Ruprecht Karls Universitaet Heidelberg (DE)', 'emailHash': '764e82fd913e9ebea61d374e402c4d7f', 'db_id': 6511539, 'person_id': 6323767}"
Plenary Session I,plenary,Deciphering deconfinement and hadronization: achievements and opportunities,"Stachel, Johanna",Ruprecht Karls Universitaet Heidelberg (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Johanna', 'last_name': 'Stachel', 'fullName': 'Stachel, Johanna', 'id': '6599162', 'affiliation': 'Ruprecht Karls Universitaet Heidelberg (DE)', 'emailHash': '764e82fd913e9ebea61d374e402c4d7f', 'db_id': 6599162, 'person_id': 6323767}"
Plenary Session I,plenary,The fascinating evolution of the questions of interest in relativistic heavy ion physics,"Busza, Wit",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wit', 'last_name': 'Busza', 'fullName': 'Busza, Wit', 'id': '6511534', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': 'c6e3bb4bb658e5f12c95b11f193290ec', 'db_id': 6511534, 'person_id': 6447007}"
Plenary Session III: Experimental highlights,plenary,Highlights from the NA61/SHINE experiment,"Marcinek, Antoni",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Antoni', 'last_name': 'Marcinek', 'fullName': 'Marcinek, Antoni', 'id': '6398402', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': 'f32a7f0494ba97c44b93263023272a9b', 'db_id': 6398402, 'person_id': 6338752}"
Plenary Session III: Experimental highlights,plenary,Highlights from the PHENIX experiment,"Lim, Sanghoon",Pusan National University (KR),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sanghoon', 'last_name': 'Lim', 'fullName': 'Lim, Sanghoon', 'id': '6577084', 'affiliation': 'Pusan National University (KR)', 'emailHash': 'd1bcc0436fe87a6aed203ab2660e07cc', 'db_id': 6577084, 'person_id': 6297910}"
Plenary Session III: Experimental highlights,plenary,Highlights from the STAR experiment,"Tribedy, Prithwish",Brookhaven National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Prithwish', 'last_name': 'Tribedy', 'fullName': 'Tribedy, Prithwish', 'id': '6407572', 'affiliation': 'Brookhaven National Lab', 'emailHash': '831402c0f2ca5de3ec22ab9404b98dc0', 'db_id': 6407572, 'person_id': 6347231}"
Plenary Session II: Experimental highlights,plenary,Highlights from the HADES experiment,"Harabasz, Szymon",Technische Universität Darmstadt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Szymon', 'last_name': 'Harabasz', 'fullName': 'Harabasz, Szymon', 'id': '6398388', 'affiliation': '', 'emailHash': '750c872549c27dd82c84b43af22ab468', 'db_id': 6398388, 'person_id': 6337713}"
Plenary Session II: Experimental highlights,plenary,Highlights from the ALICE experiment,"Puccio, Maximiliano",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Maximiliano', 'last_name': 'Puccio', 'fullName': 'Puccio, Maximiliano', 'id': '6442442', 'affiliation': 'CERN', 'emailHash': '19d9d87bc57f620dd7916c39994da488', 'db_id': 6442442, 'person_id': 6380541}"
Plenary Session II: Experimental highlights,plenary,Highlights from the ATLAS experiment,"Derendarz, Dominik Karol",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dominik Karol', 'last_name': 'Derendarz', 'fullName': 'Derendarz, Dominik Karol', 'id': '6407568', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '11832d8898ef11de86a67bbca886a067', 'db_id': 6407568, 'person_id': 6347227}"
Plenary Session II: Experimental highlights,plenary,Highlights from the CMS experiment,"Kim, Yongsun",Sejong University (KR),KR,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yongsun', 'last_name': 'Kim', 'fullName': 'Kim, Yongsun', 'id': '6412296', 'affiliation': 'Sejong University (KR)', 'emailHash': 'b5b8d9f461b3b71e1fcf62c35d75675c', 'db_id': 6412296, 'person_id': 6351648}"
Plenary Session II: Experimental highlights,plenary,Highlights from the LHCb experiment,"Maurice, Emilie",Centre National de la Recherche Scientifique (FR),France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Emilie', 'last_name': 'Maurice', 'fullName': 'Maurice, Emilie', 'id': '6435622', 'affiliation': 'Centre National de la Recherche Scientifique (FR)', 'emailHash': '35528b2d33a4df8828b16d5a737a47cf', 'db_id': 6435622, 'person_id': 6373898}"
Plenary Session IX: UPC / HF,plenary,Experimental and phenomenological developments in ultra-peripheral collisions (EX/TH),"Dyndal, Mateusz",AGH UST Krakow,Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mateusz', 'last_name': 'Dyndal', 'fullName': 'Dyndal, Mateusz', 'id': '6645616', 'affiliation': 'AGH UST Krakow', 'emailHash': '26965c74929e2abb851a3cb87997ad51', 'db_id': 6645616, 'person_id': 6328778}"
Plenary Session VIII: BES / EM probes,plenary,Theory and phenomenology of electromagnetic probes (TH),"Vujanovic, Gojko",Wayne State University,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gojko', 'last_name': 'Vujanovic', 'fullName': 'Vujanovic, Gojko', 'id': '6511483', 'affiliation': 'Wayne State University', 'emailHash': '801dcfcdd9f4cae3a3290278f1205efb', 'db_id': 6511483, 'person_id': 6335800}"
Plenary Session VIII: BES / EM probes,plenary,Experimental overview of electromagnetic probes (EX),"Reygers, Klaus",Ruprecht Karls Universitaet Heidelberg (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Klaus', 'last_name': 'Reygers', 'fullName': 'Reygers, Klaus', 'id': '6511480', 'affiliation': 'Ruprecht Karls Universitaet Heidelberg (DE)', 'emailHash': 'de4ed094028029bf19e5ece83511fb26', 'db_id': 6511480, 'person_id': 6336708}"
