Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary session 4: Heavy flavor & quarkonia,plenary,EPJ featured talk: Theory of open heavy-flavor as probes for deconfinement,"Plumari, Salvatore",University of Catania (Italy),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Salvatore', 'last_name': 'Plumari', 'fullName': 'Plumari, Salvatore', 'id': '9362497', 'affiliation': '', 'emailHash': 'db6be0e750f84ecc3619602fcf6b22d2', 'db_id': 9362497, 'person_id': 8929258}"
Plenary session 10: Electromagnetic probes — Light and strange flavor physics & nuclei,plenary,Production of light and strange flavor hadrons and loosely bound nuclei,"Donigus, Benjamin",Johann-Wolfgang-Goethe Univ. (DE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Benjamin', 'last_name': 'Donigus', 'fullName': 'Donigus, Benjamin', 'id': '9362706', 'affiliation': 'Johann-Wolfgang-Goethe Univ. (DE)', 'emailHash': '9524ad379e61026f2d98386c02a29042', 'db_id': 9362706, 'person_id': 8940401}"
Plenary session 10: Electromagnetic probes — Light and strange flavor physics & nuclei,plenary,Femtoscopy measurements to understand hadron interactions at the LHC,"Mantovani Sarti, Valentina",Technische Universitaet Muenchen (DE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Valentina', 'last_name': 'Mantovani Sarti', 'fullName': 'Mantovani Sarti, Valentina', 'id': '9362705', 'affiliation': 'Technische Universitaet Muenchen (DE)', 'emailHash': 'ceb6e9430e179f25faa3b5b0431eda75', 'db_id': 9362705, 'person_id': 9106794}"
Plenary session 10: Electromagnetic probes — Light and strange flavor physics & nuclei,plenary,Theory overview on electroweak emission from heavy-ion collisions,"Jackson, Greg",SUBATECH (CNRS/IN2P3),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Greg', 'last_name': 'Jackson', 'fullName': 'Jackson, Greg', 'id': '9362701', 'affiliation': 'SUBATECH (CNRS/IN2P3)', 'emailHash': 'b9ad7e6c36098c36451435eebf281fa5', 'db_id': 9362701, 'person_id': 8930403}"
Plenary session 10: Electromagnetic probes — Light and strange flavor physics & nuclei,plenary,Experiment overview of electromagnetic radiation in heavy-ion collisions,"Scheid, Horst Sebastian",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Horst Sebastian', 'last_name': 'Scheid', 'fullName': 'Scheid, Horst Sebastian', 'id': '9362699', 'affiliation': 'CERN', 'emailHash': 'ca187f34481d2e484d081330dcafce31', 'db_id': 9362699, 'person_id': 8889371}"
Plenary session 9: Correlations & fluctuations — New theoretical developments — Physics of ultraperipheral collisions — QCD matter in astrophysics,plenary,Progress in dense QCD and applications to neutron stars,"Fujimoto, Yuki","University of California, Berkeley / RIKEN",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yuki', 'last_name': 'Fujimoto', 'fullName': 'Fujimoto, Yuki', 'id': '9362684', 'affiliation': 'University of California, Berkeley / RIKEN', 'emailHash': 'c5fb57d7f1eb19c29e8b2098bb015088', 'db_id': 9362684, 'person_id': 8933556}"
Plenary session 9: Correlations & fluctuations — New theoretical developments — Physics of ultraperipheral collisions — QCD matter in astrophysics,plenary,Experiment overview of physics of ultraperipheral collisions,"Ogrodnik, Agnieszka Ewa",Charles University (CZ),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Agnieszka Ewa', 'last_name': 'Ogrodnik', 'fullName': 'Ogrodnik, Agnieszka Ewa', 'id': '9362683', 'affiliation': 'Charles University (CZ)', 'emailHash': 'edba5d65f414232325e85b55c0fb7014', 'db_id': 9362683, 'person_id': 8879619}"
Plenary session 9: Correlations & fluctuations — New theoretical developments — Physics of ultraperipheral collisions — QCD matter in astrophysics,plenary,Quantum computing for heavy-ion physics: near-term status and future prospects,"Lourenco Henriques Barata, Joao",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Joao', 'last_name': 'Lourenco Henriques Barata', 'fullName': 'Lourenco Henriques Barata, Joao', 'id': '9362680', 'affiliation': '', 'emailHash': '86771ea6a204d2713659d237d39ad5b7', 'db_id': 9362680, 'person_id': 8878562}"
Plenary session 9: Correlations & fluctuations — New theoretical developments — Physics of ultraperipheral collisions — QCD matter in astrophysics,plenary,Probing bulk dynamics of the QGP with correlations and fluctuations,"Arslandok, Mesut",Yale University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mesut', 'last_name': 'Arslandok', 'fullName': 'Arslandok, Mesut', 'id': '9362679', 'affiliation': 'Yale University (US)', 'emailHash': 'e818146389c2856728cfbb00d80587b9', 'db_id': 9362679, 'person_id': 9106776}"
Plenary session 12: Summary talks,plenary,Summary: theory,"Elfner, Hannah",GSI/Frankfurt University/FIAS,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hannah', 'last_name': 'Elfner', 'fullName': 'Elfner, Hannah', 'id': '9362661', 'affiliation': '', 'emailHash': '37ddd7d8c8f0791935ed696571627d92', 'db_id': 9362661, 'person_id': 9106758}"
