Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary session 12: Summary talks,plenary,Summary: experiment,"Bielcikova, Jana",Czech Academy of Sciences (CZ),CZ,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jana', 'last_name': 'Bielcikova', 'fullName': 'Bielcikova, Jana', 'id': '9362660', 'affiliation': 'Czech Academy of Sciences (CZ)', 'emailHash': '64a4052066bfef387c9d823bb5057a22', 'db_id': 9362660, 'person_id': 9106756}"
Plenary session 11: Detectors & future experiments,plenary,The ultimate pixel detector for tracking and vertexing in ultra-relativistic nuclear collisions,"Mager, Magnus",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Magnus', 'last_name': 'Mager', 'fullName': 'Mager, Magnus', 'id': '9362625', 'affiliation': 'CERN', 'emailHash': 'a7b4283323634b28bb038221e3c0dc8e', 'db_id': 9362625, 'person_id': 9106740}"
Plenary session 11: Detectors & future experiments,plenary,Machine Learning in Analysis Techniques for Future Physics,"Bossi, Hannah",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hannah', 'last_name': 'Bossi', 'fullName': 'Bossi, Hannah', 'id': '9362659', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': 'e0f2e65f0d282750f348fad12ed183ef', 'db_id': 9362659, 'person_id': 8874271}"
Plenary session 6: Chirality — Collective dynamics & small systems,plenary,"Critical overview of collective dynamics, particularly in small systems and what can be learned with current and future programs","Nijs, Govert Hugo",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Govert Hugo', 'last_name': 'Nijs', 'fullName': 'Nijs, Govert Hugo', 'id': '9362600', 'affiliation': 'CERN', 'emailHash': '78e89f1678ac1a8c29cbed1303e0a69e', 'db_id': 9362600, 'person_id': 8932582}"
Plenary session 6: Chirality — Collective dynamics & small systems,plenary,Collective dynamics in small systems: a critical experimental overview,"Seidlitz, Blair Daniel",Columbia University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Blair Daniel', 'last_name': 'Seidlitz', 'fullName': 'Seidlitz, Blair Daniel', 'id': '9362599', 'affiliation': 'Columbia University (US)', 'emailHash': '90fc7ffff90066b7c1bcf7b0841a4653', 'db_id': 9362599, 'person_id': 9106702}"
Plenary session 6: Chirality — Collective dynamics & small systems,plenary,Theory of spin polarization and alignment and chiral effects in heavy-ion collisions,"Pu, Shi","Institute for Theoretical Physics, Goethe University Frankfurt am Main",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shi', 'last_name': 'Pu', 'fullName': 'Pu, Shi', 'id': '9362596', 'affiliation': '', 'emailHash': '44faf9c54b1be400b2f040235197a28c', 'db_id': 9362596, 'person_id': 8854950}"
Plenary session 6: Chirality — Collective dynamics & small systems,plenary,"Experimental measurements of chiral effects, spin polarization and alignment in heavy-ion collisions","Xu, Zhiwan",Los Alamos National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhiwan', 'last_name': 'Xu', 'fullName': 'Xu, Zhiwan', 'id': '9362595', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': None, 'db_id': 9362595, 'person_id': 8925904}"
Plenary session 8: QCD phase diagram & critical point,plenary,"Equation of state, QCD phase diagram: critical assessment and predictions from functional methods","Rennecke, Fabian",Justus Liebig University Giessen,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Fabian', 'last_name': 'Rennecke', 'fullName': 'Rennecke, Fabian', 'id': '9362574', 'affiliation': 'Justus Liebig University Giessen', 'emailHash': '5b82f824ada910b2cb1a923fb546899c', 'db_id': 9362574, 'person_id': 8895019}"
Plenary session 8: QCD phase diagram & critical point,plenary,"Equation of state, QCD phase diagram: critical assessment and predictions from lattice QCD","Brandt, Bastian",University of Bielefeld,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bastian', 'last_name': 'Brandt', 'fullName': 'Brandt, Bastian', 'id': '9362549', 'affiliation': 'University of Bielefeld', 'emailHash': '03aa8edc6c9588da620c24cfc3c222ed', 'db_id': 9362549, 'person_id': 8937048}"
Plenary session 8: QCD phase diagram & critical point,plenary,BES-II data and critical assessment with respect to QCD critical point search,"Esumi, Shinichi",University of Tsukuba (JP),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shinichi', 'last_name': 'Esumi', 'fullName': 'Esumi, Shinichi', 'id': '9362548', 'affiliation': 'University of Tsukuba (JP)', 'emailHash': '61a9cd2ad0c1de2f64b496e7fbf494c4', 'db_id': 9362548, 'person_id': 9106663}"
Plenary session 7: Initial state of hadronic and electron-ion collisions & nuclear structure,plenary,Probing nuclear structure in heavy-ion collisions from small to large systems,"Zhou, You",Niels Bohr Institute (DK),DK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'You', 'last_name': 'Zhou', 'fullName': 'Zhou, You', 'id': '9362544', 'affiliation': 'Niels Bohr Institute (DK)', 'emailHash': '227dd48b81f94eba8b0641c8d63cb1f5', 'db_id': 9362544, 'person_id': 8938846}"
Plenary session 7: Initial state of hadronic and electron-ion collisions & nuclear structure,plenary,Latest developments in high-energy QCD to understand the initial state in heavy-ion collisions,"Salazar, Farid","Institute for Nuclear Theory, University of Washington",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Farid', 'last_name': 'Salazar', 'fullName': 'Salazar, Farid', 'id': '9362542', 'affiliation': 'Institute for Nuclear Theory, University of Washington', 'emailHash': 'c89ab6f841f38c7992c2791d61d2e786', 'db_id': 9362542, 'person_id': 8880641}"
Plenary session 7: Initial state of hadronic and electron-ion collisions & nuclear structure,plenary,Overview of the latest developments in understanding the initial state and thermalization,"Boguslavski, Kirill",TU Wien (AT),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kirill', 'last_name': 'Boguslavski', 'fullName': 'Boguslavski, Kirill', 'id': '9362541', 'affiliation': 'TU Wien (AT)', 'emailHash': 'f48609e5b1e10095434d545a0cbe5d64', 'db_id': 9362541, 'person_id': 8870299}"
Plenary session 5:Jets,plenary,Theory overview of medium response and hard-soft correlation,"soudi, ismail",University of Jyvaskyla,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'ismail', 'last_name': 'soudi', 'fullName': 'soudi, ismail', 'id': '9362508', 'affiliation': 'University of Jyvaskyla', 'emailHash': 'd4f17d35028223fd5665a160d46e5372', 'db_id': 9362508, 'person_id': 8937367}"
Plenary session 5:Jets,plenary,Experimental measurement of medium response and hard-soft correlation,"Mc Ginn, Christopher",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christopher', 'last_name': 'Mc Ginn', 'fullName': 'Mc Ginn, Christopher', 'id': '9362506', 'affiliation': 'MIT', 'emailHash': '988e85e7cd5946f92aaae6c63a905557', 'db_id': 9362506, 'person_id': 8853301}"
Plenary session 5:Jets,plenary,Theory overview of jet substructure and energy-energy correlators,"Soto Ontoso, Alba",Universidad de Granada (ES),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alba', 'last_name': 'Soto Ontoso', 'fullName': 'Soto Ontoso, Alba', 'id': '9362505', 'affiliation': 'Universidad de Granada (ES)', 'emailHash': '9ec54b526a2c5fcf5e7d7541140b3807', 'db_id': 9362505, 'person_id': 8939046}"
Plenary session 5:Jets,plenary,Experimental measurement of jet substructure and energy-energy correlators,"Fan, Wenqing",University of Houston (US),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wenqing', 'last_name': 'Fan', 'fullName': 'Fan, Wenqing', 'id': '9362501', 'affiliation': 'University of Houston (US)', 'emailHash': '40291106cd941c64d994e1ef627babf8', 'db_id': 9362501, 'person_id': 9106621}"
Plenary session 4: Heavy flavor & quarkonia,plenary,Theory of quarkonia as probes for deconfinement,"Yao, Xiaojun",University of Washington,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiaojun', 'last_name': 'Yao', 'fullName': 'Yao, Xiaojun', 'id': '9362500', 'affiliation': 'University of Washington', 'emailHash': '7a75db5ff6bdeafec462dd56a7ba0b17', 'db_id': 9362500, 'person_id': 8824849}"
Plenary session 4: Heavy flavor & quarkonia,plenary,Experiment overview of quarkonia as probes for deconfinement,"Winn, Michael",Université Paris-Saclay (FR),France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'Winn', 'fullName': 'Winn, Michael', 'id': '9362499', 'affiliation': 'Université Paris-Saclay (FR)', 'emailHash': 'e38db7351803011bb8dc52862d5d66db', 'db_id': 9362499, 'person_id': 8885870}"
Plenary session 4: Heavy flavor & quarkonia,plenary,Experiment overview of open heavy flavor as probes for deconfinement,"Innocenti, Gian Michele",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gian Michele', 'last_name': 'Innocenti', 'fullName': 'Innocenti, Gian Michele', 'id': '9362496', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '86d18bf59a40bd9a6934b7bf6b878841', 'db_id': 9362496, 'person_id': 8853306}"
Plenary session 1,plenary,TBA,"Stock, Reinhard",Johann-Wolfgang-Goethe Univ. (DE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Reinhard', 'last_name': 'Stock', 'fullName': 'Stock, Reinhard', 'id': '9362441', 'affiliation': 'Johann-Wolfgang-Goethe Univ. (DE)', 'emailHash': 'a5071d68b96304833d25bc207fc399e9', 'db_id': 9362441, 'person_id': 9106565}"
Plenary session 3,plenary,Experiment overview: STAR,"Radhakrishnan, Sooraj",Kent State University/Lawrence Berkeley National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sooraj', 'last_name': 'Radhakrishnan', 'fullName': 'Radhakrishnan, Sooraj', 'id': '9362480', 'affiliation': 'Kent State University/Lawrence Berkeley National Laboratory', 'emailHash': '297af54dbec12d49dbd52143d99f5101', 'db_id': 9362480, 'person_id': 8937092}"
Plenary session 2,plenary,Experiment overview: HADES,"Zbroszczyk, Hanna",Warsaw University of Technology (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hanna', 'last_name': 'Zbroszczyk', 'fullName': 'Zbroszczyk, Hanna', 'id': '9362489', 'affiliation': 'Warsaw University of Technology (PL)', 'emailHash': 'f37f702b639adea2f9d9f36c1fde8214', 'db_id': 9362489, 'person_id': 9106606}"
Plenary session 3,plenary,Experiment overview: sPHENIX,"Roland, Christof",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christof', 'last_name': 'Roland', 'fullName': 'Roland, Christof', 'id': '9362481', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': 'a99d816e356fb73352a8c599d4e8877d', 'db_id': 9362481, 'person_id': 9106598}"
Plenary session 3,plenary,Experiment overview: PHENIX,"Esha, Roli","Center for Frontiers in Nuclear Science, Stony Brook University",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Roli', 'last_name': 'Esha', 'fullName': 'Esha, Roli', 'id': '9395389', 'affiliation': 'Center for Frontiers in Nuclear Science, Stony Brook University', 'emailHash': '0b8c5cb68d87e9e2dfa215c3660e7ba4', 'db_id': 9395389, 'person_id': 8877807}"
Plenary session 3,plenary,Experiment overview: NA61,"Grebieszkow, Katarzyna",Warsaw University of Technology (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Katarzyna', 'last_name': 'Grebieszkow', 'fullName': 'Grebieszkow, Katarzyna', 'id': '9362476', 'affiliation': 'Warsaw University of Technology (PL)', 'emailHash': 'ca9a6728b1ce547e519a5054a1041bc5', 'db_id': 9362476, 'person_id': 8890164}"
Plenary session 3,plenary,Experiment overview: LHCb,"Boettcher, Thomas",Los Alamos National Laboratory (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thomas', 'last_name': 'Boettcher', 'fullName': 'Boettcher, Thomas', 'id': '9434342', 'affiliation': 'Los Alamos National Laboratory (US)', 'emailHash': '716919417343175348ca7da2a8ec5262', 'db_id': 9434342, 'person_id': 9176878}"
Plenary session 2,plenary,Experiment overview: CMS,"Wang, Jing",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jing', 'last_name': 'Wang', 'fullName': 'Wang, Jing', 'id': '9381712', 'affiliation': 'CERN', 'emailHash': '84443556008b60ce45b46683f5c26d2b', 'db_id': 9381712, 'person_id': 9125517}"
Plenary session 2,plenary,Experiment overview: ATLAS,"Longo, Riccardo",Univ. Illinois at Urbana Champaign (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Riccardo', 'last_name': 'Longo', 'fullName': 'Longo, Riccardo', 'id': '9381802', 'affiliation': 'Univ. Illinois at Urbana Champaign (US)', 'emailHash': '12e8c0747257bc0871d48f51fda98ab6', 'db_id': 9381802, 'person_id': 9125602}"
Plenary session 2,plenary,Experiment overview: ALICE,"Schmah, Alexander",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Schmah', 'fullName': 'Schmah, Alexander', 'id': '9376621', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '75888896722d7e57d30f72f83ffdec1d', 'db_id': 9376621, 'person_id': 9120693}"
Plenary session 7: Initial state of hadronic and electron-ion collisions & nuclear structure,plenary,Plenary talk 15,Unknown,Unknown,Unknown,
