Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Collective dynamics,parallel,Searches for $p_{\rm T}$ dependent flow angle and flow magnitude fluctuations with the ALICE detector,"Zhou, You",NIKHEF and University of Utrecht (NL),DK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'You', 'last_name': 'Zhou', 'fullName': 'Zhou, You', 'id': '1728783', 'affiliation': 'NIKHEF and University of Utrecht (NL)', 'emailHash': '227dd48b81f94eba8b0641c8d63cb1f5', 'db_id': 1728783, 'person_id': 1867855}"
QCD phase diagram,parallel,Spectral functions from the functional renormalization group,"Tripolt, Ralf-Arno",TU Darmstadt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ralf-Arno', 'last_name': 'Tripolt', 'fullName': 'Tripolt, Ralf-Arno', 'id': '1728656', 'affiliation': 'TU Darmstadt', 'emailHash': 'c7e061a7ae78056b6a3bca66aaee074a', 'db_id': 1728656, 'person_id': 1867856}"
Collective dynamics,parallel,Why is the radial flow in high multiplicity pp/pA stronger than in AA?,"Shuryak, Edward",stony brook university,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Edward', 'last_name': 'Shuryak', 'fullName': 'Shuryak, Edward', 'id': '1728530', 'affiliation': 'stony brook university', 'emailHash': 'c1ac264884f526687b2f741ea3a9a98b', 'db_id': 1728530, 'person_id': 1867767}"
Jets,parallel,Predictions for p+Pb collisions at  $\sqrt{s_{_{NN}}} = 5$ TeV: expectations vs. data,"Vogt, Ramona",LLNL,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ramona', 'last_name': 'Vogt', 'fullName': 'Vogt, Ramona', 'id': '1728601', 'affiliation': 'LLNL', 'emailHash': '0825b4ca2f7247ffcb0f3ef5bfb8400e', 'db_id': 1728601, 'person_id': 1867812}"
Thermodynamics and hadron chemistry,parallel,Understanding the $p/\pi$ ratio at LHC with an extended mass spectrum,"Noronha-Hostler, Jacquelyn",University of Sao Paulo,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jacquelyn', 'last_name': 'Noronha-Hostler', 'fullName': 'Noronha-Hostler, Jacquelyn', 'id': '1729346', 'affiliation': 'University of Sao Paulo', 'emailHash': '89055acdac0becbfba18b0b332e1e827', 'db_id': 1729346, 'person_id': 1868056}"
Heavy flavor,parallel,Production of J/psi and Y-mesons in proton-lead collisions at √sNN = 5 TeV,"Yang, Zhenwei",Tsinghua University (CN),China,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zhenwei', 'last_name': 'Yang', 'fullName': 'Yang, Zhenwei', 'id': '1728685', 'affiliation': 'Tsinghua University (CN)', 'emailHash': '055890e71cf2de8a145c33b5e9441cb5', 'db_id': 1728685, 'person_id': 1867880}"
Correlations and fluctuations,parallel,Azimuthally differential pion femtoscopy in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV with ALICE at the LHC,"Loggins, Vera",Wayne State University (US),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vera', 'last_name': 'Loggins', 'fullName': 'Loggins, Vera', 'id': '1728450', 'affiliation': 'Wayne State University (US)', 'emailHash': 'f69035578b77545956daae8cb8481eb8', 'db_id': 1728450, 'person_id': 1867703}"
Electromagnetic probes,parallel,Measurements of direct-photon-hadron correlations and direct-photon azimuthal anisotropy by STAR,"M. Hamed, Ahmed","University of Mississippi, Texas A&M University",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ahmed', 'last_name': 'M. Hamed', 'fullName': 'M. Hamed, Ahmed', 'id': '1729227', 'affiliation': 'University of Mississippi, Texas A&M University', 'emailHash': 'af0e63966373ac9c2de2888d54c7c8ea', 'db_id': 1729227, 'person_id': 1868260}"
Collective dynamics,parallel,Will perfect fluidity of the sQGP survive in light of the BES & D+Au & p+Au data?,"Gyulassy, Miklos",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Miklos', 'last_name': 'Gyulassy', 'fullName': 'Gyulassy, Miklos', 'id': '1729130', 'affiliation': 'Columbia University', 'emailHash': '75bd1b66eb51ce57862622cb3a7096f7', 'db_id': 1729130, 'person_id': 1867827}"
Correlations and fluctuations,parallel,"Multi-Particle production and ridge structure in A+A, p+A, and p+p collisions","Schenke, Bjoern",Brookhaven National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bjoern', 'last_name': 'Schenke', 'fullName': 'Schenke, Bjoern', 'id': '1729426', 'affiliation': 'Brookhaven National Lab', 'emailHash': '4a88eb902ae580760430eaf0464746cf', 'db_id': 1729426, 'person_id': 1867627}"
