name,affiliation,country,year,indico_id
Abhi Modak,Universita e INFN Trieste (IT),IT,2025,1334113
Abhishek Kumar Sharma,"Aligarh Muslim University, Aligarh – 202002, INDIA.",,2025,1334113
Adam Bzdak,AGH University of Krakow,,2025,1334113
Adam Takacs,Heidelberg University,,2025,1334113
Aditya Prasad Dash,University of California Los Angeles,,2025,1334113
Adrian Meyer-Ahrens,"Institute for Nuclear Physics, University of Münster",,2025,1334113
Adrian Nassirpour,Sejong University,,2025,1334113
Adrian Rodríguez Rodríguez,GSI Helmholtzzentrum für Schwerionenforschung GmbH,,2025,1334113
Adrian William Romero Jorge,Frankfurt Institute for Advanced Studies/Goethe University Frankfurt,,2025,1334113
Agnieszka Ewa Ogrodnik,Charles University (CZ),CZ,2025,1334113
Alba Soto Ontoso,Universidad de Granada,,2025,1334113
Alberica Toia,Goethe Uni. Frankfurt & GSI,,2025,1334113
Aleksas Mazeliauskas,Heidelberg University (DE),DE,2025,1334113
Aleksi Kurkela,University of Stavanger (NO),NO,2025,1334113
Alessandro De Falco,Università/INFN Cagliari,,2025,1334113
Alexander Adam,University of Wuppertal,,2025,1334113
Alexander Ayriyan,University of Wroclaw & AANL,,2025,1334113
Alexander Botvina,"ITP, Goethe University, Frankfurt am Main",,2025,1334113
Alexander Milov,Weizmann Institute of Science (IL),IL,2025,1334113
Alexander Schmah,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE,2025,1334113
Alexander Philipp Kalweit,CERN,,2025,1334113
Alexandre Suaide,Universidade de Sao Paulo (BR),BR,2025,1334113
Alexandru Manea,Institute of Space Science,,2025,1334113
Alexian Lejeune,Czech Technical University in Prague (CZ),CZ,2025,1334113
Alice Ohlson,Lund University,,2025,1334113
Aman Dimri,Stony Brook University (US),US,2025,1334113
Ana Marin,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE,2025,1334113
Analyce Soto-Hernandez,Ohio State University (US),US,2025,1334113
Ananya Rai,Yale University (US),US,2025,1334113
Anar Rustamov,GSI Helmholtzzentrum für Schwerionenforschung GmbH,,2025,1334113
Andi Mankolli,Vanderbilt University,,2025,1334113
Andre Govinda Stahl,CERN,,2025,1334113
Andrea Beraudo,INFN Torino,,2025,1334113
Andrea Dainese,INFN - Padova,,2025,1334113
Andrea Dubla,GSI,,2025,1334113
Andrea Palermo,Stony Brook University,,2025,1334113
Andrea Rossi,"INFN, Padova (IT)",IT,2025,1334113
Andrea Tavira Garcia,Université Paris-Saclay (FR),FR,2025,1334113
Andrea Vioque-Rodríguez,Universidad Complutense Madrid,,2025,1334113
Andrea Sofia Triolo,CERN,,2025,1334113
Andreas Kirchner,Duke University,,2025,1334113
Andreas Ulveseth Mikalsen,University of Bergen (NO),NO,2025,1334113
Andrej Kugler,Nuclear Physics Institute CAS,,2025,1334113
Andrew Gordeev,Duke University,,2025,1334113
André Cordeiro,Laboratório de Instrumentação e Física de Partículas (LIP - Lisbon),,2025,1334113
Angela Badala,INFN - Sezione di Catania,,2025,1334113
Anjali Nambrath,University of California Berkeley (US),US,2025,1334113
Ankita Singh Nain,"DAV College, Panjab University, Chandigarh",,2025,1334113
Anna Horváth,"HUN-REN WIGNER Research Centre for Physics, Eötvös Loránd University",,2025,1334113
Anna Senger,FAIR,,2025,1334113
Annalisa De Caro,University of Salerno and INFN,,2025,1334113
Annamaria Chiarini,Goethe University,,2025,1334113
Ante Bilandzic,Technical University of Munich,,2025,1334113
Anthony Frawley,Florida State University,,2025,1334113
Anton Andronic,Universität Münster (DE),DE,2025,1334113
Anton Albert Riedel,Technische Universitaet Muenchen (DE),DE,2025,1334113
Antoni Marcinek,Polish Academy of Sciences (PL),PL,2025,1334113
Antoni Szczurek,Institute of Nuclear Physics PAN and Rzeszow University,,2025,1334113
Antonio Bozic,Goethe University Frankfurt,,2025,1334113
Antonio Uras,Centre National de la Recherche Scientifique (FR),FR,2025,1334113
Apurva Narde,University of Illinois Urbana-Champaign,,2025,1334113
Aritra Bandyopadhyay,West University of Timisoara,,2025,1334113
Arjun Kudinoor,Massachusetts Institute of Technology,,2025,1334113
Arpith Kumar,Central China Normal University,,2025,1334113
Aryaa Dattamunsi,Indian Institute of Technology Madras (IN),IN,2025,1334113
Asanosuke Jinno,Kyoto University,,2025,1334113
Ashish Pandav,Lawrence Berkeley National Lab,,2025,1334113
Ashutosh Dash,Goethe University,,2025,1334113
Attila Pasztor,Eötvös University,,2025,1334113
Austin Baty,University of Illinois Chicago,,2025,1334113
Axel Drees,Stony Brook University,,2025,1334113
Bade Sayki,Los Alamos National Laboratory,,2025,1334113
Baochi Fu,Bielefeld University,,2025,1334113
Bappaditya Mondal,"National Institute of Science Education and Research, Bhubaneswar, India",,2025,1334113
Barbara Jacak,University of California Berkeley (US),US,2025,1334113
Barbara Trzeciak,Czech Technical University in Prague,,2025,1334113
Barnabas Porfy,HUN-REN Wigner Research Centre for Physics (HU),HU,2025,1334113
Bastian Brandt,University of Bielefeld,,2025,1334113
Batoul Diab,CERN,,2025,1334113
Beatrice Liang-Gilman,University of California Berkeley (US),US,2025,1334113
Beatriz Artur,"Goethe-Universität, IKF",,2025,1334113
Bedangadas Mohanty,National Institute of Science Education and Research (NISER) (IN),IN,2025,1334113
Behruz Kardan,Goethe-University Frankfurt (IKF),IKF,2025,1334113
Ben Bert,University of Cape Town,,2025,1334113
Benedict Heybeck,Goethe University Frankfurt (DE),DE,2025,1334113
Benjamin Dönigus,Johann-Wolfgang-Goethe Univ. (DE),DE,2025,1334113
Bernd-Jochen Schaefer,JLU Gießen,,2025,1334113
Berndt Mueller,Duke University,,2025,1334113
Bhagyarathi Sahoo,Indian Institute of Technology Indore (IN),IN,2025,1334113
Bianca Sabiu,"Universita e INFN, Bologna (IT)",IT,2025,1334113
Biao Zhang,Heidelberg university(DE),DE,2025,1334113
Bill Zajc,Columbia University,,2025,1334113
Bithika Karmakar,University of Wroclaw,,2025,1334113
Bjoern Schenke,Brookhaven National Laboratory,,2025,1334113
Blair Daniel Seidlitz,Columbia University (US),US,2025,1334113
Boleslaw Wyslouch,MIT,,2025,1334113
Bong-Hwi Lim,INFN Torino (IT),IT,2025,1334113
Boris Hippolyte,IPHC / Université de Strasbourg (FR),FR,2025,1334113
Boris Tomasik,Czech Technical University in Prague (CZ),CZ,2025,1334113
Bruno Scheihing,"KITP, University of California, Santa Barbara",,2025,1334113
Byungsik Hong,Korea University,,2025,1334113
Børge S. Nielsen,"Niels Bohr Institute, Uni Copenhagen",,2025,1334113
Caio Brito,Universidade Federal Fluminense,,2025,1334113
Camilla De Angelis,"Universita e INFN, Cagliari (IT)",IT,2025,1334113
Carl Rosenkvist,Frankfurt Institute for Advanced Studies,,2025,1334113
Carlos Lamas,IGFAE-USC,,2025,1334113
Carlota Andres,Massachusetts Institute of Technology,,2025,1334113
Carolina Anna Reetz,Heidelberg University (DE),DE,2025,1334113
Carsten Greiner,"ITP Goethe Unversity of Frankfurt, Dept. of Theoretical Physics",,2025,1334113
Catalin-Lucian Ristea,Institute of Space Science subsidiary of INFLPR (RO),RO,2025,1334113
Cedric Riedel,Universität Bielefeld,,2025,1334113
Chandrodoy Chattopadhyay,North Carolina State University,,2025,1334113
Changhwan Choi,Pusan National University (KR),KR,2025,1334113
Charles Gale,McGill University,,2025,1334113
Charles Robertson III,Purdue University,,2025,1334113
Chathuranga Sirimanna,Duke University,,2025,1334113
Cheng-Wei Shih,National Central University (TW) / RIKEN (JP),JP,2025,1334113
Chenlu Hu,University of Chinese Academy of Sciences,,2025,1334113
Chenyan Li,Shandong University,,2025,1334113
Chenzhi Dong,Tsinghua University (CN),CN,2025,1334113
Chi Yang,Shandong University,,2025,1334113
Chi ZHANG,CEA-Saclay,,2025,1334113
Chiara De Martin,Universita e INFN Trieste (IT),IT,2025,1334113
Chiara Le Roux,Lund University,,2025,1334113
Chiara Oppedisano,INFN Torino (IT),IT,2025,1334113
Chiara Pinto,CERN,,2025,1334113
Chik Him Wong,University of WUppertal,,2025,1334113
Christian Bierlich,Lund University,,2025,1334113
Christian Caron,Springer,,2025,1334113
Christian Ecker,Goethe University Frankfurt,,2025,1334113
Christian Fischer,"University of Giessen, Germany",,2025,1334113
Christian Klein-Bösing,Universität Münster,,2025,1334113
Christian Pauly,Bergische Universität Wuppertal,,2025,1334113
Christian Schmidt,Bielefeld University,,2025,1334113
Christian Sturm,GSI Helmholtzzentrum GmbH,,2025,1334113
Christian Wendisch,GSI Helmholtzzentrum Darmstadt,,2025,1334113
Christian Joachim Schmidt,GSI Helmholtzzentrum,,2025,1334113
Christina Markert,University of Texas at Austin (US),US,2025,1334113
Christof Roland,MIT,,2025,1334113
Christoph Blume,University of Frankfurt,,2025,1334113
Christoph Herold,Suranaree University of Technology,,2025,1334113
Christopher McGinn,Massachusetts Inst. of Technology (US),US,2025,1334113
Chun Shen,Wayne State University,,2025,1334113
Chunjian Zhang,Fudan University,,2025,1334113
CHUNTAI WU,Padova University,,2025,1334113
Claude Andre Pruneau,Wayne State University (US),US,2025,1334113
Claudia Hoehne,Justus Liebig University Gießen,,2025,1334113
Clemens Werthmann,Ghent University,,2025,1334113
Coleridge Faraday,University of Cape Town,,2025,1334113
Cong Yi,University of Science and Technology of China,,2025,1334113
Constantin Sporleder,University of Jyväskylä,,2025,1334113
Constantinos Loizides,CERN,,2025,1334113
Cornelius Feier-Riesen,JLU Gießen,,2025,1334113
Cristian Baldenegro,Massachusetts Inst. of Technology (US),US,2025,1334113
Cristina Terrevoli,"Universita e INFN, Bari (IT)",IT,2025,1334113
Cynthia Hadjidakis,Université Paris-Saclay (FR),FR,2025,1334113
Dai-Neng Liu,Fudan University,,2025,1334113
Daicui Zhou,Central China Normal University,,2025,1334113
Daiki Sekihata,University of Tokyo (JP),JP,2025,1334113
Dairon Rodriguez Garces,GSI and Goethe University of Frankfurt,,2025,1334113
Dana Avramescu,University of Jyväskylä,,2025,1334113
Daniel Lis,University of Colorado Boulder,,2025,1334113
Daniel Pablos,Universidade de Santiago de Compostela,,2025,1334113
Daniel Tapia Takaki,University of Kansas,,2025,1334113
Dario Alberto Ramirez Zaldivar,GSI Helmholtzzentrum für Schwerionenforschung GmbH,,2025,1334113
Dariusz Miskowiec,GSI Darmstadt,,2025,1334113
David Blaschke,University of Wroclaw and HZDR/CASUS Görlitz,,2025,1334113
David Dobrigkeit Chinellato,Austrian Academy of Sciences (AT),AT,2025,1334113
David Emschermann,GSI,,2025,1334113
David Gutiérrez Menéndez,GSI Helmholtzzentrum für Schwerionenforschung,,2025,1334113
David Silvermyr,Lund University,,2025,1334113
David Wagner,Florence University,,2025,1334113
Debadatta Behera,Indian Institute of Technology Indore (IN),IN,2025,1334113
Debarshi Dey,Indian Institute of Technology Bombay,,2025,1334113
Debojit Sarkar,"Niels Bohr Institute, Copenhagen",,2025,1334113
Debora Mroczek,University of Illinois Urbana-Champaign,,2025,1334113
Deekshit Kumar,"Homi Bhabha National Institute Mumbai, India",,2025,1334113
Deependra Sharma,IIT- Indian Institute of Technology (IN),IN,2025,1334113
Dennis Perepelitsa,University of Colorado Boulder,,2025,1334113
Dennis Spicker,Goethe University Frankfurt - IKF,,2025,1334113
Derek Teaney,Stony Brook University,,2025,1334113
Diana Krupova,Czech Technical University in Prague (CZ),CZ,2025,1334113
Dieter Roehrich,University of Bergen (NO),NO,2025,1334113
Dingwei Zhang,South China Normal University (CN),CN,2025,1334113
Dirk Rischke,Goethe University Frankfurt am Main,,2025,1334113
Diyu Shen,Fudan University,,2025,1334113
Dmitry Shemyakin,Weizmann Institute of Science (IL),IL,2025,1334113
Dominik Karol Derendarz,Polish Academy of Sciences (PL),PL,2025,1334113
Dong Jo Kim,University of Jyvaskyla (FI),FI,2025,1334113
Dongguk Kim,Sungkyunkwan University (KR),KR,2025,1334113
Dylan Neff,CEA-Saclay,,2025,1334113
Dániel Kincses,Eötvös Loránd University,,2025,1334113
Eamonn Weitz,Universität Bielefeld,,2025,1334113
Eduardo Fraga,"Instituto de Física, Universidade Federal do Rio de Janeiro",,2025,1334113
Ejiro Naomi Umaka,Brookhaven National Laboratory (US),US,2025,1334113
Elena Bratkovskaya,"GSI, Darmstadt & Frankfurt Univ.",,2025,1334113
Emil Gorm Nielsen,University of Copenhagen (DK),DK,2025,1334113
Emilie Martine Barreau,Centre National de la Recherche Scientifique (FR),FR,2025,1334113
Emma Ege,Goethe Universität Frankfurt,,2025,1334113
Emma McLaughlin,Columbia University,,2025,1334113
Emma Rose Yeats,University of California Berkeley (US),US,2025,1334113
Enrico Scomparin,INFN Torino (IT),IT,2025,1334113
Enrico Speranza,CERN,,2025,1334113
Eoin Clerkin,FAIR - Facility for AntiProton and Ion Research in Europe GmbH,,2025,1334113
Eslam Shokr,Zurich University,,2025,1334113
Esther Bartsch,Goethe University Frankfurt (DE),DE,2025,1334113
Ezra D. Lesser,CERN,,2025,1334113
Fabian Rennecke,Justus Liebig University Giessen,,2025,1334113
Fabio Colamaria,"INFN, Sezione di Bari (IT)",IT,2025,1334113
