name,affiliation,country,year,indico_id
Aaron Angerami,Columbia University (US),US,2014,219436
Abdulla Abdulsalam Valiyavalappil Kizhakkepura,Bhabha Atomic Research Centre (IN),IN,2014,219436
Abhijit Bhattacharyya,"Department of Physics, University of Calcutta",,2014,219436
Abhijit Majumder,Wayne state university,,2014,219436
Abhishek Atreya,"Institute of Physics, Bhubaneswar",,2014,219436
Achim Heinz,Institut für Theoretische Physik,,2014,219436
Achim Richter,TU Darmstadt,,2014,219436
Adam Kisiel,Warsaw University of Technology (PL),PL,2014,219436
Adam Trzupek,Institute of Nuclear Physics Polish Academy of Sciences (PL),PL,2014,219436
Adam F. Olszewski,Jan Kochanowski University,,2014,219436
Aditya Nath Mishra,Indian Institute of Technology Indore (IN),IN,2014,219436
Ahmed Hamed,Texas A&M University,,2014,219436
Ajay Kumar Dash,Universidade Estadual de Campinas (BR),BR,2014,219436
Akihiko Monnai,RIKEN BNL Research Center,,2014,219436
Akira Ohnishi,Kyoto University,,2014,219436
Alan Dion,Stony Brook University,,2014,219436
Alberica Toia,Johann-Wolfgang-Goethe Univ. (DE),DE,2014,219436
Albert Loctionov,Institute of Physics and Technology,,2014,219436
Alberto Caliva,University of Utrecht (NL),NL,2014,219436
Aleksas Mazeliauskas,Stony Brook University,,2014,219436
Alessandro De Falco,Universita e INFN (IT),IT,2014,219436
Alessandro Grelli,University of Utrecht (NL),NL,2014,219436
Alex Meistrenko,Goethe University Frankfurt,,2014,219436
Alexander Borissov,Pusan National University (KR),KR,2014,219436
Alexander Hansen,Niels Bohr Institute,,2014,219436
Alexander Milov,Weizmann Institute of Science (IL),IL,2014,219436
Alexander Rothkopf,"Institut für Theoretische Physik, Universität Heidelberg",,2014,219436
Alexander Schmah,Lawrence Berkeley National Lab,,2014,219436
Alexander Sorin,Joint Institute for Nuclear Research (Dubna),,2014,219436
Alexander Philipp Kalweit,CERN,,2014,219436
Alexandra Holten,"Physikalisches Institut, Universität Heidelberg",,2014,219436
Alexandre Alarcon Do Passo Suaide,Universidade de Sao Paulo (BR),BR,2014,219436
Alexandru Florin Dobrin,University of Utrecht (NL),NL,2014,219436
Alexei Bazavov,"Univ of California, Riverside / University of Iowa",,2014,219436
