name,affiliation,country,year,indico_id
Abdelrahman Niseem,Stony Brook University,,2018,656452
Acharya Shreyasi,Variable Energy Cyclotron Centre (VECC),,2018,656452
Adams Joseph,Ohio State University,,2018,656452
Adhya Souvik Priyam,"Variable Energy Cyclotron Centre, Kolkata, India",,2018,656452
Adolfsson Jonatan,Lund University (SE),SE,2018,656452
Aiola Salvatore,Yale University (US),US,2018,656452
Aizenberg Iakov,Weizmann Institute of Science (IL),IL,2018,656452
AKIBA YASUYUKI,RIKEN,,2018,656452
Akishina Valentina,Frankfurt University,,2018,656452
Allton Chris,Swansea University,,2018,656452
Alqahtani Mubarak,Imam Abdulrahman Bin Faisal university,,2018,656452
Altenkamper Lucas,University of Bergen (NO),NO,2018,656452
Altsybeev Igor,St Petersburg State University (RU),RU,2018,656452
Alves Garcia Prado Caio,Institute of Particle Physics - CCNU,,2018,656452
Ambrus Victor Eugen,West University of Timisoara,,2018,656452
Andrews Harry Arthur,University of Birmingham (GB),GB,2018,656452
Andronic Anton,University of Muenster,,2018,656452
Andronov Evgeny,St Petersburg State University (RU),RU,2018,656452
Angerami Aaron,LLNL (US),US,2018,656452
Antinori Federico,"Universita e INFN, Padova (IT)",IT,2018,656452
Antonioli Pietro,"Universita e INFN, Bologna (IT)",IT,2018,656452
Aoyama Ryo,University of Tsukuba,,2018,656452
Apadula Nicole,UC Berkeley,,2018,656452
Apolinário Liliana,LIP,,2018,656452
Appelshaeuser Harald,Johann-Wolfgang-Goethe Univ. (DE),DE,2018,656452
Argintaru Danut,"Bucharest University, and Constanta Maritime University,",,2018,656452
Arnaldi Roberta,INFN Torino (IT),IT,2018,656452
Arratia Miguel,University of California Berkeley (US),US,2018,656452
Arsene Ionut Cristian,University of Oslo (NO),NO,2018,656452
Arslandok Mesut,Physikalisches Institut Heidelberg,,2018,656452
Asakawa Masayuki,Osaka University,,2018,656452
Astrakhantsev Nikita,Institute for Theoretical and Experimental Physics,,2018,656452
Audurier Benjamin,"Universita e INFN, Cagliari (IT)",IT,2018,656452
Auvinen Jussi,Institute of Physics Belgrade,,2018,656452
AZMI MOHD DANISH,ALIGARH MUSLIM UNIVERSITY,,2018,656452
Baban Valerica,Constanta Maritime University - Bucharest University,,2018,656452
Badala Angela,INFN- Sezione di Catania,,2018,656452
Badea Anthony,Massachusetts Inst. of Technology (US),US,2018,656452
Bailhache Raphaelle,Johann-Wolfgang-Goethe Univ. (DE),DE,2018,656452
Bala Renu,University of Jammu (IN),IN,2018,656452
Balali Mahboobe,yazd uni,,2018,656452
Baldisseri Alberto,Université Paris-Saclay (FR),FR,2018,656452
Balek Petr,Weizmann Institute of Science (IL),IL,2018,656452
Barbosa Leonardo,Instituto de Física da Universidade de São Paulo,,2018,656452
Barioglio Luca,Universita e INFN Torino (IT),IT,2018,656452
Barnafoldi Gergely Gabor,Wigner RCP Hungarian Academy of Sciences (HU),HU,2018,656452
Barnby Lee,University of Derby (GB),GB,2018,656452
Bartsch Esther,Goethe Universität Frankfurt,,2018,656452
Bass Steffen A.,Duke University,,2018,656452
Bathe Stefan,"Baruch College, CUNY",,2018,656452
Baty Austin Alan,Massachusetts Inst. of Technology (US),US,2018,656452
Bautista Guzman Irais,Autonomous University of Puebla (MX),MX,2018,656452
Bazavov Alexei,Michigan State University,,2018,656452
Bearden Ian,Niels Bohr Institute,,2018,656452
Becattini Francesco,Università di Firenze and INFN,,2018,656452
Bechtel Etienne,Institut für Kernphysik Frankfurt,,2018,656452
Bedda Cristina,Utrecht University (NL),NL,2018,656452
Behera Arabinda,"ATLAS, SBU",,2018,656452
Behera Nirbhay Kumar,Inha University (KR),KR,2018,656452
Belin Samuel,"Universita e INFN, Cagliari (IT)",IT,2018,656452
Bellini Francesca,CERN,,2018,656452
Bellwied Rene,University of Houston (US),US,2018,656452
Belmont Ron,University of Colorado Boulder,,2018,656452
Bencedi Gyula,Wigner RCP of the HAS,,2018,656452
Bendarouach Jordan,Justus Liebig University (JLU-Gießen),,2018,656452
Beole Stefania,Universita e INFN Torino (IT),IT,2018,656452
Beraudo Andrea,INFN - Torino,,2018,656452
Bernardes Cesar,UNESP - Universidade Estadual Paulista (BR),BR,2018,656452
Bhasin Anju,University of Jammu (IN),IN,2018,656452
Bi Ran,Massachusetts Inst. of Technology (US),US,2018,656452
Bianchi Livio,University of Houston (US),US,2018,656452
Bielčík Jaroslav,Czech Technical University,,2018,656452
Bierlich Christian,University of Copenhagen (DK),DK,2018,656452
Bilandzic Ante,Technische Universitaet Muenchen (DE),DE,2018,656452
Biro Gabor,Wigner RCP of the HAS,,2018,656452
Biró Tamás,H.A.S. Wigner RCP Budapest,,2018,656452
Blagojevic Bojana,Institute of Physics Belgrade,,2018,656452
Blaschke David,JINR Dubna,,2018,656452
blok boris,"technion-israel institute of technology, physics department",,2018,656452
Blume Christoph,Johann-Wolfgang-Goethe Univ. (DE),DE,2018,656452
Bock Friederike,CERN,,2018,656452
Boettcher Thomas,Massachusetts Inst. of Technology (US),US,2018,656452
Boguslavski Kirill,University of Jyväskylä (FI),FI,2018,656452
Bold Tomasz,"AGH Univ. of Science and Technology, Krakow",,2018,656452
Bombara Marek,Pavol Jozef Safarik University (SK),SK,2018,656452
Bonomi Germano,University of Brescia and INFN Pavia,,2018,656452
Borghini Nicolas,University of Bielefeld,,2018,656452
Borrell Martinez Marc,University of Bielefeld,,2018,656452
Borsanyi Szabolcs,University of Wuppertal,,2018,656452
Bourjau Christian,University of Copenhagen (DK),DK,2018,656452
Bozek Piotr,AGH University of Science and Technology,,2018,656452
Brandenburg James Daniel,Rice University,,2018,656452
Braun-Munzinger Peter,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE,2018,656452
Bredo Fabio,INFN Sezione di Padova,,2018,656452
Brewer Jasmine,MIT,,2018,656452
Bruna Elena,INFN Torino (IT),IT,2018,656452
Bruno Giuseppe Eugenio,"Università and INFN, Bari (IT)",IT,2018,656452
Brusheim Johansson Bengt Henrik,"NFR, Norway",,2018,656452
Bryslawskyj Jason,UC Riverside,,2018,656452
Buesching Henner,University of Frankfurt,,2018,656452
Bufalino Stefania,DISAT - Politecnico di Torino (IT),IT,2018,656452
Burka Klaudia,Polish Academy of Sciences (PL),PL,2018,656452
Bursche Albert,"Universita e INFN, Cagliari (IT)",IT,2018,656452
Busza Wit,Mass. Inst. of Technology,,2018,656452
Buxton Jesse Thomas,Ohio State University (US),US,2018,656452
Buzzegoli Matteo,Florence University and INFN,,2018,656452
Caines Helen,Yale University,,2018,656452
Calderon De La Barca Sanchez Manuel,University of California Davis (US),US,2018,656452
Caliva Alberto,GSI,,2018,656452
Camerini Paolo,Universita e INFN Trieste (IT),IT,2018,656452
Cao Shanshan,Wayne State University,,2018,656452
Capelin Simon,Cambridge University Press,,2018,656452
Capon Aaron,"Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)",AT,2018,656452
Carnesecchi Francesca,"Universita e INFN, Bologna (IT), Centro Fermi, Roma (IT)",IT,2018,656452
CASADELRREY SOLANA JORGE,UNIVERSITAT DE BARCELONA,,2018,656452
Casula Ester Anna Rita,"INFN, Cagliari (IT)",IT,2018,656452
Chao Jingyi,"Institute of Modern Physics, CAS",,2018,656452
Chapon Émilien,CERN,,2018,656452
Chatterjee Arghya,"Variable Energy Cyclotron Centre, Kolkata",,2018,656452
Chatterjee Sandeep,"AGH University of Science and Technology, Krakow",,2018,656452
Chattopadhyay Chandrodoy,Tata Institute of Fundamental Research,,2018,656452
Chen Baoyi,Frankfurt University,,2018,656452
Chen Lin,Central China Normal University,,2018,656452
Chen Shanzhen,INFN Cagliari,,2018,656452
Chen Shi-Yong,CCNU,,2018,656452
Chen Xiaolong,USTC/LBNL,,2018,656452
Chen Yi,CERN,,2018,656452
Chen Zhenyu,Rice University (US),US,2018,656452
CHERIF Hamda,Johann-Wolfgang-Goethe Univ. (DE),DE,2018,656452
Cheynis Brigitte,Institut de Physique Nucléaire de Lyon (FR),FR,2018,656452
Chiaratti Rossana,PROVA,,2018,656452
Chien Yang-Ting,Massachusetts Institute of Technology,,2018,656452
Chlad Lukáš,Nuclear Physics Institute of the CAS,,2018,656452
Cho Sungtae,Kangwon National University,,2018,656452
Chowdhury Tasnuva,Université Clermont Auvergne (FR),FR,2018,656452
Christakoglou Panos,Nikhef National institute for subatomic physics (NL) & Utrecht University,,2018,656452
Christiansen Peter,Lund University (SE),SE,2018,656452
Christie William,Brookhaven National Lab,,2018,656452
Chudasama Ruchi,Bhabha Atomic Research Centre (IN),IN,2018,656452
Cimerman Jakub,"Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University",,2018,656452
Citron Zvi,Ben-Gurion University of the Negev (IL),IL,2018,656452
Coci Gabriele,University of Catania,,2018,656452
Colamaria Fabio,"INFN, Bari (IT)",IT,2018,656452
Colangelo Pietro,INFN - Bari,,2018,656452
Cole Brian,Columbia University (US),US,2018,656452
Colocci Manuel,"University and INFN, Bologna",,2018,656452
Connors Megan,Georgia State University and RBRC,,2018,656452
Corrales Morales Yasser,Universita e INFN Torino (IT),IT,2018,656452
Cortopassi Alessandro,CAEN SPA,,2018,656452
Costa Fulvia,Infn Padova,,2018,656452
Critelli Renato,University of Sao Paulo - Institute of Physics,,2018,656452
Cruz-Camacho Nikolás,Universidad Nacional de Colombia,,2018,656452
Csernai Laszlo P.,University of Bergen / IFT,,2018,656452
Cui Pengyao,Central China Normal University CCNU (CN),CN,2018,656452
Cunqueiro Mendez Leticia,Oak Ridge National Laboratory - (US),US,2018,656452
Cyrol Anton Konrad,University of Heidelberg,,2018,656452
Czajka Alina,McGill University/UJK,,2018,656452
D'Elia Massimo,University of Pisa and INFN,,2018,656452
d'Enterria David,CERN,,2018,656452
da Silva Cesar,Los Alamos National Lab,,2018,656452
Dahms Torsten,Technische Universitaet Muenchen (DE),DE,2018,656452
Dainese Andrea,INFN - Padova (IT),IT,2018,656452
Dasgupta Pingal,"Variable Energy Cyclotron Centre, Kolkata",,2018,656452
Dash Ajay Kumar,National Institute of Science Education and Research (IN),IN,2018,656452
Dash Sadhana,"Indian Institute of Technology, Bombay",,2018,656452
Dashi Anisa,Excellence Cluster Universe - TUM,,2018,656452
David Gabor,Stony Brook University,,2018,656452
Davis Nikolaos,Polish Academy of Sciences (PL),PL,2018,656452
de Albuquerque Danilo,UNICAMP,,2018,656452
De Conti Camila,Universidade de Sao Paulo (BR),BR,2018,656452
De Falco Alessandro,Università/INFN Cagliari,,2018,656452
De Marco Nora,INFN sezione di Torino,,2018,656452
De Souza Lemos Dener,UNESP - Universidade Estadual Paulista (BR),BR,2018,656452
Delsanto Silvia,Universita e INFN Torino (IT),IT,2018,656452
Denicol Gabriel,Universidade Federal Fluminense,,2018,656452
Deppner Ingo,Physikalisches Institut der Uni Heidelberg,,2018,656452
Derendarz Dominik Karol,Polish Academy of Sciences (PL),PL,2018,656452
Dhankher Preeti,IIT- Indian Institute of Technology (IN),IN,2018,656452
Diab Batoul,"CNRS, Laboratoire Leprince Ringuet",,2018,656452
Dietel Thomas,University of Cape Town (ZA) (UCT),UCT,2018,656452
Dillenseger Pascal,Johann-Wolfgang-Goethe Univ. (DE),DE,2018,656452
Ding Yanchun,Central China Normal University CCNU (CN),CN,2018,656452
Djordjevic Magdalena,Institute of Physics Belgrade,,2018,656452
Doenigus Benjamin,Goethe University Frankfurt,,2018,656452
Doi Takahiro,RIKEN,,2018,656452
Dolejsi Jiri,Charles University (CZ),CZ,2018,656452
Dong Xin,Lawrence Berkeley National Laboratory,,2018,656452
Drees Axel,Stony Brook University,,2018,656452
Du Lipei,Ohio State University,,2018,656452
Du Yilun,"Frankfurt Institute of Advanced Studies, Goethe University Fran",,2018,656452
Dubla Andrea,GSI,,2018,656452
Ducloue Bertrand,IPhT Saclay,,2018,656452
Dumancic Mirta,Weizmann Institute of Science (IL),IL,2018,656452
Dunlop James,Brookhaven National Laboratory,,2018,656452
Durham Matt,Los Alamos National Laboratory,,2018,656452
Dusling Kevin,Physical Review Letters,,2018,656452
Ehlers Raymond,Yale University (US),US,2018,656452
Elfner (Petersen) Hannah,FIAS/GU Frankfurt/GSI,,2018,656452
Elia Domenico,INFN Bari,,2018,656452
Emschermann David,"GSI (Darmstadt, DE)",,2018,656452
Epple Eliane,Yale University,,2018,656452
Erhardt Filip,University of Zagreb (HR),HR,2018,656452
Eschke Juergen,FAIR,,2018,656452
ESCOBEDO ESPINOSA Miguel angel,University of Jyväskylä,,2018,656452
Eskola Kari J.,University of Jyvaskyla,,2018,656452
Evdokimov Anatoly,University of Illinois at Chicago,,2018,656452
Evdokimov Olga,University of Illinois at Chicago (US),US,2018,656452
Everett Derek,Ohio State University,,2018,656452
Ewigleben Justin,Lehigh University,,2018,656452
Fadem Brett,Muhlenberg College,,2018,656452
Faggin Mattia,"Universita e INFN, Padova (IT)",IT,2018,656452
Fai George,U.S. Department of Energy,,2018,656452
Fan Wenqing,Stony Brook University,,2018,656452
Fantoni Alessandra,INFN e Laboratori Nazionali di Frascati (IT),IT,2018,656452
Fecchio Pietro,Università e INFN Torino (IT),IT,2018,656452
Feld Steffen,Universität Bielefeld,,2018,656452
Feliciello Alessandro,INFN - Sezione di Torino,,2018,656452
Festanti Andrea,CERN,,2018,656452
Filippi Alessandra,INFN - Trieste,,2018,656452
Fionda Fiorella,University of Bergen,,2018,656452
Floerchinger Stefan,Heidelberg University,,2018,656452
Florkowski Wojciech,IFJ Krakow & UJK Kielce / Poland,,2018,656452
Foka Yiota,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE,2018,656452
Fragiacomo Enrico,INFN Trieste,,2018,656452
Fries Rainer,Texas A&M University,,2018,656452
Friesen Alexandra,Joint Institute for nuclear research,,2018,656452
Friman Bengt,GSI,,2018,656452
Fukushima Kenji,The University of Tokyo,,2018,656452
Förtsch Jörg,University of Wuppertal,,2018,656452
Gaardhoje Jens-Jorgen,Niels Bohr Institute,,2018,656452
Galatyuk Tetyana,TU Darmstadt / GSI,,2018,656452
Gale Charles,McGill University,,2018,656452
Garcia-Montero Oscar,Institut für Theoretische Physik- Universität Heidelberg,,2018,656452
Garg Kunal,"Universita e INFN, Catania (IT)",IT,2018,656452
Garner Katharina,Westfaelische Wilhelms-Universitaet Muenster (DE),DE,2018,656452
