name,affiliation,country,year,indico_id
Aaron Capon,"Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)",AT,2019,792436
Abhijit Majumder,Wayne State University,,2019,792436
Adam Bzdak,AGH University of Science and Technology,,2019,792436
Adam Kisiel,JINR/Warsaw University of Technology (PL),PL,2019,792436
Adam Takacs,University of Bergen,,2019,792436
Adrian Rodriguez,Goethe University Frankfurt am Main,,2019,792436
Adrian Amatus Weber,JLU Gießen,,2019,792436
Adrian Fereydon Nassirpour,Lund University (SE),SE,2019,792436
Agnieszka Wergieluk,"University of California, Los Angeles",,2019,792436
Ahsan Mehmood Khan,Central China Normal University CCNU (CN),CN,2019,792436
Aihong Tang,Brookhaven National Laboratory,,2019,792436
Ailec de la Caridad Bell Hechavarria,Westfaelische Wilhelms-Universitaet Muenster (DE),DE,2019,792436
Akihiko Monnai,High Energy Accelerator Research Organization (KEK),KEK,2019,792436
Aleksas Mazeliauskas,Heidelberg University/ CERN,,2019,792436
Alessandro De Falco,"Universita e INFN, Cagliari (IT)",IT,2019,792436
Alessandro Grelli,Utrecht University (NL),NL,2019,792436
Alexander Milov,Weizmann Institute of Science (IL),IL,2019,792436
Alexander Rothkopf,University of Stavanger,,2019,792436
Alexander Philipp Kalweit,CERN,,2019,792436
Alexandra Neagu,University of Oslo (NO),NO,2019,792436
Alexandre Lebedev,Iowa State University (US),US,2019,792436
Alexandru Parvan,Joint Institute for Nuclear Research,,2019,792436
Alexandru Florin Dobrin,Institute of Space Science (RO),RO,2019,792436
Alina Czajka,National Centre for Nuclear Research,,2019,792436
Alwina Liu,University of California Berkeley (US),US,2019,792436
Amaresh Jaiswal,National Institute of Science Education and Research,,2019,792436
Amit Kumar,Wayne State University,,2019,792436
Anar Rustamov,GSI/National Nuclear Research Center (AZ),AZ,2019,792436
Andre Govinda Stahl Leiton,Rice University (US),US,2019,792436
Andrea Dainese,INFN - Padova,,2019,792436
Andrea Danu,Institute of Space Science (RO),RO,2019,792436
Andrea Dubla,GSI,,2019,792436
Andrea Rossi,"Universita e INFN, Padova (IT)",IT,2019,792436
Andreas Ipp,TU Wien,,2019,792436
Andreas Morsch,CERN,,2019,792436
Andrey Seryakov,St Petersburg State University (RU),RU,2019,792436
Angela Badala,INFN - Sezione di Catania,,2019,792436
Angelika Magdalena Tefelska,Warsaw University of Technology (PL),PL,2019,792436
Anjali Sharma,Panjab University (IN),IN,2019,792436
Anke Lei,Wuhan University of Technology,,2019,792436
Anna Schäfer,Frankfurt Institute for Advanced Studies (FIAS),,2019,792436
Anne Marie Sickles,Univ. Illinois at Urbana Champaign (US),US,2019,792436
Anping Huang,Indiana University,,2019,792436
Anthony Frawley,Florda State University,,2019,792436
Anthony Hodges,Georgia State University,,2019,792436
Anton Lymanets,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE,2019,792436
Anton Motornenko,Frankfurt Institute for Advanced Studies,,2019,792436
Antonio Ortiz Velasquez,Universidad Nacional Autonoma (MX),MX,2019,792436
Anurag Tiwari,Tata Institute of Fundamental Research,,2019,792436
Ao Luo,CCNU,,2019,792436
Arabinda Behera,Stony Brook Universty (US),US,2019,792436
Aradhya Shukla,"School of Physics and Astronomy, Sun Yat-Sen University, Guangzhou, China",,2019,792436
Arghya Chatterjee,Central China Normal University,,2019,792436
Arthur Gal,Centre National de la Recherche Scientifique (FR),FR,2019,792436
Arvind Khuntia,IFJ PAN,,2019,792436
Ashish Pandav,"National Institute of Science Education and Research, Bhubaneswar",,2019,792436
Attila Pasztor,Eötvös University,,2019,792436
Austin Alan Baty,Rice University (US),US,2019,792436
Axel Drees,Stony Brook University,,2019,792436
Ayaka Suzuki,Nara Women's University,,2019,792436
Azumi Sakai,Sophia University,,2019,792436
Azwinndini Muronga,Nelson Mandela University,,2019,792436
Baidyanath Sahoo,IIT- Indian Institute of Technology (IN) Bombay,,2019,792436
Baochi Fu,Peking University,,2019,792436
Barbara Jacak,University of California Berkeley (US),US,2019,792436
Barbara Trzeciak,Czech Technical University in Prague,,2019,792436
Bedangadas Mohanty,National Institute of Science Education and Research (IN),IN,2019,792436
Ben-Wei Zhang,Central China Normal University,,2019,792436
Benjamin Audurier,"Universita e INFN, Cagliari (IT)",IT,2019,792436
Benjamin Doenigus,Johann-Wolfgang-Goethe Univ. (DE),DE,2019,792436
Benjamin Schweid,Stony Brook University,,2019,792436
Benjamin Schüller,Goethe-Universität Frankfurt,,2019,792436
Berndt Mueller,Brookhaven National Laboratory,,2019,792436
Biao Zhang,Central China Normal University CCNU (CN),CN,2019,792436
Bing-feng JIANG,Hubei Minzu University,,2019,792436
Bjoern Schenke,Brookhaven National Lab,,2019,792436
Bojana Ilic,Institute of Physics Belgrade,,2019,792436
Boleslaw Wyslouch,Massachusetts Inst. of Technology (US),US,2019,792436
Bong-Hwi Lim,Pusan National University (KR),KR,2019,792436
Borge Nielsen,University of Copenhagen (DK),DK,2019,792436
Boris Hippolyte,"IPHC / USIAS (Strasbourg, FR)",,2019,792436
Boris Tomasik,Czech Technical University,,2019,792436
Bowen Xiao,Central China Normal University,,2019,792436
Brett Fadem,Muhlenberg College,,2019,792436
Brian Cole,Columbia University (US),US,2019,792436
Caio A. G. Prado,Central China Normal University (CN),CN,2019,792436
Caio Brito,Universidade Federal Fluminense,,2019,792436
Cameron Dean,Los Alamos National Laboratory (US),US,2019,792436
Carlos A. Salgado,IGFAE - Universidade de Santiago de Compostela,,2019,792436
Carsten Greiner,University of Frankfurt,,2019,792436
Catalin Ristea,Institute of Space Science (RO),RO,2019,792436
Cesar Bernardes,UNESP - Universidade Estadual Paulista (BR),BR,2019,792436
changfeng li,Shandong University,,2019,792436
ChanJui Feng,National Cheng Kung University,,2019,792436
Chanwook Park,McGill University,,2019,792436
Chao Guo,Central China Normal University CCNU (CN),CN,2019,792436
Charles Gale,McGill University,,2019,792436
Chathuranga Sirimanna,Wayne State University,,2019,792436
Cheng Zhang,"Key Laboratory of Particle Physics and Particle Irradiation (MOE), Institute of frontier and interdisciplinary science, Shandong University & Key Laboratory of Quark and Lepton Physics (MOE) and Institute of Particle Physics, Central China Normal University",,2019,792436
Chenlu Hu,"Institute of Modern Physics, Chinese Academy of Sciences",,2019,792436
Chi Ding,Central China Normal University,,2019,792436
Chi Yang,Shandong University,,2019,792436
Chihiro Sasaki,University of Wroclaw,,2019,792436
Chowdhury Aminul Islam,University of Chinese Academy of Sciences,,2019,792436
Christian Fischer,JLU Gießen,,2019,792436
Christian Fischer,University of Giessen,,2019,792436
Christoph Blume,Johann-Wolfgang-Goethe Univ. (DE),DE,2019,792436
Christopher Mc Ginn,University of Colorado Boulder (US),US,2019,792436
Christopher Plumberg,Lund University,,2019,792436
Chuan Sun,Shandong University,,2019,792436
Chun Shen,Wayne State University,,2019,792436
Chunjian Zhang,Shanghai Institute of Applied Physics,,2019,792436
Cindy Mordasini,Technische Universitaet Muenchen (DE),DE,2019,792436
cong li,Shandong University,,2019,792436
Constantin Loizides,ORNL,,2019,792436
Cristina Terrevoli,University of Houston (US),US,2019,792436
Daicui Zhou,Central China Normal University CCNU (CN),CN,2019,792436
Daiki Sekihata,University of Tokyo (JP),JP,2019,792436
Daiki Suenaga,Central China Normal University,,2019,792436
