name,affiliation,country,year,indico_id
159 Stephan,Koenigstorfer,,2022,895086
160 Jedrzej,Kolas,,2022,895086
161 Piotr,Korcyl,,2022,895086
162 Artem,Kotliarov,,2022,895086
163 László,Kovács,,2022,895086
164 Győző,Kovács,,2022,895086
165 Marek,Kowalski,,2022,895086
166 Balázs,Kórodi,,2022,895086
167 Adela,Kravčáková,,2022,895086
168 Lukas,Kreis,,2022,895086
169 Jakub,Kremer,,2022,895086
170 Martin,Krivos,,2022,895086
171 Filip,Krizek,,2022,895086
172 Sourav,Kundu,,2022,895086
173 Krzysztof,Kutak,,2022,895086
174 Minjung,Kweon,,2022,895086
175 Caroline,Lambert,,2022,895086
176 Tuomas,Lappi,,2022,895086
177 Gauthier,Legras,,2022,895086
178 Marcel,Lesch,,2022,895086
179 Tadeusz,Lesiak,,2022,895086
180 Ezra,Lesser,,2022,895086
181 Peter,Levai,,2022,895086
182 Maciej,Lewicki,,2022,895086
183 Bong-hwi,Lim,,2022,895086
184 Sanghoon,Lim,,2022,895086
185 Florian,Lindenbauer,,2022,895086
186 Michael,Lisa,,2022,895086
187 Alwina,Liu,,2022,895086
188 Hui,Liu,,2022,895086
189 Pok Man,Lo,,2022,895086
190 Sandor,Lokos,,2022,895086
191 Topi,Löytäinen,,2022,895086
192 Tan,Lu,,2022,895086
193 Pengzhong,Lu,,2022,895086
194 Oleksii,Lubynets,,2022,895086
195 Matthew,Luzum,,2022,895086
196 Valentina,Mantovani Sarti,,2022,895086
197 Heikki,Mäntysaari,,2022,895086
198 Antoni,Marcinek,,2022,895086
199 Michał,Marczenko,,2022,895086
200 Saverio,Mariani,,2022,895086
201 Adeilton Dean,Marques Vaois,,2022,895086
202 Massimo,Masera,,2022,895086
203 Oliver,Matonoha,,2022,895086
204 Adam,Matyja,,2022,895086
205 Aleksas,Mazeliauskas,,2022,895086
206 Francesco,Mazzaschi,,2022,895086
207 Marianna,Mazzilli,,2022,895086
208 Larry,McLerran,,2022,895086
209 Ke,Mi,,2022,895086
210 Luca,Micheletti,,2022,895086
211 Alexander,Milov,,2022,895086
212 Dariusz,Miskowiec,,2022,895086
213 Zuzana,Moravcova,,2022,895086
214 George,Moschelli,,2022,895086
215 Stanisław,Mrówczyński,,2022,895086
216 Ayon,Mukherjee,,2022,895086
217 James,Mulligan,,2022,895086
218 Luciano,Musa,,2022,895086
219 Valeriya,Mykhaylova,,2022,895086
220 Laslo,Nađđerđ,,2022,895086
221 Adrian,Nassirpour,,2022,895086
222 Pablo,Navarrete,,2022,895086
223 Tim,Neidig,,2022,895086
