Last Name	First Name	Affiliation	Country
Capon	Aaron	Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)	Austria
Carnesecchi	Francesca	Universita e INFN, Bologna (IT), Centro Fermi, Roma (IT)	Italy
CASADELRREY SOLANA	JORGE	UNIVERSITAT DE BARCELONA	Spain
Casula	Ester Anna Rita	INFN, Cagliari (IT)	Italy
Chao	Jingyi	Institute of Modern Physics, CAS	China
Chapon	Émilien	CERN	Switzerland
Chatterjee	Arghya	Variable Energy Cyclotron Centre, Kolkata	India
Chatterjee	Sandeep	AGH University of Science and Technology, Krakow	India
Chattopadhyay	Chandrodoy	Tata Institute of Fundamental Research	India
Chen	Baoyi	Frankfurt University	Germany
Chen	Lin	Central China Normal University	China
Chen	Shanzhen	INFN Cagliari	Italy
Chen	Shi-Yong	CCNU	China
Chen	Xiaolong	USTC/LBNL	China
Chen	Yi	CERN	Switzerland
Chen	Zhenyu	Rice University (US)	United States
CHERIF	Hamda	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Cheynis	Brigitte	Institut de Physique Nucléaire de Lyon (FR)	France
Chiaratti	Rossana	PROVA	Afghanistan
Chien	Yang-Ting	Massachusetts Institute of Technology	United States
Chlad	Lukáš	Nuclear Physics Institute of the CAS	Czechia
Cho	Sungtae	Kangwon National University	South Korea
Chowdhury	Tasnuva	Université Clermont Auvergne (FR)	France
Christakoglou	Panos	Nikhef National institute for subatomic physics (NL) & Utrecht University	Netherlands
Christiansen	Peter	Lund University (SE)	Sweden
Christie	William	Brookhaven National Lab	United States
Chudasama	Ruchi	Bhabha Atomic Research Centre (IN)	India
Cimerman	Jakub	Faculty of Nuclear Sciences and Physical Engineering, Czech Technical University	Czechia
Citron	Zvi	Ben-Gurion University of the Negev (IL)	Israel
Coci	Gabriele	University of Catania	Italy
Colamaria	Fabio	INFN, Bari (IT)	Italy
Colangelo	Pietro	INFN - Bari	Italy
Cole	Brian	Columbia University (US)	United States
Colocci	Manuel	University and INFN, Bologna	Italy
Connors	Megan	Georgia State University and RBRC	United States
Corrales Morales	Yasser	Universita e INFN Torino (IT)	Italy
