ID	First Name	Last Name	Affiliation
127	Bas	Hofman	Utrecht University/Nikhef
128	Laura	Huhta	University of Jyväskylä
129	Zachary	Hulcher	MIT
130	Pasi	Huovinen	University of Wroclaw
131	Gian Michele	Innocenti	CERN
132	Artem	Isakov	Nuclear Physics Institute of the Czech Academy of Sciences
133	Johannes Hamre	Isaksen	University of Bergen
134	Oleksii	Ivanytskyi	University of Wroclaw
135	Barbara	Jacak	University of California, Berkeley
136	Shahriyar	Jafarzade	Jan Kochanowski University, Kielce, Poland
137	Sunil	Jaiswal	Tata Institute of Fundamental Research, Mumbai, India
138	Zuzana	Jakubčinová	Pavol Jozef Šafárik University
139	Jakub	Jankowski	Univerisity of Wroclaw
140	Marek	Jeżabek	Institute of Nuclear Physics Polish Academy of Sciences
141	Sujeong	Ji	Pusan National University(KR)
142	Jiangyong	Jia	Stony Brook University
143	Arash	Jofrehei	University of Zurich
144	Michael	Jung	Institut fuer Kernphysik Frankfurt
145	Jerome	Jung	Goethe University
146	Anna	Kaczmarska	IFJ PAN
147	Marcin	Kajetanowicz	Nowoczesna Elektronika
148	Alexander	Kalweit	CERN
149	Matthias	Kaminski	University of Alabama
150	Iurii	Karpenko	FNSPE CTU in Prague
151	Shahid	Khan	Eberhard Karls University of Tübingen, Tübingen, Germany
152	Yongsun	Kim	Sejong University
153	Yongjun	Kim	Pusan National University
154	Benjamin	Kimelman	University of California, Davis
155	Andreas	Kirchner	ITP Heidelberg
156	Danuta	Kisielewska	AGH University of Science and Technology
157	Jochen	Klein	CERN
158	Frederic	Klette	Bielefeld University
159	Stephan	Koenigstorfer	Technical University Munich
160	Jedrzej	Kolas	Warsaw University of Technology
161	Piotr	Korcyl	Institute of Theoretical Physics, Jagiellonian University
162	Artem	Kotliarov	Nuclear Physics Institute of the Czech Academy of Sciences
163	László	Kovács	Eötvös Loránd University
164	Győző	Kovács	Wigner RCP, Eötvös University
165	Marek	Kowalski	Institute of Nuclear Physics PAS
166	Balázs	Kórodi	Eötvös Loránd University
167	Adela	Kravčáková	Pavol Jozef Šafárik University
168	Lukas	Kreis	Heidelberg University
169	Jakub	Kremer	Johannes Gutenberg University Mainz
170	Martin	Krivos	Charles University
171	Filip	Krizek	Nuclear Physics Institute of CAS
172	Sourav	Kundu	CERN
173	Krzysztof	Kutak	IFJ PAN
174	Minjung	Kweon	Inha University
175	Caroline	Lambert	ESF
176	Tuomas	Lappi	University of Jyväskylä
177	Gauthier	Legras	WWU Münster
178	Marcel	Lesch	Technical University of Munich
179	Tadeusz	Lesiak	IFJ PAN
180	Ezra	Lesser	University of California Berkeley
181	Peter	Levai	Wigner RCP
182	Maciej	Lewicki	Institute of Nuclear Physics, Polish Academy of Sciences
183	Bong-hwi	Lim	Pusan National University
184	Sanghoon	Lim	Pusan National University
185	Florian	Lindenbauer	TU Wien
186	Michael	Lisa	Ohio State University
187	Alwina	Liu	University of California, Berkeley
188	Hui	Liu	Central China Normal University & Heidelberg University
189	Pok Man	Lo	University of Wroclaw
190	Sandor	Lokos	IFJ PAN
191	Topi	Löytäinen	University of Jyväskylä
192	Tan	Lu	Institute of Modern Physics, Chinese Academy of Sciences
193	Pengzhong	Lu	University of Science and Technology of China/GSI
194	Oleksii	Lubynets	GSI Helmholtzzentrum für Schwerionenforschung GmbH
195	Matthew	Luzum	University of São Paulo
196	Valentina	Mantovani Sarti	TUM
197	Heikki	Mäntysaari	University of Jyväskylä
198	Antoni	Marcinek	Institute of Nuclear Physics Polish Academy of Sciences
199	Michał	Marczenko	University of Wrocław
200	Saverio	Mariani	INFN, Sezione di Firenze
201	Adeilton Dean	Marques Vaois	Bielefeld University
202	Massimo	Masera	Turin University and INFN
203	Oliver	Matonoha	Lund University
204	Adam	Matyja	IFJ PAN
205	Aleksas	Mazeliauskas	CERN Theoretical Physics Department
206	Francesco	Mazzaschi	University and INFN Torino
207	Marianna	Mazzilli	CERN
208	Larry	McLerran	Institute for Nuclear Theory
209	Ke	Mi	Central China Normal University & Heidelberg University
210	Luca	Micheletti	INFN Torino
211	Alexander	Milov	Weizmann Institute of Science
212	Dariusz	Miskowiec	GSI
213	Zuzana	Moravcova	Niels Bohr Institute
214	George	Moschelli	Lawrence Technological University
215	Stanisław	Mrówczyński	Jan Kochanowski University & National Centre for Nuclear Research
216	Ayon	Mukherjee	Eötvös Loránd University
217	James	Mulligan	LBNL
218	Luciano	Musa	CERN
219	Valeriya	Mykhaylova	University of Wrocław
220	Laslo	Nađđerđ	Vinca Institut of Nuclear Sciences
221	Adrian	Nassirpour	Lund University
222	Pablo	Navarrete	Universidad del Bio-Bio
223	Tim	Neidig	Goethe University Frankfurt
224	Emil Gorm	Nielsen	Niels Bohr Institute
225	Govert	Nijs	Massachusetts Institute of Technology
226	Stephan	Ochsenfeld	Bielefeld University
227	Agnieszka	Ogrodnik	AGH University of Science and Technology
228	Jongho	Oh	Pusan National University
229	Kosuke	Okubo	University of Tsukuba
230	Anna	Önnerstad	University of Jyväskylä
231	Antonio	Ortiz Velasquez	UNAM, CERN
232	Jacek	Otwinowski	Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk
233	Petja	Paakkinen	University of Jyväskylä
234	Daniel	Pablos	INFN Torino
235	Kevin	Pala	Universidade de São Paulo
236	Andrea	Palermo	Università di Firenze, Goethe Universität Frankfurt
237	Oleksandra	Panova	Uniwersytet Jana Kochanowskiego w Kielcach
238	Gábor	Papp	Eötvös Loránd University
239	Sohyun	Park	CERN
240	Jonghan	Park	Inha University
241	Diana	Pawłowska	Warsaw University of Technology
242	Michele	Pennisi	INFN Torino
243	Jani	Penttala	University of Jyväsylä
244	Dennis	Perepelitsa	University of Colorado Boulder
245	Sebastien	Perrin	Université Paris-Saclay (FR) - CEA
246	Jarkko	Peuron	Lund university
247	Philip	Plaschke	Bielefeld University
248	Christos	Pliatskas Stylianidis	Nikhef
249	Stefano	Politano	Politecnico & INFN Torino
250	Patrycja	Potępa	Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie
251	Barnabás	Pórfy	Eötvös Loránd University
252	Michal	Praszalowicz	Jagiellonian University
253	Maximiliano	Puccio	CERN
254	Sara	Pucillo	Università degli Studi di Torino & INFN
255	Shi	Qiu	Nikhef
 	 	 	 
257	Jan	Rais	Institut für Theoretische Physik, Goethe Universität Frankfurt
258	Dario Alberto	Ramirez Zaldivar	GSI Helmholtzzentrum für Schwerionenforschung GmbH
259	Narendra	Rathod	Warsaw University of Technology (WUT)
260	Claudia	Ratti	University of Houston
261	Krzysztof	Redlich	University of Wroclaw
262	Rosi	Reed	Lehigh
263	Fabian	Rennecke	Giessen University
264	Klaus	Reygers	Heidelberg University
265	Valeria Zelina	Reyna Ortiz	jan kochanowski university
266	Dirk	Rischke	Goethe University Frankfurt
267	Hendrik	Roch	Bielefeld University
268	Dairon	Rodriguez Garces	GSI Helmholtzzentrum für Schwerionenforschung GmbH
269	Adrian	Rodríguez Rodríguez	GSI Helmholtzzentrum für Schwerionenforschung GmbH
270	Martin	Rohrmoser	IFJ-PAN
271	Diptanil	Roy	Rutgers University
272	Priyanka	Roy Chowdhury	Warsaw University of Technology
273	Łukasz	Rozpłochowski	Institute of Nuclear Physics Polish Academy of Sciences
274	Nicola	Rubini	Bologna University
275	Anar	Rustamov	GSI Helmholtzzentrum für Schwerionenforschung
276	Martin	Rybar	Charles University
277	Maciej	Rybczyński	Jan Kochanowski University
278	Andrzej	Rybicki	Institute of Nuclear Physics Polish Academy of Sciences
279	Radoslaw	Ryblewski	Institute of Nuclear Physics PAN
280	Heidi	Rytkönen	Helsinki Institute of Physics
281	Jaehyeok	Ryu	Pusan National University
282	Oskari	Saarimäki	Helsinki Institute of Physics
283	Aswini Kumar	Sahoo	Indian Institute of Science Education and Research, Berhampur
284	Piotr	Salabura	Jagiellonian Unbiversity
285	Carlos A.	Salgado	IGFAE - U. Santiago de Compostela
286	Rupam	Samanta	AGH University of Science and Technology
287	Debojit	Sarkar	Wayne State University
288	Mike	Sas	Yale University
289	Chihiro	Sasaki	University of Wroclaw
290	Wolfgang	Schäfer	Institute of Nuclear Physics PAN
291	Sebastian	Scheid	Goethe University Frankfurt
292	Philipp	Schicho	Helsinki Institute of Physics
293	Soeren	Schlichting	Bielefeld University
294	Jurgen	Schukraft	Niels Bohr Institute Copenhagen
295	Enrico	Scomparin	INFN Torino
296	Blair	Seidlitz	Columbia University
297	Jinjoo	Seo	Inha University
298	Laura	Serksnyte	Technical University of Munich
299	Syed Uzair Ahmed	Shah	Uniwersytet Jana Kochanowskiego w Kielcah
300	Harsh	Shah	Lund University
301	Mahboubeh	Shahrbaf	University of Wroclaw
302	Meenakshi	Sharma	University of Jammu
303	Himanshu	Sharma	Institute of Nuclear Physics, PAN
304	Sheetal	Sharma	University of Jammu
305	Masoud	Shokri	Goethe University
306	Rajeev	Singh	Institute of Nuclear Physics Polish Academy of Sciences
307	Bhawani	Singh	Technical University of Munich
308	Randhir	Singh	University of Jammu
309	Ravindra	Singh	INDIAN INSTITUTE OF TECHNOLOGY INDORE
310	Yuriy	Sinyukov	Bogolyubov Institute for Theoretical Physics
311	Patrycja	Słoń	National Centre for Nuclear Research
312	Raimond	Snellings	Utrecht University
313	Alexander	Soloviev	TU Wien
314	Gabriel	Sophys	IFJ PAN
315	Agnieszka	Sorensen	Institute for Nuclear Theory
316	Alba	Soto Ontoso	Institute de Physique Theorique
317	Michał	Spaliński	NCBJ & UwB
318	Simon	Spies	Goethe University Frankfurt
319	Iwona	Sputowska	The Henryk Niewodniczański Institute of Nuclear Physics Polish Academy of Sciences
320	Johanna	Stachel	Universitaet Heidelberg
321	Andre Govinda	Stahl Leiton	CERN
322	Grzegorz	Stefanek	Jan Kochanowski University
323	Maria	Stefaniak	GSI
324	George	Stephans	Massachusetts Institute of Technology
325	Milan	Stojanovic	Purdue University
326	Michael	Strickland	Kent State University
327	Joachim	Stroth	Goethe University Frankfurt
328	Antoni	Szczurek	Institute of Nuclear Physics, PAN
329	Michal	Szymanski	University of Wroclaw
330	Paweł	Szymański	Warsaw University of Technology
331	Seyed Farid	Taghavi	Technical University of Munich
332	Adam	Takacs	University of Bergen
333	Janos	Takatsy	Wigner Research Centre for Physics
334	Lucia Anna	Tarasovičová	WWU
335	Kaya	Tatar	CERN
336	Cristina	Terrevoli	Houston University
337	Mirja	Tevio	University of Jyväskylä
338	Leonardo	Tinti	Uniwersytet Jana Kochanowskiego w Kielcach
339	Boris	Tomášik	Czech Technical University
340	Klaudia	Tropp	Pavol Jozef Šafárik University
341	Enrico	Trotti	University Jan Kochanowski
342	Barbara	Trzeciak	Czech Technical University in Prague
343	Adam	Trzupek	Institute of Nuclear Physics PAN
344	Itzhak	Tserruya	Weizmann Institute of Science
345	Ludwik	Turko	University  of Wrocław
346	Wilke	Van der Schee	CERN
347	Andreas	Van Hameren	IFJ PAN
348	Hendrik	Van Hees	Goethe University Frankfurt
349	Marco	Van Leeuwen	Nikhef/Utrecht University
350	Zoltan	Varga	Wigner RCP
351	Iouri	Vassiliev	GSI
352	Oton	Vazquez Doce	INFN, Laboratori Nazionali di Frascati
353	Omar	Vazquez Rueda	Lund University
354	Arthur	Vereijken	UJK
355	Lucas	Vermunt	Physikalisches Institut Heidelberg
356	Robert	Vertesi	Wigner RCP
357	Marta	Verweij	Utrecht University
358	Jussi	Viinikainen	Vanderbilt University
359	Vytautas	Vislavicius	Lund University
360	Oleksandr	Vitiuk	University of Wroclaw
361	Yuriy	Volkotrub	AGH University of Science and Technology
362	Elena	Volkova	Die Eberhard Karls Universität Tübingen
363	David	Wagner	Goethe University Frankfurt
364	Quan	Wang	University of Kansas
365	Fuqiang	Wang	Purdue University
366	Clemens	Werthmann	University of Bielefeld
367	Daniel	Wielanek	Warsaw University of Technology
368	Barbara	Wosiek	Institute of Nuclear Physics Polish Academy of Sciences
369	Krzysztof	Woźniak	Instytut Fizyki Jądrowej PAN
370	Wenya	Wu	Fudan University
371	Nu	Xu	EMMI/GSI
372	Yunxin	Ye	Bielefeld University
373	Nima	Zardoshti	CERN
374	Hanna	Zbroszczyk	Warsaw University of Technology
375	Dingwei	Zhang	Central China Normal University / GSI
376	Elizaveta	Zherebtsova	Wroclaw University
377	You	Zhou	Niels Bohr Institute
378	Grzegorz	Ziarko	Instytut Fizyki Jądrowej PAN w Krakowie
