First Name	Last Name	Affiliation
Aaron	Angerami	Columbia University (US)
Abdulla Abdulsalam	Valiyavalappil Kizhakkepura	Bhabha Atomic Research Centre (IN)
Abhijit	Bhattacharyya	Department of Physics, University of Calcutta
Abhijit	Majumder	Wayne state university
Abhishek	Atreya	Institute of Physics, Bhubaneswar
Achim	Heinz	Institut für Theoretische Physik
Achim	Richter	TU Darmstadt
Adam	Kisiel	Warsaw University of Technology (PL)
Adam	Trzupek	Institute of Nuclear Physics Polish Academy of Sciences (PL)
Adam F.	Olszewski	Jan Kochanowski University
Aditya Nath	Mishra	Indian Institute of Technology Indore (IN)
Ahmed	Hamed	Texas A&M University
Ajay Kumar	Dash	Universidade Estadual de Campinas (BR)
Akihiko	Monnai	RIKEN BNL Research Center
Akira	Ohnishi	Kyoto University
Alan	Dion	Stony Brook University
Alberica	Toia	Johann-Wolfgang-Goethe Univ. (DE)
Albert	Loctionov	Institute of Physics and Technology
Alberto	Caliva	University of Utrecht (NL)
Aleksas	Mazeliauskas	Stony Brook University
Alessandro	De Falco	Universita e INFN (IT)
Alessandro	Grelli	University of Utrecht (NL)
Alex	Meistrenko	Goethe University Frankfurt
Alexander	Borissov	Pusan National University (KR)
Alexander	Hansen	Niels Bohr Institute
Alexander	Milov	Weizmann Institute of Science (IL)
Alexander	Rothkopf	Institut für Theoretische Physik, Universität Heidelberg
Alexander	Schmah	Lawrence Berkeley National Lab
Alexander	Sorin	Joint Institute for Nuclear Research (Dubna)
Alexander Philipp	Kalweit	CERN
Alexandra	Holten	Physikalisches Institut, Universität Heidelberg
Alexandre	Alarcon Do Passo Suaide	Universidade de Sao Paulo (BR)
Alexandru Florin	Dobrin	University of Utrecht (NL)
Alexei	Bazavov	Univ of California, Riverside / University of Iowa
Alexey	Aparin	Joint Institute for Nuclear Research
Alice	Ohlson	CERN
Alice	Zimmermann	Ruprecht-Karls-Universitaet Heidelberg (DE)
Alina	Czajka	Jan Kochanowski University
Amal	Sarkar	Indian Institute of Technology Bombay
Amalia	Pop	IFIN-HH Bucharest (RO)
Amaresh	Jaiswal	Tata Institute of Fundamental research, Mumbai
Amruta	Mishra	Indian Institute of Technology,Delhi
Ana	Juricic	University of Graz
Ana	Marin	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Anand Kumar	Dubey	Department of Atomic Energy (IN)
Ananta P.	Mishra	Physical Research Laboratory, Ahmedabad
Anders Garritt	Knospe	University of Texas (US)
Andre	Mischke	Utrecht University (NL)
Andrea	Alici	Centro Studi e Ricerche Enrico Fermi (IT)
Andrea	Beraudo	Istituto Nazionale di Fisica Nucleare (INFN)
Andrea	Dainese	INFN - Padova
Andrea	Dubla	University of Utrecht (NL)
Andrea	Festanti	Universita e INFN (IT)
Andrea	Rossi	CERN
Andreas	Morsch	CERN
Andreas	Samberg	Institute for Theoretical Physics, Heidelberg University
Andreas	Windisch	University of Graz
Andrej	Ficnar	Columbia University in the City of New York
Andrej	Ilner	Frankfurt Institute for Advanced Studies
Andrej	Kugler	Nuclear Physics Institute ASCR
Andrew	Adare	University of Colorado
Andrey	Sadofyev	Massachusetts Institute of Technology
Andy	Goldschmidt	The Ohio State University
Angela	Badala	Universita e INFN (IT)
Anju	Bhasin	University of Jammu (IN)
Ankita	Sharma	University of Jammu (IN)
Anna	Senger	GSI
Anna	Watts	University of Amsterdam
Anna	Zaborowska	Warsaw University of Technology (PL)
Anna Julia	Zsigmond	Wigner Research Centre for Physics, Hungarian Academy of Siences
Anne	Sickles	Brookhaven
Annika	Passfeld	Westfaelische Wilhelms-Universitaet Muenster (DE)
Anthony	Francis	Helmholtz Institut Mainz
Anthony	Frawley	Florda State University
Anthony Robert	Timmins	University of Houston (US)
Anton	Andronic	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Anton	Wiranata	Central China Normal University CCNU (CN)
Antonio	Ortiz Velasquez	Universidad Nacional Autonoma (MX)
Antonio	Uras	Universite Claude Bernard-Lyon I (FR)
