First Name	Last Name	Affiliation
Abhi	Modak	Universita e INFN Trieste (IT)
Abhishek Kumar	Sharma	Aligarh Muslim University, Aligarh – 202002, INDIA.
Adam	Bzdak	AGH University of Krakow
Adam	Takacs	Heidelberg University
Aditya Prasad	Dash	University of California Los Angeles
Adrian	Meyer-Ahrens	Institute for Nuclear Physics, University of Münster
Adrian	Nassirpour	Sejong University
Adrian	Rodríguez Rodríguez	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Adrian William	Romero Jorge	Frankfurt Institute for Advanced Studies/Goethe University Frankfurt
Agnieszka Ewa	Ogrodnik	Charles University (CZ)
Alba	Soto Ontoso	Universidad de Granada
Alberica	Toia	Goethe Uni. Frankfurt & GSI
Aleksas	Mazeliauskas	Heidelberg University (DE)
Aleksi	Kurkela	University of Stavanger (NO)
Alessandro	De Falco	Università/INFN Cagliari
Alexander	Adam	University of Wuppertal
Alexander	Ayriyan	University of Wroclaw & AANL
Alexander	Botvina	ITP, Goethe University, Frankfurt am Main
Alexander	Milov	Weizmann Institute of Science (IL)
Alexander	Schmah	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Alexander Philipp	Kalweit	CERN
Alexandre	Suaide	Universidade de Sao Paulo (BR)
Alexandru	Manea	Institute of Space Science
Alexian	Lejeune	Czech Technical University in Prague (CZ)
Alice	Ohlson	Lund University
Aman	Dimri	Stony Brook University (US)
Ana	Marin	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Analyce	Soto-Hernandez	Ohio State University (US)
Ananya	Rai	Yale University (US)
Anar	Rustamov	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Andi	Mankolli	Vanderbilt University
Andre Govinda	Stahl	CERN
Andrea	Beraudo	INFN Torino
Andrea	Dainese	INFN - Padova
Andrea	Dubla	GSI
Andrea	Palermo	Stony Brook University
Andrea	Rossi	INFN, Padova (IT)
Andrea	Tavira Garcia	Université Paris-Saclay (FR)
Andrea	Vioque-Rodríguez	Universidad Complutense Madrid
Andrea Sofia	Triolo	CERN
Andreas	Kirchner	Duke University
