First Name	Last Name	Affiliation
Andreas Ulveseth	Mikalsen	University of Bergen (NO)
Andrej	Kugler	Nuclear Physics Institute CAS
Andrew	Gordeev	Duke University
André	Cordeiro	Laboratório de Instrumentação e Física de Partículas (LIP - Lisbon)
Angela	Badala	INFN - Sezione di Catania
Anjali	Nambrath	University of California Berkeley (US)
Ankita Singh	Nain	DAV College, Panjab University, Chandigarh
Anna	Horváth	HUN-REN WIGNER Research Centre for Physics, Eötvös Loránd University
Anna	Senger	FAIR
Annalisa	De Caro	University of Salerno and INFN
Annamaria	Chiarini	Goethe University
Ante	Bilandzic	Technical University of Munich
Anthony	Frawley	Florida State University
Anton	Andronic	Universität Münster (DE)
Anton Albert	Riedel	Technische Universitaet Muenchen (DE)
Antoni	Marcinek	Polish Academy of Sciences (PL)
Antoni	Szczurek	Institute of Nuclear Physics PAN and Rzeszow University
Antonio	Bozic	Goethe University Frankfurt
Antonio	Uras	Centre National de la Recherche Scientifique (FR)
Apurva	Narde	University of Illinois Urbana-Champaign
Aritra	Bandyopadhyay	West University of Timisoara
Arjun	Kudinoor	Massachusetts Institute of Technology
Arpith	Kumar	Central China Normal University
Aryaa	Dattamunsi	Indian Institute of Technology Madras (IN)
Asanosuke	Jinno	Kyoto University
Ashish	Pandav	Lawrence Berkeley National Lab
Ashutosh	Dash	Goethe University
Attila	Pasztor	Eötvös University
Austin	Baty	University of Illinois Chicago
Axel	Drees	Stony Brook University
Bade	Sayki	Los Alamos National Laboratory
Baochi	Fu	Bielefeld University
Bappaditya	Mondal	National Institute of Science Education and Research, Bhubaneswar, India
Barbara	Jacak	University of California Berkeley (US)
Barbara	Trzeciak	Czech Technical University in Prague
Barnabas	Porfy	HUN-REN Wigner Research Centre for Physics (HU)
Bastian	Brandt	University of Bielefeld
Batoul	Diab	CERN
Beatrice	Liang-Gilman	University of California Berkeley (US)
Beatriz	Artur	Goethe-Universität, IKF
Bedangadas	Mohanty	National Institute of Science Education and Research (NISER) (IN)
Behruz	Kardan	Goethe-University Frankfurt (IKF)
Ben	Bert	University of Cape Town
Benedict	Heybeck	Goethe University Frankfurt (DE)
Benjamin	Dönigus	Johann-Wolfgang-Goethe Univ. (DE)
Bernd-Jochen	Schaefer	JLU Gießen
Berndt	Mueller	Duke University
Bhagyarathi	Sahoo	Indian Institute of Technology Indore (IN)
Bianca	Sabiu	Universita e INFN, Bologna (IT)
Biao	Zhang	Heidelberg university(DE)
Bill	Zajc	Columbia University
Bithika	Karmakar	University of Wroclaw
Bjoern	Schenke	Brookhaven National Laboratory
Blair Daniel	Seidlitz	Columbia University (US)
Boleslaw	Wyslouch	MIT
Bong-Hwi	Lim	INFN Torino (IT)
Boris	Hippolyte	IPHC / Université de Strasbourg (FR)
Boris	Tomasik	Czech Technical University in Prague (CZ)
Bruno	Scheihing	KITP, University of California, Santa Barbara
Byungsik	Hong	Korea University
Børge S.	Nielsen	Niels Bohr Institute, Uni Copenhagen
Caio	Brito	Universidade Federal Fluminense
Camilla	De Angelis	Universita e INFN, Cagliari (IT)
Carl	Rosenkvist	Frankfurt Institute for Advanced Studies
Carlos	Lamas	IGFAE-USC
Carlota	Andres	Massachusetts Institute of Technology
Carolina Anna	Reetz	Heidelberg University (DE)
Carsten	Greiner	ITP Goethe Unversity of Frankfurt, Dept. of Theoretical Physics
Catalin-Lucian	Ristea	Institute of Space Science subsidiary of INFLPR (RO)
Cedric	Riedel	Universität Bielefeld
Chandrodoy	Chattopadhyay	North Carolina State University
Changhwan	Choi	Pusan National University (KR)
Charles	Gale	McGill University
Charles	Robertson III	Purdue University
Chathuranga	Sirimanna	Duke University
Cheng-Wei	Shih	National Central University (TW) / RIKEN (JP)
Chenlu	Hu	University of Chinese Academy of Sciences
Chenyan	Li	Shandong University
Chenzhi	Dong	Tsinghua University (CN)
Chi	Yang	Shandong University
Chi	ZHANG	CEA-Saclay
Chiara	De Martin	Universita e INFN Trieste (IT)
Chiara	Le Roux	Lund University
Chiara	Oppedisano	INFN Torino (IT)
Chiara	Pinto	CERN
Chik Him	Wong	University of WUppertal
Christian	Bierlich	Lund University
Christian	Caron	Springer
Christian	Ecker	Goethe University Frankfurt
Christian	Fischer	University of Giessen, Germany
Christian	Klein-Bösing	Universität Münster
Christian	Pauly	Bergische Universität Wuppertal
Christian	Schmidt	Bielefeld University
Christian	Sturm	GSI Helmholtzzentrum GmbH
Christian	Wendisch	GSI Helmholtzzentrum Darmstadt
Christian Joachim	Schmidt	GSI Helmholtzzentrum
Christina	Markert	University of Texas at Austin (US)
Christof	Roland	MIT
Christoph	Blume	University of Frankfurt
Christoph	Herold	Suranaree University of Technology
Christopher	McGinn	Massachusetts Inst. of Technology (US)
Chun	Shen	Wayne State University
Chunjian	Zhang	Fudan University
CHUNTAI	WU	Padova University
Claude Andre	Pruneau	Wayne State University (US)
Claudia	Hoehne	Justus Liebig University Gießen
Clemens	Werthmann	Ghent University
Coleridge	Faraday	University of Cape Town
Cong	Yi	University of Science and Technology of China
Constantin	Sporleder	University of Jyväskylä
Constantinos	Loizides	CERN
Cornelius	Feier-Riesen	JLU Gießen
Cristian	Baldenegro	Massachusetts Inst. of Technology (US)
Cristina	Terrevoli	Universita e INFN, Bari (IT)
Cynthia	Hadjidakis	Université Paris-Saclay (FR)
Dai-Neng	Liu	Fudan University
Daicui	Zhou	Central China Normal University
Daiki	Sekihata	University of Tokyo (JP)
Dairon	Rodriguez Garces	GSI and Goethe University of Frankfurt
Dana	Avramescu	University of Jyväskylä
Daniel	Lis	University of Colorado Boulder
Daniel	Pablos	Universidade de Santiago de Compostela
Daniel	Tapia Takaki	University of Kansas
Dario Alberto	Ramirez Zaldivar	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Dariusz	Miskowiec	GSI Darmstadt
David	Blaschke	University of Wroclaw and HZDR/CASUS Görlitz
David	Dobrigkeit Chinellato	Austrian Academy of Sciences (AT)
David	Emschermann	GSI
David	Gutiérrez Menéndez	GSI Helmholtzzentrum für Schwerionenforschung
David	Silvermyr	Lund University
David	Wagner	Florence University
Debadatta	Behera	Indian Institute of Technology Indore (IN)
Debarshi	Dey	Indian Institute of Technology Bombay
Debojit	Sarkar	Niels Bohr Institute, Copenhagen
Debora	Mroczek	University of Illinois Urbana-Champaign
Deekshit	Kumar	Homi Bhabha National Institute Mumbai, India
Deependra	Sharma	IIT- Indian Institute of Technology (IN)
Dennis	Perepelitsa	University of Colorado Boulder
Dennis	Spicker	Goethe University Frankfurt - IKF
Derek	Teaney	Stony Brook University
Diana	Krupova	Czech Technical University in Prague (CZ)
Dieter	Roehrich	University of Bergen (NO)
Dingwei	Zhang	South China Normal University (CN)
Dirk	Rischke	Goethe University Frankfurt am Main
Diyu	Shen	Fudan University
Dmitry	Shemyakin	Weizmann Institute of Science (IL)
Dominik Karol	Derendarz	Polish Academy of Sciences (PL)
Dong Jo	Kim	University of Jyvaskyla (FI)
Dongguk	Kim	Sungkyunkwan University (KR)
Dylan	Neff	CEA-Saclay
Dániel	Kincses	Eötvös Loránd University
Eamonn	Weitz	Universität Bielefeld
Eduardo	Fraga	Instituto de Física, Universidade Federal do Rio de Janeiro
Ejiro Naomi	Umaka	Brookhaven National Laboratory (US)
Elena	Bratkovskaya	GSI, Darmstadt & Frankfurt Univ.
Emil Gorm	Nielsen	University of Copenhagen (DK)
Emilie Martine	Barreau	Centre National de la Recherche Scientifique (FR)
Emma	Ege	Goethe Universität Frankfurt
Emma	McLaughlin	Columbia University
Emma Rose	Yeats	University of California Berkeley (US)
Enrico	Scomparin	INFN Torino (IT)
Enrico	Speranza	CERN
Eoin	Clerkin	FAIR - Facility for AntiProton and Ion Research in Europe GmbH
Eslam	Shokr	Zurich University
Esther	Bartsch	Goethe University Frankfurt (DE)
Ezra D.	Lesser	CERN
Fabian	Rennecke	Justus Liebig University Giessen
Fabio	Colamaria	INFN, Sezione di Bari (IT)
Fabrizio	Chinu	Universita e INFN Torino (IT)
Fabrizio	Grosa	CERN
Fan	Si	University of Science and Technology of China
Farid	Salazar	Temple University
Federica	Capellino	GSI Darmstadt
Federico	Antinori	Universita e INFN, Padova (Italy)
Feng	Liu	Central China Normal University
Feng-lei	Liu	Central china normal university
Ferdinando	Frascà	INFN - sezione di Torino
Fernando	Gardim	Federal University of Alfenas
Florian	Alef	Technische Universität Darmstadt
Florian	Eisenhut	Goethe University Frankfurt (DE)
Florian	Jonas	University of California Berkeley (US)
Florian	Lindenbauer	TU Wien
Florian	Seck	TU Darmstadt / GSI
Francesca	Ercolessi	Universita e INFN, Bologna (IT)
Francesco	Giacosa	Kielce University
Francesco	Mazzaschi	CERN
Franciszek	Pauwels	Charles University (CZ)
Frank	Geurts	Rice University (US)
Frank	Gonzalez	University of California, Davis
Franz	Matejcek	Goethe-Universität Frankfurt, Institut für Kernphysik
Frithjof	Karsch	Bielefeld University
Fu	Ma	Fudan University
Fu-Peng	Li	Central China Normal University
Fuqiang	Wang	Purdue University
Gabor	David	Stony Brook University
GABRIEL	DALE-GAU	University of Illinois at Chicago
Gabriel	Rabelo Soares	University of Campinas - UNICAMP - BR
Gabriel	Silveira Denicol	Universidade Federal Fluminense
Gabriel	Soares Rocha	Universidade Federal Fluminense
Gabriele	Coci	University of Catania & INFN-LNS
Gabriele	Parisi	University of Catania
Gang	Wang	UCLA
Gergely	Endrodi	Eotvos University Budapest
Gergely Gabor	Barnafoldi	HUN-REN Wigner Research Centre for Physics (HU)
Giacomo	Alocco	Universita e INFN, Torino (IT)
Gian Michele	Innocenti	Massachusetts Inst. of Technology (US)
Gianluca	Usai	Universita e INFN, Cagliari (IT)
Gines	Martinez-Garcia	Subatech CNRS
GIulia	Manca	Universita` degli studi di Cagliari and INFN, Cagliari, IT
Giuseppe	Bruno	Dipartimento di Fisica "M Merlin" and INFN, Bari (IT)
Gleb	Romanenko	Universita e INFN, Bologna (IT)
Govert	Nijs	CERN
Gowthama	K K	Indian Institute of Technology Bombay
Grazia	Luparello	INFN Trieste (IT)
Greg	Jackson	Subatech (CNRS/IN2P3)
Gregory	Ottino	Lawrence Berkeley National Laboratory
Grigory	Nigmatkulov	University of Illinois Chicago
Guang-You	Qin	Central China Normal University
Guangyu	Zheng	University of Chinese Academy of Sciences
Gunther	Roland	MIT
Guoping	Wang	Central China Normal University
Guy	Moore	TU Darmstadt
Gyeonghwan	Bak	Chonnam National University (KR)
Gyula	Bencedi	HUN-REN Wigner Research Centre for Physics (HU)
Gábor	Papp	Eötvös Loránd University
Hadi	Mehrabpour	Peking Univresity
Han	Gao	McGill University
Han-Sheng	Li	Purdue University
Hanna	Zbroszczyk	Warsaw University of Technology (PL)
Hannah	Bossi	Massachusetts Inst. of Technology (US)
Hannah	Elfner	GSI/Goethe Uni
Hans Rudolf	Schmidt	GSI Helmholtzzentrum für Schwerionenforschung GmbH(GSI) & University of Tübingen
Hanseo	Park	University of Tsukuba (JP)
HANWEN	FENG	Central China Normal University
Hao-Lei	Chen	Fudan University
Hao-Ren	Jheng	Massachusetts Inst. of Technology (US)
Harald	Appelshaeuser	Goethe University Frankfurt (DE)
Harri	Niemi	University of Jyväskylä
Harshit	Pandey	The Institute of Mathematical Sciences, Chennai, India
Heikki	Mäntysaari	University of Jyväskylä
Helen	Caines	Yale University (US)
Hendrik	Roch	Wayne State University
Hendrik	van Hees	Goethe University Frankfurt
Heng-Tong	Ding	Central China Normal University
Henner	Buesching	Goethe University Frankfurt (DE)
Henry	Hirvonen	Vanderbilt University
Herbert	Stroebele	Goethe University Frankfurt (DE)
Hikari	Murakami	KMI, Nagoya
Himanshu	Sharma	Universita e INFN, Padova (IT)
Hitansh	Shah	University of Houston
Hongcan	Li	Central China Normal University
Horst Sebastian	Scheid	CERN
Hosein	Gholami	TU Darmstadt
Huan	Huang	University of California Los Angeles
Huda	Nasrulloh	University of Science and Technology of China
Huichao	Song	Peking U
Hyungjun	Lee	Sungkyunkwan University (KR)
Hyunji	Lim	Pusan National University (KR)
Ian	Bearden	Niels Bohr Institute
Ian	Cordeiro	University of Illinois at Urbana-Champaign
Ida	Storehaug	University of Oslo (NO)
Ilia	Grishmanovskii	ITP, Frankfurt
Ilya	Fokin	Heidelberg University (DE)
Ilya	Selyuzhenkov	GSI, Darmstadt
Imanol	Corredoira	CEA/IRFU
In Kwon	Yoo	Pusan National University (KR)
Ingo	Deppner	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Ingrid Mckibben	Lofnes	University of Bergen (NO)
Ionut Cristian	Arsene	University of Oslo (NO)
Iouri	Vassiliev	GSI
Irakli	Keshelashvili	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Iris	Likmeta	University of Houston
Isaac	Mooney	Yale University
Isabela	Maietto Silverio	UNESP - Universidade Estadual Paulista (BR)
Isabella	Danhoni	University of Illinois Urbana-Champaign
Ishfaq Ahmad	Rather	ITP, Goethe University, 60438 Frankfurt am Main, Germany
ismail	soudi	University of Jyvaskyla
Isobel	Kolbe	University of the Witwatersrand (ZA)
Itzhak	Tserruya	Weizmann Institute
Iuliana-Carina	Udrea	TU Darmstadt/GSI
Ivan	Vorobyev	CERN
Iwona	Grabowska-Bold	AGH University of Krakow (PL)
Jacek Tomasz	Otwinowski	Institute of Nuclear Physics Polish Academy of Sciences (PL)
Jack	Holguin	The University of Manchester
Jacquelyn	Noronha-Hostler	University of Illinois Urbana-Champaign
Jaebeom	Park	University of Colorado Boulder
Jaehyeok	Ryu	Pusan National University (KR)
Jaein	Hwang	Korea University
Jaeyoon	Cho	Inha University (KR)
Jakob Elias	Lohr	ITP Frankfurt
Jakub	Ceska	Czech Technical University in Prague
James Lawrence	Nagle	University of Colorado Boulder
Jamie	Karthein	Massachusetts Institute of Technology
Jan	Orlinski	Faculty of Physics, University of Warsaw
Jan	Rais	Goethe University Frankfurt am Main
Jan	Scharf	Goethe University Frankfurt (DE)
Jan	Schöngarth	Goethe University Frankfurt (DE)
Jan	Steinheimer-Froschauer	GSI
Jan	Vanek	Brookhaven National Laboratory
Jan	Wissmann	Universität Münster
Jan Fiete	Grosse-Oetringhaus	CERN
Jan M.	Pawlowski	Heidelberg University
Jan Philipp	Klinger	Goethe University Frankfurt
Jana	Bielcikova	Czech Academy of Sciences (CZ)
Jana N.	Guenther	University of Wuppertal
Janik	Ditzel	Goethe University Frankfurt (DE)
Janis	Jäger	Goethe University Frankfurt (DE)
Jannis	Gebhard	Heidelberg University
Jasmine	Brewer	University of Oxford
Jasper	Parkkila	Warsaw University of Technology
Jean	Du Plessis	Massachusetts Institute of Technology
Jean-Francois	Paquet	Vanderbilt University
Jean-Yves	OLLITRAULT	IPhT Saclay
Jens	Wiechula	Goethe University Frankfurt (DE)
Jens Andreas	Hügel	Universität Bielefeld
Jerome	Jung	Goethe University Frankfurt (DE)
Jerzy	Pietraszko	GSI Darmstadt
Jeseleth	Van Rose	Vanderbilt University
Jesper	Karlsson Gumprecht	Austrian Academy of Sciences (AT)
Jessica Ou Ya	Vogel	TU Darmstadt
Jhoao Gabriel	Martins Campos Almeida Arneiro	Universidade de Sao Paulo (BR)
Jia Lin	Pei	Fudan University
Jiangyong	Jia	Stony Brook University (US)
Jianhui	Zhu	Fudan University
Jianqiao	Wang	Tsinghua University (CN)
Jiaxing	Zhao	HFHF/Goethe University
Jiaxuan	Luo	USTC
JiaZhao	Lin	Rice University (US)
Jie	Zhu	Bielefeld University
Jin-Biao	Gu	Central China Normal University
Jing	An	Central China Normal University
Jing	Wang	CERN
JINGAN	SUN	Fudan University
Jingyu	Zhang	Fudan university
Jinhyun	Park	Pusan National University (KR)
Jinlong	Zhang	Shandong University
Jishnu	Goswami	Bielefeld University
Joachim	Hansen	Lund University (SE)
Joachim	Stroth	Goethe University Frankfurt / GSI
Joakim	Nystrand	University of Bergen (NO)
Joao	Lourenco Henriques Barata	CERN
Joe	Osborn	Brookhaven National Laboratory
Joerg	Aichelin	SUBATECH
Joern	Putschke	Wayne State University
Joey	Staa	Lund University (SE)
Johann M.	Heuser	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Johanna	Stachel	Heidelberg University (DE)
Johannes	Keul	IKF, Goethe Universität Frankfurt
Johannes	Pöplau	Goethe University Frankfurt
Johannes	Roth	Justus-Liebig-Universität Gießen
John	Harris	Yale University
Jonas	Turnwald	TU Darmstadt
Jonas	Winter	Technische Universität Darmstadt
Jonathan	Parra	University of Houston
Joonsuk	Bae	Sungkyunkwan University (KR)
Jorge	Noronha	University of Illinois Urbana-Champaign
Jorge Luis	Golan Dasilva	Brookhaven National Laboratory
Jorge Manuel	Martínez Vera	Università degli Studi di Torino & Universitat de Barcelona
Joscha	Egger	FIAS/GU Frankfurt
Joseph	Atchison	Abilene Christian University
Joseph	Kapusta	University of Minnesota
Joshua	König	Goethe Universität Frankfurt (DE)
João	A. Gonçalves	LIP - IST
João	Silva	LIP-Lisbon / ULisboa-IST
João Paulo	Sampaio Santos	UERJ
Juan	Torres-Rincon	Universitat de Barcelona
Juergen	Eschke	FAIR GmbH (DE)
Juergen	Eser	Frankfurt University
Julia	Sammet	Goethe Universität Frankfurt/ITP
Julia	Velkovska	Vanderbilt University
Juliette	Authier	Laboratoire Leprince-Ringuet, CNRS (FR)
Julio	Andary	Goethe-Universität Frankfurt
Junlee	Kim	CERN
Junyi	Han	Central China Normal University, Heidelberg University
Jurgen	Schukraft	University of Copenhagen (DK)
Jussi	Auvinen	University of Jyväskylä
Jussi	Viinikainen	Vanderbilt University (US)
Justin	Mauldin	Frankfurt University
Jürgen	Schaffner-Bielich	Goethe University
Jędrzej	Kołaś	Warsaw University of Technology
Kai	Schweda	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Kai	Zhou	CUHK-Shenzhen
KaiJia	Sun	Institute of Modern Physics, Fudan University, Shanghai, China
Kaiyang	Wang	University of Science and Technology of China
Kaiyi	Wu	CCNU
Kangkan	Goswami	Indian Institute of Technology Indore
Kari	Eskola	University of Jyvaskyla
Karina	Scharmann	Justus-Liebig-Universität Gießen
Karl-Heinz	Kampert	University Wuppertal
Kartik Deepak	Bhide	University of Freiburg (DE)
Katarzyna	Grebieszkow	Warsaw University of Technology (PL)
Kayman	Gonçalves	University of Campinas
Kayran	Schmidt	TU Wien
Ke	Mi	Central China Normal University
Kehao	Zhang	Central China Normal University
Keiwan	Jamaly	Goethe University Frankfurt
Kenta	Shigaki	Hiroshima University (JP)
Kevin	Possendoro Pala	University of Illinois Urbana-Champaign / University of São Paulo
Khwahish	Kushwah	Universidade Federal Fluminense (UFF), Rio de Janeiro, Brazil
Kirill	Boguslavski	TU Wien (AT)
Klaus	Reygers	Heidelberg University
Korinna	Zapp	Lund University
Koshiro	Yoda	University of Tsukuba (JP)
Krishna	Rajagopal	Massachusetts Inst. of Technology (US)
Krista Lizbeth	Smith	Pusan National University (ROK)
Kristina	Totic	Goethe University
Krzysztof	Piasecki	University of Warsaw
Lang	Xu	Central China Normal University CCNU (CN) / Institut de Physique des 2 Infinis de Lyon IP2I (FR)
Laszlo	Gyulai	HUN-REN Wigner RCP
Laura	Gans-Bartl	Goethe University Frankfurt
Laura	Havener	Yale University
Laura	Huhta	University of Jyvaskyla (FI)
Laura	Sagunski	Goethe University Frankfurt
Laura	Tolos	ICE (CSIC, Barcelona)
Laura	Šerkšnytė	CERN
Leon	Sieke	Justus-Liebig-Universität Giessen
Leonardo	Barreto	Universidade de Sao Paulo (BR), Universität Münster (DE)
Leonardo	Tinti	Uniwersytet Jana Kochanowskiego w Kielcach
Leopoldo	Abranches de Carvalho	Universidade de São Paulo
Li	Yan	Fudan University
Lida	Kalipoliti	LLR, École Polytechnique (FR)
Lijuan	Ruan	Brookhaven National Laboratory
like	liu	Central China Normal University
Liliana	Apolinario	LIP (PT)
Lin	CHEN	Instituto Galego de Fisica de Altas Enerxias - IGFAE
Lisa	Kröger	Bielefeld University
Liubing	Chen	Central China Normal University
LIYUAN	ZHANG	Fudan University
Lorenz	von Smekal	JLU Giessen
Lorenzo	Bernardinis	Universita e INFN Trieste (IT)
Lorenzo	Gavassino	Vanderbilt University
Lu-Meng	Liu	Fudan University
Luca	Aglietta	University of Turin
Luca	Quaglia	INFN Torino (IT)
Lucas	Constantin	Goethe-Universität
Lucia	Oliva	University of Catania, Department of Physics and Astronomy - INFN Catania
Lucia Anna	Tarasovicova	Pavol Jozef Safarik University (SK)
Luciano	Rezzolla	Institute for Theoretical Physics, Frankfurt, Germany
Ludovica	Pirelli	Bergische Universität Wuppertal
Luigi	Dello Stritto	CERN
Luis	Alcerro	The University of Kansas (US)
Luthien	Mlynarski	AGH University of Krakow (PL)
Lutz	Kiefer	Goethe University
László	Kovács	Eötvös Loránd University
Magdeline	Seabi	Nelson Mandela University
Magnus	Mager	CERN
Magnus	Thoegersen	University of Oslo (NO)
Mahboubeh	Shahrbaf Motlagh	University of Wroclaw
Mai	Takamura	Nara
Maja	Mackowiak-Pawlowska	Warsaw University of Technology (PL)
Maksym	Teklishyn	GSI
Malgorzata	Gumberidze	GSI Helmholtzzentrum fuer Schwerionenforschung Gmbh
Maneesha	Sushama Pradeep	University of Maryland College Park
Manjunath	Omana Kuttan	Frankfurt Institute for Advanced Studies
Manuel	Calderon De La Barca	UC Davis
Manuel	Lorenz	Goethe-University Frankfurt
Manuel	Ramirez Garcia	University of Michigan (US)
Maowu	Nie	Shandong University (CN)
Marc	Winstel	Goethe University, Frankfurt am Main
Marc-André	Petri	Bergische Universität Wuppertal
Marcello	Di Costanzo	Politecnico di Torino (IT)
Marcelo	Gameiro Munhoz	Universidade de Sao Paulo (BR)
Marco	Leitão	LIP - Lisbon
Marco	van Leeuwen	Nikhef and CERN
Marcus	Bleicher	Uni Frankfurt
Marek	Gazdzicki	Jan Kochanowski University (PL)
Maria Alejandra	Calmon Behling	Goethe University Frankfurt (DE)
Maria Lucia	Sambataro	University of Catania - Department of Physics and Astronomy
Marie	Germain	Subatech, IN2P3-CNRS (FR)
Mariia	Mitrankova	Stony Brook University
Mario	Ciacco	Universita' and INFN Torino (IT)
Mario	Krüger	Institut für Kernphysik Frankfurt
Marta	Urioni	Universita e INFN Trieste (IT)
Marten	Becker	Justus-Liebig-Universität Gießen
Martin	Rybar	Charles University (CZ)
Martin	Spousta	Charles University
Martin Andreas	Volkl	University of Birmingham (GB)
Marton	Nagy	ELTE Eötvös Loránd University
Marvin	Hemmer	Goethe University Frankfurt (DE)
Marvin	Kohls	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Marvin	Nabroth	Goethe University Frankfurt
Maryann	Collazo Sánchez	Goethe University Frankfurt
Masakiyo	Kitazawa	YITP, Kyoto
Masayuki	Asakawa	Osaka University
Masoud	Shokri	Goethe university
Mate	Csanad	Eotvos University, Budapest
Mateusz	Dyndal	AGH University of Krakow
Mateusz	Ploskon	Lawrence Berkeley National Lab. (US)
Mateusz Ludwik	Bajda	Jagiellonian University (PL)
Mathias	Labonte	University of California, Davis
Mathias Pavely	Nødtvedt	NTNU
Matisse	De Lescluze	Ghent University
Matteo	Buzzegoli	West University of Timisoara
Matthew	William Luzum	University of São Paulo
Matthew Caleb	Hoppesch	University of Illinois at Urbana-Champaign
Matthias	Kaminski	The University of Alabama
Matthias	Kleiner	Goethe University Frankfurt (DE)
Matthias	Richter	University of Bergen (NO)
Mattia	Faggin	CERN
Mattis	Harhoff	Universität Bielefeld
Maurice	Coquet	Centre National de la Recherche Scientifique (FR)
Max Philip	Rauch	University of Bergen (NO)
Maxim	Virta	University of Jyväskylä
Maximilian	Mahlein	Technische Universitaet Muenchen (DE)
Maximiliano	Puccio	CERN
Mayank	Singh	Vanderbilt University
Megan	Connors	Georgia State University
Mehulkumar	Shiroya	GSI Helmholtzzentrum für Schwerionenforschung GmbH
Meike Charlotte	Danisch	Pusan National University (KR)
Menghsiu	Kuo	University of Tsukuba (JP)
Mesut	Arslandok	Yale University (US)
Michael	Hartung	Institut für Kernphysik, Goethe University Frankfurt
Michael	Jung	Institut fuer Kernphysik Frankfurt
Michael	Peters	Massachusetts Institute of Technology (MIT)
Michael	Winn	Université Paris-Saclay (FR)
Michal	Heller	Ghent University
Michal	Svoboda	Nuclear Physics Institute, Czech Academy of Sciences
Michał	Marczenko	University of Wrocław
Michał	Prędota	Warsaw University of Technology, Faculty of Physics
Michał	Szymański	University of Wroclaw
Mika Sebastian	Spier	Universität Bielefeld/Université Paris-Saclay
Mike	Sas	Nikhef National institute for subatomic physics (NL)
Mikhail	Stephanov	University of Illinois Chicago
Milan	Stojanovic	Wayne State University
Min	He	Nanjing University of Science & Technology
Minjae	Kim	Pusan National University (KR)
Minjung	Kim	UC Berkeley
MinJung	Kweon	Inha University
Moe	Isshiki	University of Tsukuba
Mohammad	Nasim	IISER Berhampur
Motoi	Inaba	Tsukuba University of Technology (JP)
Muhammad Farhan	Taseer	Institute of Modern Physics, Chinese Academy of Sciences, Lanzhou, China
Mykhailo	Hontarenko	Institute of Theoretical Physics Jagiellonian University
Nadine Alice	Gruenwald	Heidelberg University (DE)
Naomi	Oei	Goethe University Frankfurt
Naseem	Bouchhar	Sejong University
Natalia	Łygan	Institute of Theoretical Physics, Jagiellonian University, Kraków
Navid	Abbasi	Lanzhou University
Neelkamal	Mallick	University of Jyväskylä, Finland
Nicholas	Jindal	Ohio State University (US)
Nicki	Mullins	Illinois Urbana Champaign
Nicola	Nicassio	University and INFN, Bari, Italy
Nicolas	Borghini	Bielefeld University
Nicolas	Strangmann	Goethe University Frankfurt (DE)
Nicolas	Tiltmann	CERN, Universität Münster (DE)
Nicolò	Jacazio	Universita e INFN, Bologna (IT)
Nihar Ranjan	Saha	Indian Institute of Technology, Madras (IN)
Nikhil	Kumar	The CUNY Graduate Center
