First Name	Last Name	Affiliation
Aaron	Angerami	Columbia University (US)
Aaron	Capon	Stefan Meyer Institute for Subatomic Physics (SMI), Austrian Academy of Sciences (AT)
Abhijit	Majumder	Wayne State University
Abinash	Pun	Ohio University
Adam	Bzdak	AGH University of Science and Technology
Adam	Trzupek	Institute of Nuclear Physics Polish Academy of Sciences (PL)
Adam Tomasz	Matyja	The University of Tennessee
Adith	Ramamurti	Stony Brook University
Aihong	Tang	Brookhaven National Laboratory
Ajay	Majethiya	V S PATEL COLLEGE OF ARTS AND SCIENCE, COLLEGE ROAD, BILIMORA, DIST NAVSARI, GUJARAT 396321, INDIA
Akihiko	Monnai	Institut de Physique Théorique, CNRS/CEA
akio	ogawa	BNL
Akshat	Puri	Univ. Illinois at Urbana-Champaign (US)
Alba	Soto Ontoso	Frankfurt Institute for Advanced Studies
Aleksas	Mazeliauskas	Institut für Theoretische Physik
Alena	Harlenderová	Czech Technical University in Prague
Alessandro	De Falco	Universita e INFN, Cagliari (IT)
Alexander	Jentsch	UT Austin
Alexander	Milov	Weizmann Institute of Science (IL)
Alexander	Rothkopf	ITP, Heidelberg University
Alexander	Schmah	Lawrence Berkeley National Lab
Alexander	Sorin	Joint Institute for Nuclear Research (RU)
Alexander Philipp	Kalweit	CERN
Alexandre	Alarcon Do Passo Suaide	Universidade de Sao Paulo (BR)
Alexandre	Lebedev	Iowa State University
Alexandre	Shabetai	SUBATECH NANTES - Centre National de la Recherche Scientifique (FR)
Alexandru Florin	Dobrin	CERN
Alice	Ohlson	Ruprecht-Karls-Universitaet Heidelberg (DE)
Alina	Czajka	McGill University
Amaresh	Jaiswal	National Institute of Science Education and Research
Amit	Kumar	Wayne State University
Ana	Marin	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)
Anar	Rustamov	University of Heidelberg
Anastasia Maria	Barbano	Universita e INFN Torino (IT)
Andre	Mischke	Utrecht University (NL)
Andrea	Dainese	INFN - Padova
Andrea	Dubla	GSI - Helmholtzzentrum für Schwerionenforschung
Andrea	Festanti	Universita e INFN, Padova (IT)
Andrea	Rossi	Universita e INFN, Padova (IT)
Andreas	Morsch	CERN
Andrew	Kubera	Ohio State University (US)
Andrew John	Castro	University of Tennessee (US)
Andrey	Kotov	ITEP
Andrey	Sadofyev	MIT
Andriniaina	Rasoanaivo	University of Cape Town
Angela	Badala	INFN - Sezione di Catania (Italy)
Anjali	Attri	Panjab University
Anju	Bhasin	University of Jammu (IN)
Anne Marie	Sickles	Univ. Illinois at Urbana-Champaign (US)
Annika	Passfeld	Westfaelische Wilhelms-Universitaet Muenster (DE)
anping	huang	Tsinghua Unversity
Anthony	Frawley	Florda State University
Anthony Robert	Timmins	University of Houston (US)
Antoine	Lardeux	University of Oslo (NO)
Antoni	Aduszkiewicz	CERN
Antonio	Uras	Universite Claude Bernard-Lyon I (FR)
Antonio Carlos	Oliveira Da Silva	Universidade de Sao Paulo (BR)
Arabinda	Behera	State University of New York (US)
Arkadiy	Taranenko	National Research Nuclear University MEPhI (RU)
ARPAN	DAS	Institute of Physics, Bhubaneswar
Astrid	Vauthier	Centre National de la Recherche Scientifique (FR)
Attila	Bagoly	Eötvös Loránd University
Attila	Pasztor	Wuppertal University
Austin Alan	Baty	Massachusetts Inst. of Technology (US)
Axel	Drees	Stony Brook University
Ayman	Hamad	Kent state university
Ayon	Mukherjee	Frankfurt Institute for Advanced Studies
Azumi	Sakai	Sophia University
Babak	Salehi Kasmaei	Kent State University
Balthazar	Peroutka	Iowa State University
Barbara	Jacak	Lawrence Berkeley National Lab. (US)
Barbara	Trzeciak	Utrecht University
Barbara Krystyna	Wosiek	Institute of Nuclear Physics Polish Academy of Sciences (PL)
Benjamin	Audurier	Centre National de la Recherche Scientifique (FR)
Beomkyu	Kim	Jyvaskyla University(Fi)
Berndt	Mueller	Brookhaven National Laboratory
Bingchu	Huang	University of Illinois at Chicago (US)
Bjoern	Schenke	Brookhaven National Laboratory
Boleslaw	Wyslouch	Massachusetts Inst. of Technology (US)
Borge	Nielsen	University of Copenhagen (DK)
