First Name	Last Name	Affiliation
Di	Yang	Tsinghua University (CN)
Dieter	Roehrich	University of Bergen (NO)
Dimitar Lubomirov	Mihaylov	Technische Universitaet Muenchen (DE)
Dimitra	Andreou	CERN, Nikhef National institute for subatomic physics (NL)
DING	CHEN	UNIVERSITY OF CALIFORNIA, RIVERSIDE
dingwei	zhang	CCNU
Dirk	Rischke	University Frankfurt
Dmitri	Kharzeev	Stony Brook U. and BNL
Dmitrii	Dementev	JINR LHEP
Dmitry	Sosnov	NRC Kurchatov Institute PNPI (RU)
Dmytro	Oliinychenko	Lawrence Berkeley National Laboratory
Dominik Karol	Derendarz	Polish Academy of Sciences (PL)
Dominique	Dittert	TU Darmstadt
Dong Jo	Kim	University of Jyvaskyla (FI)
Dongdong	hu	USTC/IMP
Dongfang	Wang	Shanghai Inst. of Applied Physics Chinese Academy of Science (
Douglas	Wertepny	Ben Gurion University of the Negev
Dukhishyam	Mallick	National Institute of Science Education and Research (IN)
Dusan	Zigic	Institute of Physics Belgrade
Duxin	Zheng	Shandong University
Dániel	Kincses	Eötvös Loránd University
Edmond	Iancu	Institut de Physique Théorique de Saclay
Eduardo	Grossi	Heidelberg University
Edward	Shuryak	Stony Brook University
Eero Aleksi	Kurkela	CERN and Univ. Stavanger
Ejiro Naomi	Umaka	University of Houston (US)
Elisa	Meninno	Stefan Meyer Institute for Subatomic Physics (SMI)
Enrico	Scomparin	INFN Torino (IT)
Enrico	Speranza	Goethe University Frankfurt
Esther	Bartsch	Johann-Wolfgang-Goethe Univ. (DE)
Evgeny	Kashirin	National Research Nuclear University MEPhI (RU)
Evgeny	Zabrodin	University of Oslo (NO)
Fan	Si	USTC
Farid	Taghinavaz	IPM
Federico	Antinori	Universita e INFN, Padova (IT)
Fei	Sun	China Three Gorges University
Felipe Andres	Garcia Rosales	Centre National de la Recherche Scientifique (FR)
Felix	Reidt	CERN
Felix	Ringer	UC Berkeley/LBNL
Feng	Li	Lan Zhou University
Feng	Liu	Central China Normal University
Feng-lei	Liu	CCNU
fenglan	shao	Qufu Normal University
Fengxian	Liu	China University of Geosciences
Fernando	Torales Acosta	Lawrence Berkeley National Lab. (US)
Fernando Antonio	Flor	University of Houston (US)
Filip	Erhardt	University of Zagreb (HR)
Flemming	Videbaek	Brookhaven National Laboratory
Florian	Cougoulic	The Ohio State University
Florian	Seck	TU Darmstadt
Francesco	Becattini	Unversity of Florence
Frank	Geurts	Rice University (US)
Frederique	Grassi	Universidade de São Paulo-Brazil
Freja	Thoresen	University of Copenhagen (DK)
Frithjof	Karsch	Bielefeld University
fu	chuan	central china normal university
Fu-Hu	Liu	Shanxi University
Fuqiang	Wang	Purdue University (US)
Gabor	David	Brookhaven National Laboratory
Gabriel	Denicol	Universidade Federal Fluminense
Gang	Chen	China University of Geosciences
Gang	Wang	UCLA
Gaoqing	Cao	Sun Yat-sen University
Georgios	Krintiras	The University of Kansas (US)
Gergely Gabor	Barnafoldi	Wigner RCP Hungarian Academy of Sciences (HU)
gezheng	zhou	sysu
Gian Michele	Innocenti	CERN
Gianluca	Usai	University and INFN, Cagliari (IT)
Gojko	Vujanovic	Wayne State University
Gokce	Basar	University of North Carolina, Chapel Hill
Gongming	Yu	Institute of Modern Physics, Chinese academy of sciences
Govert	Nijs	Utrecht University
Grecia	Castelazo Martinez	Massachusetts Inst. of Technology (US)
Greg	Jackson	University of Bern
Grzegorz	Stefanek	Jan Kochanowski University (PL)
Guang-You	Qin	Central China Normal University
Gunther	Roland	Massachusetts Inst. of Technology (US)
Guo-yun	Shao	Xi'an Jiaotong university
Guojun	Huang	Tsinghua University
Guruprasad	Kadam	Shivaji University
Guy	Paic	Universidad Nacional Autonoma (MX)
Gwang-Jun	Kim	Massachusetts Inst. of Technology (US)
Gyeonghwan	Bak	Chonnam National University (KR)
Gábor	Bíró	Wigner RCP
Gábor	Papp	Eötvös Loránd University
Haavard	Helstrup	Western Norway University of Applied Sciences (NO)
Hai	Wang	SINAP
Hannah	Elfner	GSI/Frankfurt University/FIAS
Hanseul	Lee	Chonnam National University (KR)
Hanzhong	Zhang	Central China Normal University
Hao	Qiu	Institute of Modern Physics, CAS
Hao-Lei	Chen	Fudan University
Haohao	Peng	USTC
Haojie	Xu	Huzhou University
Harald	Appelshaeuser	Johann-Wolfgang-Goethe Univ. (DE)
Harsimranjeet	Singh	University of jammu
Hayato	Aoi	Tokyo University of Science
He-Xia	Zhang	Central China Normal University
Helen	Caines	Yale University (US)
Hendrik	Roch	University Bielefeld
Heng	Miao	Central China Normal University
Heng-Tong	Ding	Central China Normal University
Hengne	Li	South China Normal University (CN)
Henner	Buesching	Johann-Wolfgang-Goethe Univ. (DE)
Henrique Jose	Correia Zanoli	Utrecht University
Henry	Klest	Stony Brook University
Hermann	Franz Degenhardt	Universidade de Sao Paulo (BR)
Hideki	Hamagaki	Nagasaki Inst. of Applied Science (JP)
Hideki	Okawa	Fudan University
Hidetoshi	Taya	Fudan University
Hirotsugu	Fujii	University of Tokyo
Hiroyuki	Sako	Japan Atomic Energy Agency (JP)
Hong-Zhong	Wu	University of Science and Technology of China
Hongxi	Xing	South China Normal University
Horst	Stoecker	GSi
Horst Sebastian	Scheid	Johann-Wolfgang-Goethe Univ. (DE)
Hua	Pei	Central China Normal University CCNU (CN)
Huan	Chen	China University of Geosciences (Wuhan)
huan zhong	huang	UCLA
Hui	Li	Fudan University
Hui	Liu	CCNU
Hui	Liu	Institute of Modern Physics, Chinese Academy of Sciences
Hui	Zhang	South China Normal University
Hyunchul	Kim	Chonnam National University (KR)
Ian Gardner	Bearden	University of Copenhagen (DK)
Ievgenii	Kres	University of Wuppertal
Ilya	Selyuzhenkov	GSI / EMMI / MEPhI
In Kwon	Yoo	Pusan National University (KR)
Ingo Martin	Deppner	Physikalisches Institut der Universität Heidelberg
Ionut Cristian	Arsene	University of Oslo (NO)
Irfan	Siddique	USTC
ismail	soudi	university of Bielefeld
Itzhak	Tserruya	Weizmann Institute of Science (IL)
Iurii	Mitrankov	Peter the Great St. Petersburg University, St. Petersburg, 195251 Russia
Ivan	Vitev	LANL
