Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Poster Session,poster,The neutral meson measurement in jets in Pb--Pb collisions in ALICE,"Takamura, Masahiro",University of Tsukuba,UK,"Neutral mesons and jets are good probes to study particle production mechanisms and jet phenomena in various collision systems, providing comparisons to model calculations and constraining coefficients of hot QCD matter. Recent measurements of ALICE in pp collisions show a modification of the $\eta/\pi^{0}$ ratio for the neutral meson production in jets with respect to the inclusive measurement. The reconstruction of neutral pions inside jets can be extended to Pb--Pb and p-Pb collisions. The comparison of the production inside jets in cold and hot nuclear collisions would shed light on the final state	effects of the jet quenching mechanism. The reconstruction of neutral pions is done via the two photon decay channel combining various methods of reconstruction. The decay photons are reconstructed via the Photon Conversion Method (PCM) and in the ALICE calorimeters (EMCal and PHOS). In this poster, the latest advances of the neutral meson production inside charged jets in nuclear collisions will be presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Masahiro', 'last_name': 'Takamura', 'fullName': 'Takamura, Masahiro', 'id': '4554217', 'affiliation': 'University of Tsukuba', 'emailHash': '5a188df0f544e244ab7cc477ad94273d', 'db_id': 4554217, 'person_id': 4586501}"
Poster Session,poster,Characterization and operation of the front-end electronics of the CBM Silicon Tracking System,"Maragoto Rodriguez, Osnan",GSI Helmholtz Center for Heavy Ion Research,Germany,"The Compressed Baryonic Matter (CBM) experiment is a fixed-target heavy-ion physics experiment at the Facility for Antiproton and Ion Research (FAIR) in Darmstadt, Germany.  The CBM physics program aims at exploring the QCD phase diagram at very high baryon densities. For high-statistics measurements of rare probes, CBM is designed to cope with very high interaction rates up to 10 MHz. To achieve this high rate capability, the CBM experiment will be equipped with fast and radiation hard detectors employing free-streaming readout electronics. The Silicon Tracking System (STS) is the essential component for tracking up to 1000 charged particles per event in A+A collision. The experimental conditions pose demanding requirements in terms of channel density and read-out bandwidth. The STS-XYTER is a dedicated ASIC for the readout of the double-sided silicon micro-strip sensors. It is a low power, self-triggering ASIC with 128 channels, 5-bit ADC charge and 14-bit timing information. It needs to be fully integrated into a very confined space and it should perform in a highly irradiated environment with strong magnetic field. Several tests are carried out to check chip functionalities, full detector modules performance and integration aspects. An overview of the frontend electronic, module tests and experimental results, for different data taking scenarios, will be presented, including first measurements with a full system test-setup in heavy-ion collisions at SIS18.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Osnan', 'last_name': 'Maragoto Rodriguez', 'fullName': 'Maragoto Rodriguez, Osnan', 'id': '4554158', 'affiliation': 'GSI Helmholtz Center for Heavy Ion Research', 'emailHash': '781fabc100249e9a7294808966b47417', 'db_id': 4554158, 'person_id': 4586193}"
Poster Session,poster,Muon Forward Tracker:  adding vertexing capability to the ALICE MUON Spectrometer,"Yamaguchi, Yorito",Hiroshima University (JP),United States,"For Runs 3 and 4, an ambitious upgrade program is ongoing within the ALICE experiment to further explore the properties of the Quark Gluon Plasma.The Muon Forward Tracker(MFT), one of the major ALICE upgrades, aims to add vertexing capability for muon detection at forward rapidity by providing vital track information in front of the absorber of the Muon Spectrometer. MFT will allow to separate charm and beauty contributions  by measuring displaced vertices of heavy flavor hadron decays and allow for high precision low mass vector meson measurements by improving the Muon spectrometer mass resolution.

MFT consists of 5 double-sided layers of the ALPIDE silicon pixel detector with CMOS technology covering a rapidity range of $-3.6< y <-2.5$. Intensive efforts of the MFT detector assembly are ongoing as well as the development of the  detector control system. The commissioning of the MFT has started. In this poster, we will report on the latest status of the MFT assembly, and its commissioning.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yorito', 'last_name': 'Yamaguchi', 'fullName': 'Yamaguchi, Yorito', 'id': '4554152', 'affiliation': 'Hiroshima University (JP)', 'emailHash': '0c8905e428feb9a5cb699a4752489da6', 'db_id': 4554152, 'person_id': 4585621}"
Poster Session,poster,Beam-energy dependence of spatial and temporal characteristics of shape-selected events in Au+Au collisions at STAR,"Schweid, Benjamin",Stony Brook University,USA,"Femtoscopic measurements can be leveraged to gain insight into the expansion dynamics of the hot and dense medium created in heavy-ion collisions. This poster presentation will report and discuss excitation functions for shape-selected two-pion HBT radii ($R_{out}$, $R_{side}$ and $R_{long}$) measured for a a broad range of collision centrality and average pair transverse momentum ($k_{T}$) with the STAR detector. The shape selections were accomplished via cuts on the distributions of the second-order $Q_2$ vector [1]. The excitation functions, which span the full range of the RHIC beam energy scan ($\sqrt{s_{NN}}$ = 7.7-200 GeV), indicate clear sensitivities to the magnitude of the $Q_2$ vector which give insight into the expansion dynamics. The connection between the magnitude of the $Q_2$ vector and the spatiotemporal characteristics of the quark-gluon plasma produced in the collisions will be discussed.

[1] J. Schukraft, A. Timmins, and S. A. Voloshin, Phys. Lett. B 719 (2013) 394.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Benjamin', 'last_name': 'Schweid', 'fullName': 'Schweid, Benjamin', 'id': '4672519', 'affiliation': 'Stony Brook University', 'emailHash': '0b81766be936f5553644cdc2fc9603f6', 'db_id': 4672519, 'person_id': 4584758}"
Poster Session,poster,Symmetry-plane correlations in flow analyses,"Lesch, Marcel Markus",Technische Universitaet Muenchen (DE),Germany,"Multiparticle correlations built from azimuthal angles whose distributions have been  parametrized with the Fourier series expansion, depend generically on two distinct degrees of freedom: flow amplitudes $v_n$ and symmetry-planes $\Psi_n$. While analyses techniques for flow amplitudes $v_n$ have advanced over the past years, robust and unbiased techniques for analysing symmetry-planes $\Psi_n$ still need to be developed. Previous attempts in the measurements of symmetry-plane correlations (SPC) in high-energy nuclear collisions have built-in biases due to neglected correlations between the flow amplitudes $v_n$ themselves. In this poster, we summarize the recent improvements in the direction of newly developed analyses techniques for SPC without these built-in biases. Predictions of these new observables in high-energy nuclear collisions are provided for the initial coordinate space by MC-Glauber and for the momentum space by iEBE-VISHNU.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marcel Markus', 'last_name': 'Lesch', 'fullName': 'Lesch, Marcel Markus', 'id': '4554167', 'affiliation': 'Technische Universitaet Muenchen (DE)', 'emailHash': '7509537c61e9b0e363c3879f77cc3c8a', 'db_id': 4554167, 'person_id': 4583986}"
Poster Session,poster,Isolated Photon-Hadron Correlations in pp and p--Pb Collisions at $\sqrt s_{\rm NN}$ = 5 TeV in ALICE,"Torales Acosta, Fernando",Lawrence Berkeley National Lab. (US),USA,"Isolated Photon-Hadron Correlations in pp and p--Pb Collisions at $\sqrt s_{\rm NN}$ = 5 TeV in ALICE.
Fernando Torales Acosta on behalf of ALICE collaboration.

The measurement of isolated photon-tagged correlations of jets and jet fragments is a promising channel for the study of partonic energy loss in heavy-ion collisions. We use a combination of isolation and electromagnetic shower-shape information obtained from the ALICE electromagnetic calorimeter and ALICE Inner Tracking System to reduce the large background from meson decays and fragmentation photons. We present isolated photon-hadron correlations and yields of charged hadrons in the unexplored  kinematic  range  given  by 10-40 GeV/$c$ $p_{\rm T}$ photons and 0.5-15 GeV/$c$ $p_{\rm T}$  charged tracks in $\sqrt{s_{\rm NN}} = $ 5.02 TeV pp and p--Pb  collisions. We report the first measurement of photon-tagged fragmentation in p--Pb at the LHC. We show the ratio of fragmentation measurements in pp and p--Pb is consistent with unity, constraining cold nuclear matter effects on parton fragmentation.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Fernando', 'last_name': 'Torales Acosta', 'fullName': 'Torales Acosta, Fernando', 'id': '4554209', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': 'b8dfbb949d7414a96a6db2221fc2e483', 'db_id': 4554209, 'person_id': 4585747}"
Poster Session,poster,Simulating chiral anomalies in a box system,"Zhou, WenHao","Shanghai Institute of Applied Physics, CAS",Unknown,"We have investigated the chiral anomalies with transport simulations in a box system. In the box system with the periodic boundary condition under a uniform magnetic field, the chiral magnetic effect and the chiral magnetic wave were simulated based on the spin kinetic equations of motion (SEOM) and the chiral kinetic equations of motion (CEOM), with the latter derived from the SEOM for massless particles with approximations. We found that the chiral magnetic effect is weaker while the damping of the chiral magnetic wave is stronger from the SEOM compared with that from the CEOM, and they are both weaker than the analytic results. In addition, effects induced by chiral anomalies from the SEOM are less sensitive to the decay of the magnetic field than from the CEOM due to the spin relaxation process. Furthermore, effects of the temperature, the magnetic field, and the specific shear viscosity on the key properties of the chiral magnetic wave with different scenarios are discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'WenHao', 'last_name': 'Zhou', 'fullName': 'Zhou, WenHao', 'id': '4554198', 'affiliation': 'Shanghai Institute of Applied Physics, CAS', 'emailHash': 'f0ffc0d68c60ad02d1356a6689a6f3d4', 'db_id': 4554198, 'person_id': 4584195}"
Poster Session,poster,Measurements of HBT correlations and Levy source parameters in Au+Au collisions at the STAR experiment,"Kincses, Dániel",Eötvös Loránd University Budapest,Unknown,"To study the nature of the quark-hadron phase transition, it is important to investigate the space-time structure of the hadron emission source in heavy-ion collisions. Measurements of HBT correlations have proven to be a powerful tool to gain information about the particle emission region. In this study, Levy fits were performed to the measured one-dimensional two-pion correlation functions in Au+Au collisions at $\sqrt{s_{NN}}$=200 GeV. The three extracted parameters are: the Levy scale parameter, $R$, which is in connection with the physical size of the source, the correlation strength parameter, $\lambda$, and the Levy exponent, $\alpha$, which is related to one of the critical exponents (the correlation exponent $\eta$). It is important to investigate the dependence of these parameters on the average transverse mass, $m_T$, as well as on centrality and $\sqrt{s_{NN}}$. In this poster, we report the current status of the analysis of the extracted Levy source parameters.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Dániel', 'last_name': 'Kincses', 'fullName': 'Kincses, Dániel', 'id': '4672508', 'affiliation': 'Eötvös Loránd University Budapest', 'emailHash': '8cae00f230c670439f3cca5f8bfa3a84', 'db_id': 4672508, 'person_id': 4761722}"
Poster Session,poster,Neutral kaon femtoscopy in Au+Au collisions measured at the STAR experiment,"Pawłowska, Diana",Warsaw University of Technology,Unknown,"The Solenoidal Tracker at RHIC (STAR) enables the possibility of exploring the properties of strongly interacting nuclear matter using the method of femtoscopy. By studying the quantum statistical effects and final state interactions between two particles, one can extract emission source parameters, which is used to describe geometrical and dynamical properties of the homogeneity region. We use the high statistics data of Au+Au collisions recorded by the STAR experiment to study the correlations between strange particles. The lightest strange particles are kaons. Kaons are less affected by resonances decays and provide a cleaner signal of two-particle correlations. Neutral kaons, $K_S^0$, can be measured through their decay products to the pair of charged pions.
	
In this poster, femtoscopic results of system of two neutral kaons produced in Au+Au collisions at the STAR experiment will be presented.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Diana', 'last_name': 'Pawłowska', 'fullName': 'Pawłowska, Diana', 'id': '4672511', 'affiliation': 'Warsaw University of Technology', 'emailHash': 'a1812ee4b77ec51c0299333b809a8956', 'db_id': 4672511, 'person_id': 4761725}"
Poster Session,poster,Strangeness production in carbon-nucleus and argon-nucleus interactions at BM@N,"Senger, Peter",GSI,Germany,"The BM@N (Baryonic Matter at Nuclotron) is the first experiment started at the accelerator complex of NICA-Nuclotron.  The aim of the BM@N experiment is to study interactions of relativistic heavy ion beams with fixed targets. The scientific program comprises studies of nuclear matter in the intermediate energy range between experiments at the SIS-18 and NICA/FAIR facilities. The BM@N experiment has recorded first experimental data with the carbon, argon and krypton beams at the kinetic energy from 2.4 to 4.5 AGeV. First physics results on strangeness production  are presented including  the measurements of the Lambda hyperon yields in carbon-nucleus interactions at the beam kinetic energies of 3.5, 4.0 and 4.5 AGeV.  The yields of positive kaons and pions and the ratios of their production rates in interactions of the 3.2 AGeV argon beam with fixed targets are also presented. The configuration of the BM@N detector setup for the future heavy ion program is shown.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter', 'last_name': 'Senger', 'fullName': 'Senger, Peter', 'id': '4670437', 'affiliation': 'GSI', 'emailHash': '1c9159ef2347b38de9a3d99dc1eb037e', 'db_id': 4670437, 'person_id': 4564809}"
Poster Session,poster,STAR Measurement of Longitudinal Decorrelation of Elliptic Flow from Au+Au Collisions at $\sqrt{s_{NN}}=$ 200 and 27 GeV,"Wang, Gang",UCLA,USA,"Measurement of pseudorapidity dependence of local event plane correlations may reveal the possible existence of twist in participant matter density distribution, which provides a novel input in initial conditions of heavy-ion collisions. The factorization ratio, $r_2(\eta)=\frac{\langle V_2(-\eta,\eta^{ref}) \rangle }{ \langle V_2(\eta,\eta^{ref})\rangle }$, has been extensively used to quantify this longitudinal decorrelation of elliptic flow. However, non-flow effects could also contribute to the $r_2$ value. In this poster, in order to distinguish these mechanisms, we explore the dependence of $r_2$ on the $\eta$ coverage of the event plane, $p_T$ of particles of interest, and event shape as a function of centrality based on the STAR data of Au+Au collisions at 27 and 200 GeV. Observation on $\eta$, $p_T$ and beam energy dependence implies possible non-flow contribution. An alternative observable, correlating the forward, backward and midrapidity event planes, $\langle\sin(2(\Psi_{f} -\Psi_{mid,1})) \sin(2(\Psi_{b} -\Psi_{mid,2}))\rangle$, will be carried out to further probe the genuine flow decorrelation. We also compare the STAR measurement with simulation from AMPT, where the model results seem to overpredict the magnitude of $r_2$, presumably arising from the difference in the initial geometry.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gang', 'last_name': 'Wang', 'fullName': 'Wang, Gang', 'id': '4666718', 'affiliation': 'UCLA', 'emailHash': '31ea6a476b94d59636639178b87d486a', 'db_id': 4666718, 'person_id': 4557466}"
Poster Session,poster,Measurement of the nuclear modification factor $R_{\rm AA}$ of inclusive J/$\psi$ at midrapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV with ALICE,"Bai, Xiaozhi",GSI,Germany,"Heavy quarks are an excellent probe to study the strongly interacting quark-gluon plasma (QGP) created in high-energy heavy-ion collisions. They are mainly produced via initial hard partonic scattering processes and thus experience the entire evolution of the QGP medium. For J/$\psi$, a bound state of ${c}\bar{c}$ quarks, a strong suppression was seen in central collisions at the SPS and RHIC energies whereas at LHC energies (re-)generation is found to be the dominant production mechanism at low transverse momentum ($p_{\rm T}$) and in central collisions at midrapidity. As both suppression and (re-)generation are caused by the presence of a colored medium, J/$\psi$ yields are indeed a sensitive probe of deconfinement of the charm quarks in the QGP. 
      
In this poster, the nuclear modification factor of inclusive J/$\psi$ will be shown as a function of centrality and $p_{\rm T}$ at midrapidity ($|y|<0.9$) in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV. The status of the new analysis performed on data which were taken in 2018 by ALICE will be presented. This sample provides significantly increased statistics with the central and semi-central triggers compared to the previous runs, in a kinematic region down to $p_{\rm T}$=0 at midrapidity. The measurement will be compared with the previous ALICE results and model calculations. The status of the analysis aiming at disentangling prompt and non-prompt J/$\psi$ will also be discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xiaozhi', 'last_name': 'Bai', 'fullName': 'Bai, Xiaozhi', 'id': '4554190', 'affiliation': 'GSI', 'emailHash': 'ec48eaac52badbcb87cef21b4a7100b0', 'db_id': 4554190, 'person_id': 4585717}"
