Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Poster Session,poster,Bjorken expansion with gradual freeze out via HBT,"Borrell Martinez, Marc",Unknown,Unknown,"For Bjorken models with gradual freeze out, the resulting post freeze out momentum distribution practically does not depend on the layer thickness. Using such a model we calculate the pion correlation function produced in Pb+ Pb central collisions The correlation function is in qualitative agreement with other publications but our model allows us to perform a more detailed study of how this affects the final observables. We also find a good agreement with experimental data from ALICE and we deduce that long freeze out averaged correlation functions are more similar to experimental data than sharp freeze out.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marc', 'last_name': 'Borrell Martinez', 'fullName': 'Borrell Martinez, Marc', 'id': '3513408', 'affiliation': '', 'emailHash': 'abfefabb288b1acf08e4e437c3224995', 'db_id': 3513408, 'person_id': 3644588}"
Poster Session,poster,The Azimuthal Angle Dependence of Lambda (anti-Lambda) Polarization in Au+Au Collisions from STAR,"Tu, Biao",Central China Normal University and Brookhaven National Laboratory,USA,"The STAR experiment at RHIC has observed for the first time a significant alignment between the angular momentum of the medium produced in non-central collisions [1] and the spin of $\Lambda$($\overline{\Lambda}$) hyperons ($J$$=$1/2), revealing that the matter produced in heavy-ion collisions is by far the most vortical system ever observed. Such vorticity is expected to be maximal at the equator, and due to the low viscosity of the system, the vorticity may not be propagated efficiently to the poles. This may lead to a larger in-plane than out-of-plane polarization for $\Lambda$ hyperons.

In this poster, we will present the azimuthal angle (with respect to the reaction plane) dependence of $\Lambda$ and $\overline{\Lambda}$ polarization in 20-50% central Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV. The implications of our results will be discussed.

Reference
[1] L. Adamczyk et al. (STAR Collaboration), Nature 548, 62 (2017).","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Biao', 'last_name': 'Tu', 'fullName': 'Tu, Biao', 'id': '3592129', 'affiliation': 'Central China Normal University and Brookhaven National Laboratory', 'emailHash': '9dd716170278c94cfcc5e3b71287d62c', 'db_id': 3592129, 'person_id': 3775556}"
Poster Session,poster,Jet reconstruction and measurements of jet substructure in heavy ion collisions with CMS,"Lee, Yen-Jie",Massachusetts Inst. of Technology (US),USA,"Measurements of jet substructure are useful tools for the understanding of the mechanism of jet quenching. Using those multi-scale probes, the results of jet fragmentation functions, jet shape and jet spectra could be used to search for possible medium response and to quantify the properties of the Quark-Gluon Plasma within the theoretical models. In this poster, jet reconstruction, background subtraction, and jet substructure extraction methods used in CMS analyses are presented. The results are compared to theoretical model calculations and implications from various jet substructure measurements using electroweak bosons, hadrons and jets are also summarized.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yen-Jie', 'last_name': 'Lee', 'fullName': 'Lee, Yen-Jie', 'id': '3586946', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '8037f2f5eb66457d78bbe8b4f5515d4d', 'db_id': 3586946, 'person_id': 3642930}"
Poster Session,poster,Factorization of two-particle probability distributions in  Pb--Pb collisions at $\sqrt{s_{NN}} = 5.02$ TeV with ALICE,"Bourjau, Christian",University of Copenhagen (DK),DK,"The flow coefficients $v_n$ are commonly extracted from multi-particle distributions where the properties of one or several particles are averaged over a large range in pseudorapidity $\eta$ or transverse momentum $p_{\text{T}}$.
  Such approaches assume that the observed multi-particle distributions can be factorized into a product of single-particle distributions.
  However, it is known that this condition is violated even in ideal hydrodynamics due to initial state fluctuations or the presence of non-flow.
  Detailed studies of a possible violation of this factorization assumption can therefore be used to constrain the size of such fluctuations as well as to identify possible non-flow contributions.
  A factorization breakdown can be measured directly in multi-particle probability distributions.
  This poster presents an explicit approach to the $\eta$-dependent factorization of two-particle probability distributions within $-3.4 \leq \eta \leq 5$ in the latest $\sqrt{s_{NN}} = 5.02$ TeV Pb--Pb data measured with ALICE.
  A factorizing phase-space region is identified by varying the minimal $\Delta\eta$ separation between particles; the factorization breakdown for small separations is attributed to non-flow and detector effects.
  The analysis yields the well known $v_n$ coefficients as the result of the factorization process.
  These flow coefficients are compared to similar results measured with the Q-cumulant method.
  All findings are also compared to model calculations and previous studies at $\sqrt{s_{NN}} = 2.76$ TeV.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Bourjau', 'fullName': 'Bourjau, Christian', 'id': '3513399', 'affiliation': 'University of Copenhagen (DK)', 'emailHash': 'de946d1d58a6c747e0f614ba412913ba', 'db_id': 3513399, 'person_id': 3644285}"
Poster Session,poster,Higher harmonics and flow at FAIR energies,"Argintaru, Danut","Constanta Maritime University, Romania",Unknown,"In this presentation we make comparisons between hydrodynamic behavior in UrQMD/CASCADE [1], UrQMD/HYDRO, AMPT and Chaos Many-Body Engine [2]  Au+Au simulated events at CBM-FAIR energies. We analyze the properties of different flow streams classes [1] and of the Fourier coefficients in the mentioned interaction models as a function of incident energy, rapidity and impact parameter.
[1] Danut Argintaru, Calin Besliu, Alexandru Jipa, Tiberiu Esanu, Valerica Baban, Madalin Cherciu, and Valeriu Grossu, Flow shapes and higher harmonics in anisotropic transverse collective flow, Eur. Phys. J. A (2017) 53: 6;
[2] I.V. Grossu, C.Besliu, D.Felea, , Al.Jipa, High precision framework for Chaos Many-Body Engine, March 2013 Computer Physics Communications 185(4)","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Danut', 'last_name': 'Argintaru', 'fullName': 'Argintaru, Danut', 'id': '3513415', 'affiliation': 'Constanta Maritime University, Romania', 'emailHash': '15da2c97df4f5f16a687dad40f5e28f9', 'db_id': 3513415, 'person_id': 3643037}"
Poster Session,poster,D^{0}-meson Elliptic Flow Measurement in Au+Au Collisions at $\sqrt{s_{NN}}$ = 200 GeV from STAR,"Liang, Yue",Kent State Univesrsity & Lawrence Berkeley National Laboratory ,USA,"A recent result from the STAR experiment shows that in 10-40% central Au+Au collisions at the top RHIC energy the elliptic flow ($v_2$) of the $D^0$-meson follows the Number-of-Constituent-Quark scaling in the same way as it does for light flavor hadrons. This suggests that charm quarks have gained sufficiently large collectivity through their interactions with the Quark-Gluon Plasma (QGP). It is of great interest to see whether this scaling holds in more peripheral collisions, which will shed more lights on how charm quarks interact with the QGP and gain collectivity.

In this poster, we present the centrality and transverse momentum dependences of the $D^0$-meson $v_{2}$ measured in Au+Au collisions at $\sqrt{s_{\mathrm{NN}}}$ = 200 GeV by the STAR experiment. The measurement is based on the combined datasets recorded in 2014 and 2016, which yield about a factor of 3 times of the statistics compared to the previously published results. In order to better understand the non-flow contribution in peripheral collisions, the azimuthal anisotropy parameter $v_{2}$ is measured as a function of the pseudo-rapidity gap between the $D^0$-meson and tracks used for reconstructing the event plane. The results will be compared to those of light hadrons in various centrality intervals and physics implications will be discussed.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yue', 'last_name': 'Liang', 'fullName': 'Liang, Yue', 'id': '3597219', 'affiliation': 'Kent State Univesrsity & Lawrence Berkeley National Laboratory ', 'emailHash': '690d6342aee2760306d6684f8015d4fa', 'db_id': 3597219, 'person_id': 3780986}"
Poster Session,poster,PHENIX measurements of charged hadron and heavy flavor v2 at forward/backward rapidity in d+Au collisions at sqrt{s}=200 GeV,"McGlinchey, Darren",Los Alamos National Laboratory,USA,Recent measurements at both RHIC and the LHC continue to indicate that particles produced in small collision systems exhibit collective behavior similar to those observed in large collision systems. The PHENIX experiment has measured substantial elliptic ($v_2$) flow coefficients for charged hadrons at midrapidity in a suite of small collision systems over a range of collision energies. We extend these results with new measurements of charged hadron $v_2(p_T)$ at forward and backward rapidities in $d+$Au collisions at $\sqrt{s_{_{NN}}}=200$ GeV in order to better constrain the rapidity extent of these correlations. To further investigate the origins of these correlations we also present the status of the $v_2$ of heavy flavor decay muons at forward and backward rapidities in the same collision system.​,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Darren', 'last_name': 'McGlinchey', 'fullName': 'McGlinchey, Darren', 'id': '3513437', 'affiliation': 'Los Alamos National Laboratory', 'emailHash': '99c3bc2dab98d31c6f9e86847c934152', 'db_id': 3513437, 'person_id': 3646733}"
Poster Session,poster,Predictions for  event-by-event flow harmonic distributions at RHIC,"Barbosa, Leonardo",Instituto de Física da Universidade de São Paulo,Unknown,"Hydrodynamical models must be able to reproduce data not only in average for a given centrality class but for each event. In particular they must reproduce the scaled $v_n$ distributions obtained by ATLAS [1,2] and ALICE [3]. These distributions are independent of medium properties such as viscosity, and so directly probe the initial conditions.  

They in fact provide a strong test for initial condition models:  many models   (e.g. Glauber and MC-KLN) can be ruled out and so far only two models  lead to satisfactory results [4,5]. In this work, we show that NeXus initial conditions also provide reasonable results for scaled $v_n$ distributions at LHC energies and make predictions for RHIC top energy.

References: 
[1] ATLAS Collaboration Nucl. Phys. A 904-905 421c (2013)
[2] ATLAS Collaboration JHEP 1311 183 (2013)
[3] ALICE Collaboration J. Phys. Conf. Ser. 446 012031 (2013)
[4] C. Gale, S. Jeon, B. Schenke, P. Tribedy, and R. Venugopalan, Phys. Rev. Lett. 110, 012302 (2013),
[5] H. Niemi, K. J. Eskola, and R. Paatelainen, Phys. Rev. C 93, 024907 (2016)","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Leonardo', 'last_name': 'Barbosa', 'fullName': 'Barbosa, Leonardo', 'id': '3513431', 'affiliation': 'Instituto de Física da Universidade de São Paulo', 'emailHash': '6338e9ce1e1e7095b9f717bdced71f27', 'db_id': 3513431, 'person_id': 3647465}"
Poster Session,poster,Pseudorapidity dependence of anisotropic flow in Pb-Pb collisions measured with ALICE,"Thoresen, Freja",The Niels Bohr Institute,DK,"Anisotropic flow coefficients $v_n$ are used to study the properties of the quark-gluon plasma created in heavy-ion collisions. 
In this poster we will present $v_n$ measured for a wide range of pseudorapidity -$3.4 < \eta < 5$ in Pb-Pb collisions at $\sqrt{s_{NN}} = 5.02$ TeV. 
 
These new results will be compared to measurements at lower energies as well as model calculations. The presented results help to constrain the longitudinal profile of the initial conditions and the parameters of the 3D hydrodynamical modelling of relativistic heavy-ion collisions.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Freja', 'last_name': 'Thoresen', 'fullName': 'Thoresen, Freja', 'id': '3513436', 'affiliation': 'The Niels Bohr Institute', 'emailHash': 'cddd7a575dc8da2e3e71863157467799', 'db_id': 3513436, 'person_id': 3641247}"
Poster Session,poster,Multiplicity dependence of strangeness production in proton-proton collisions at $\sqrt{s}$ = 5.02 TeV with ALICE at the LHC,"Tropp, Lukas",Pavol Jozef Safarik University,Unknown,"Recent measurements performed in high-multiplicity proton-proton and proton-lead collisions at the LHC have shown features that are reminiscent of those observed in lead-lead collisions. Results on (multi-)strange hadron production in proton-proton collisions at $\sqrt{s}$= 5.02 TeV will be shown, based on the analysis of a data sample collected in 2015 with the ALICE detector. This sample is complemented by a large sample of minimum bias triggered events collected at the end of 2017. The first results on (multi)strange production in this collision system constitute an important reference for measurements in lead-lead collisions at the same energy.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Lukas', 'last_name': 'Tropp', 'fullName': 'Tropp, Lukas', 'id': '3513441', 'affiliation': 'Pavol Jozef Safarik University', 'emailHash': 'b0984da3a892fd26c8ba818e2f5c8eee', 'db_id': 3513441, 'person_id': 3641343}"
