Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,Results on heavy flavors from ALICE,"Conesa Del Valle, Zaida",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zaida', 'last_name': 'Conesa Del Valle', 'fullName': 'Conesa Del Valle, Zaida', 'id': '314460', 'affiliation': 'CERN', 'emailHash': '48a355ec8ec0afd020eab68fda46ea33', 'db_id': 314460, 'person_id': 343255}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,PHENIX Heavy Flavors,"Rosati, Marzia",Iowa State University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marzia', 'last_name': 'Rosati', 'fullName': 'Rosati, Marzia', 'id': '314462', 'affiliation': 'Iowa State University', 'emailHash': '8046e9c0ee6165cd881cdb2c6d0eec51', 'db_id': 314462, 'person_id': 343256}"
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Results on quarkonia from ALICE,"Scomparin, Enrico",Universita e INFN (IT),Italy,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Enrico', 'last_name': 'Scomparin', 'fullName': 'Scomparin, Enrico', 'id': '314465', 'affiliation': 'Universita e INFN (IT)', 'emailHash': '34be8e208a702917fc6bf97542230aa5', 'db_id': 314465, 'person_id': 343258}"
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Overview of results on heavy flavor and quarkonia from the CMS collaboration,"Mironov, Camelia",Ecole Polytechnique (FR),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Camelia', 'last_name': 'Mironov', 'fullName': 'Mironov, Camelia', 'id': '314466', 'affiliation': 'Ecole Polytechnique (FR)', 'emailHash': 'b68db089a69ac7bde973434c7b8b289d', 'db_id': 314466, 'person_id': 343259}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,PHENIX Beam Energy Scan,"O'Brien, Edward",BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Edward', 'last_name': ""O'Brien"", 'fullName': ""O'Brien, Edward"", 'id': '314936', 'affiliation': 'BNL', 'emailHash': '21f9d07ee1666520c024abb793013356', 'db_id': 314936, 'person_id': 343594}"
Plenary IVA: Real & Virtual Photons (Chair: T. Nayak),plenary,PHENIX Low Mass Di-leptons,"Tserruya, Itzhak",Weizmann Institute of Science (IL),IL,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Itzhak', 'last_name': 'Tserruya', 'fullName': 'Tserruya, Itzhak', 'id': '314937', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': 'ef38b277693733467389826c31fccd01', 'db_id': 314937, 'person_id': 343595}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,Results on identified particle spectra from ALICE,"Ivanov, Marian",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marian', 'last_name': 'Ivanov', 'fullName': 'Ivanov, Marian', 'id': '314454', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '52012a89e299866d9ca1734ed341757d', 'db_id': 314454, 'person_id': 343252}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,PHENIX High pT,"McCumber, Michael",University of Colorado,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'McCumber', 'fullName': 'McCumber, Michael', 'id': '314456', 'affiliation': 'University of Colorado', 'emailHash': 'c18108762206aebb96e95603616ba470', 'db_id': 314456, 'person_id': 343253}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,Heavy Flavor Results from STAR,"Xie, Wei",Purdue University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wei', 'last_name': 'Xie', 'fullName': 'Xie, Wei', 'id': '314458', 'affiliation': 'Purdue University (US)', 'emailHash': 'c666f103b7bf6deffc318d04e674a3bf', 'db_id': 314458, 'person_id': 343254}"
Plenary VIC: Rapporteur Talks (Chair W. Busza),plenary,Rapporteur Talk: Global Variables and Correlations,"Hippolyte, Boris",Institut Pluridisciplinaire Hubert  Curien (FR),France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Boris', 'last_name': 'Hippolyte', 'fullName': 'Hippolyte, Boris', 'id': '314578', 'affiliation': 'Institut Pluridisciplinaire Hubert  Curien (FR)', 'emailHash': 'f529c339d1685203a7da3a9050cb7934', 'db_id': 314578, 'person_id': 343352}"
