Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Plenary IIA: Jets (Chair M. Gyulassy),other,Jet Discussion,Unknown,Unknown,Unknown,,
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,Results on heavy flavors from ALICE,"Conesa Del Valle, Zaida",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Zaida', 'last_name': 'Conesa Del Valle', 'fullName': 'Conesa Del Valle, Zaida', 'id': '314460', 'affiliation': 'CERN', 'emailHash': '48a355ec8ec0afd020eab68fda46ea33', 'db_id': 314460, 'person_id': 343255}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,PHENIX Heavy Flavors,"Rosati, Marzia",Iowa State University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marzia', 'last_name': 'Rosati', 'fullName': 'Rosati, Marzia', 'id': '314462', 'affiliation': 'Iowa State University', 'emailHash': '8046e9c0ee6165cd881cdb2c6d0eec51', 'db_id': 314462, 'person_id': 343256}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),other,Heavy Flavor Discussion,Unknown,Unknown,Unknown,,
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Results on quarkonia from ALICE,"Scomparin, Enrico",Universita e INFN (IT),Italy,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Enrico', 'last_name': 'Scomparin', 'fullName': 'Scomparin, Enrico', 'id': '314465', 'affiliation': 'Universita e INFN (IT)', 'emailHash': '34be8e208a702917fc6bf97542230aa5', 'db_id': 314465, 'person_id': 343258}"
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Overview of results on heavy flavor and quarkonia from the CMS collaboration,"Mironov, Camelia",Ecole Polytechnique (FR),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Camelia', 'last_name': 'Mironov', 'fullName': 'Mironov, Camelia', 'id': '314466', 'affiliation': 'Ecole Polytechnique (FR)', 'emailHash': 'b68db089a69ac7bde973434c7b8b289d', 'db_id': 314466, 'person_id': 343259}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,PHENIX Beam Energy Scan,"O'Brien, Edward",BNL,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Edward', 'last_name': ""O'Brien"", 'fullName': ""O'Brien, Edward"", 'id': '314936', 'affiliation': 'BNL', 'emailHash': '21f9d07ee1666520c024abb793013356', 'db_id': 314936, 'person_id': 343594}"
Plenary IVA: Real & Virtual Photons (Chair: T. Nayak),plenary,PHENIX Low Mass Di-leptons,"Tserruya, Itzhak",Weizmann Institute of Science (IL),IL,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Itzhak', 'last_name': 'Tserruya', 'fullName': 'Tserruya, Itzhak', 'id': '314937', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': 'ef38b277693733467389826c31fccd01', 'db_id': 314937, 'person_id': 343595}"
Teacher's Day,other,"Visualizing the ""little bangs"": Simulations and visualizations of relativistic heavy ion collisions","Petersen, Hannah",Unknown,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hannah', 'last_name': 'Petersen', 'fullName': 'Petersen, Hannah', 'id': '314938', 'affiliation': '', 'emailHash': '06052739f1bd9c0f30a65d0898e17cdc', 'db_id': 314938, 'person_id': 343593}"
Teacher's Day,other,Peering through the haze: Reconstructing the QGP's properties,"Lisa, Mike",Ohio State University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mike', 'last_name': 'Lisa', 'fullName': 'Lisa, Mike', 'id': '314939', 'affiliation': 'Ohio State University (US)', 'emailHash': '121705a1b7bea1710f308c95f5276ee1', 'db_id': 314939, 'person_id': 343137}"
