Session/Category,Title,Speaker,Institute,Country
,"Measurements of Light Nuclei ($d$, $t$, $^{3}He$) and $\Lambda$ correlation in Au+Au collisions at $\sqrt{s_{{NN}}}=$ 3 GeV from STAR",Xialei Jiang,Central China Normal University,UK
,Residual 3rd-body Coulomb Effect on Identical Charged Pion Correlations in Au+Au Collisions at STAR,Vinh Luong,Joint Institute for Nuclear Research,Italy
,Measurement of $\phi$ meson directed flow in $\sqrt{s_{\rm NN}}$ = 3 - 19.6 GeV Au+Au collisions from RHIC-STAR,Guangyu Zheng,University of Chinese Academy of Sciences,Germany
,Precision measurement of Fifth and Sixth Order Cumulants and Factorial Cumulants of (Net-)proton Multiplicity Distributions in Au+Au Collisions from BES-II Program at RHIC-STAR,Bappaditya Mondal,No affiliation,Unknown
,Dynamical transverse momentum fluctuations at high baryon density measured by the STAR Experiment,Rutik Manikandhan,University of Houston,USA
,Precision Measurement of (Net-)proton Number Fluctuations in Au+Au Collisions at RHIC,Fan Si,No affiliation,Unknown
,"Rapidity Dependence of Proton Higher-Order Cumulants in $\sqrt{s_{NN}}$ = 3.2, 3.5 and 3.9 GeV Au+Au Collisions",Xin Zhang,"Institute of Modern Physics, Chinese Academy of Sciences",Germany
,Measurement of dielectron production in Au+Au and U+U ultraperipheral collisions at STAR,Nicholas Jindal,Ohio State University (US),USA
,First Measurement of Photoproduction of $\phi$ Mesons in Ultra-Peripheral Au+Au Collisions at $\sqrt{s_{NN}} = 200~\mathrm{GeV}$ at STAR,Xihe Han,No affiliation,Unknown
,Measurements of proton-antiproton pairs from QED vacuum excitation in Au+Au ultra-peripheral collisions at $\sqrt{s_{\rm{NN}}} = $ 200 GeV from STAR,Xin Wu,University of Science and Technology of China,Italy
,Investigating Entanglement Enabled Spin Interference in continuum $\pi^+ \pi^-$ and $\rho^0$ photoproduction in Au+Au collisions at STAR,Samuel Corey,Ohio State University,Italy
,Studying non-perturbative QCD with jet substructure measurements in 200 GeV $pp$ collisions at STAR,Youqi Song,No affiliation,Unknown
