Session/Category,Title,Speaker,Institute,Country
,NON-PERTURBATIVE HEAVY QUARK DIFFUSION IN A WEAKLY MAGNETIZED THERMAL QCD MEDIUM,Debarshi Dey,Indian Institute of Technology Bombay,Italy
,Advancing our understanding of the in-medium q -> qg splitting function,Marco Leitão,LIP - Lisbon & IST-UL,LIP - Lisbon & IST-UL
,Exploring Axial U(1) symmetry via Meson Screening mass in (2+1)-Flavor QCD with Chiral Fermions,Yu Zhang,No affiliation,Unknown
,A system size scan of Jet Substructure with JEWEL,Isobel Kolbe,University of the Witwatersrand (ZA),ZA
,Resolving cluster production with the help of elliptic flow,Boris Tomasik,Czech Technical University  in Prague (CZ),CZ
,Effects of color decoherence and virtuality on jet quenching,Lin CHEN,Instituto Galego de Fisica de Altas Enerxias - IGFAE,Germany
,Effects of color decoherence and virtuality on jet quenching,Xiang-Pan Duan,Fudan University,Italy
,Structure and Evolution of Shock Waves in the Presence of the Magnetic Fields for Heavy-Ion Collisions and Astrophysics Applications,Magdeline Seabi,Nelson Mandela University,Germany
,Effects of memory on heavy-quarkonium dynamics in quark gluon plasma,Vyshakh B R,"Tata Institute of Fundamental Research, Mumbai",Italy
,How much should we trust the kinetic limit?,Leonardo Tinti,Uniwersytet Jana Kochanowskiego w Kielcach,Switzerland
,The effect of extra dimensions on compact star observables,Anna Horvath,No affiliation,Unknown
,Hybrid approach to perfect and dissipative spin hydrodynamics,Wojciech Florkowski,Jagiellonian University,Italy
,"Formation, dissociation and regeneration of charmonia within microscopic Langevin simulations",Naomi Oei,No affiliation,Unknown
,Hydrodynamization and thermalization in heavy-ion collisions from a kinetic theory perspective,Caio Brito,Universidade Federal Fluminense,UK
,Electromagnetic emission from strongly interacting hadronic and partonic matter created in heavy-ion collisions,Adrian William Romero Jorge,"FIAS, Frankfurt Univ.",France
,Initial conditions in the hydrodynamics of small systems and the 3D structure of the nucleon,Gabriel Rabelo Soares,Unicamp,Canada
,Baryon polarization and meson spin alignment in a thermal model with spin-vorticity non-equilibrium,Kayman Jhosef Goncalves,Unicamp,Canada
,How many interactions does it take to modify a jet?,Chiara Le Roux,No affiliation,Unknown
,Frisco3 - A three-fluid model with continuous freeze-out for intermediate energy heavy-ion collisions,Tom Reichert,No affiliation,Unknown
,Strange resonances shine in NA61/SHINE,Antoni Marcinek,Polish Academy of Sciences (PL),PL
,Transport properties and jet transport coefficients of the strongly interacting quark-gluon plasma,Ilia Grishmanovskii,"ITP, Frankfurt",France
,Probing the exotic $\alpha$-cluster profile of $^{16}$O nuclei through anisotropic flow fluctuations in $^{16}$O-$^{16}$O collisions at the LHC,Suraj Prasad,Indian Institute of Technology  Indore (IN),India
,Probing the exotic $\alpha$-cluster profile of $^{16}$O nuclei through anisotropic flow fluctuations in $^{16}$O-$^{16}$O collisions at the LHC,Neelkamal Mallick,University of Jyväskylä,Italy
,Probing the exotic $\alpha$-cluster profile of $^{16}$O nuclei through anisotropic flow fluctuations in $^{16}$O-$^{16}$O collisions at the LHC,Raghunath Sahoo,Indian Institute of Technology  Indore (IN),India
,Probing the exotic $\alpha$-cluster profile of $^{16}$O nuclei through anisotropic flow fluctuations in $^{16}$O-$^{16}$O collisions at the LHC,Gergely Gabor Barnafoldi,HUN-REN Wigner Research Centre for Physics (HU),HU
,Neural network enhanced Bayesian analysis of heavy-ion observables using EbyE-EKRT model with dynamical freeze-out,Jussi Auvinen,University of Jyväskylä,Italy
,Revealing initial-state properties through ultracentral symmetric heavy-ion collisions,Seyed Farid Taghavi,Technische Universitaet Muenchen (DE),Germany
,Two-particle pion femtoscopy with Lévy sources from 13 to 150A GeV/c at NA61/SHINE,Barnabas Porfy,HUN-REN Wigner Research Centre for Physics (HU),HU
,Real-time dynamics of the quark-meson model from the functional renormalization group,Johannes Roth,No affiliation,Unknown
,Transport model study of net-baryon number fluctuations in QCD matter,Qian  Chen Qian  Chen,Guangxi Normal University,Italy
,Event-by-event investigation of the kaon and pion pair-source function with EPOS,László Kovács,No affiliation,Unknown
,Unlocking QGP Mysteries: Nuclear Clustering and Non-Equilibrium Dynamics in Small-System Collisions,Xinli Zhao,University of Shanghai for Science and Technology,Italy
,Hadronization reweighting and machine learning for hadronization,Christian Bierlich,Lund University (SE),SE
,Large density QCD phase boundary from strangeness fluctuations,Paolo Parotto,No affiliation,Unknown
,Exploring the QCD phase diagram under the effect of rotation,Kshitish Kumar Pradhan,IIT Indore,Italy
,Exploring Dynamic String Tension in a Transport Approach for System-Size Dependent Strangeness Production,Carl Rosenkvist,Frankfurt Institute for Advanced Studies,France
,Wiedemann-Franz Law Violation in Graphene and Quark Matter: A Relativistic Fluid Perspective,Thandar Zaw Win,IIT Bhilai,Italy
,Quantum Hall effect for quarks in chiral effective model,Dani Rose J Marattukalam,Indian Institute of Technology Bhilai,Italy
,Nuclear equation of state at finite $\mu_B$ using deep learning assisted quasi parton model,Fu-Peng Li,Central China Normal University,UK
,Probing nuclear shape coexistence using heavy ion isobar collisions,Hadi Mehrabpour,Peking Univresity,Italy
,Couplings of spin alignment and shear stress tensor for vector mesons,Wenbo Dong,University of Science and Technology of China,Italy
,Light and strange quark chemical equilibration of the quark-gluon plasma,Andrew Gordeev,No affiliation,Unknown
,Axion effects on the nonradial oscillations of neutron stars,Deepak Kumar,Institute of Physics,Italy
,The effect of acausality on Bayesian analyses,Thiago Siqueira Domingues,No affiliation,Unknown
,Rapidity scan with DCCI at LHC energy,Shin-ei Fujii,Sophia Univ.,Sophia Univ.
,Search for the critical point via intermittency analysis in NA61/SHINE,Valeria Zelina Reyna Ortiz,Jan Kochanowski University (PL),PL
,Evolution of the rho meson’s spin alignment in a pion gas,Yi-Liang Yin,No affiliation,Unknown
,"""Quark Matter in Neutron Stars?  Bayesian analysis of hybrid EoS constraints from recent observations""",Alexander Ayriyan,University of Wroclaw & AANL,Italy
,Study of Local $\Lambda$-hyperon Polarization in Relativistic Heavy-Ion Collisions Within Transport Model Approach,Oleksandr Vitiuk,University of Wroclaw (PL),PL
,Exploring the QCD EoS with AI: Constraints from Current Data and tools for Future Experiments,Manjunath Omana Kuttan,Frankfurt Institute for Advanced Studies,France
,Production of the CBM Transition Radiation Detector,Philipp Kähler,"Institut für Kernphysik, Universität Münster",Italy
,Thermal field fluctuations in a chiral lagrangian with broken scale invariance,LUCA PASSARELLA,No affiliation,Unknown
,The spin alignment of vector mesons with light front quarks,Baochi Fu,No affiliation,Unknown
,Neutrino opacities in the NJL model with color superconductivity,Marco Hofmann,No affiliation,Unknown
,The (2+1)-dimensional Gross-Neveu-Yukawa Model in large magnetic fields with the Functional Renormalization Group,Justin Mauldin,Frankfurt University,France
,Equation of state at finite density from functional methods,Omar PerFig,No affiliation,Unknown
,"The non-linear response coefficient $\chi_{4,22}$ in Au+Au and U+U collisions",Jie Zhao,Fudan University,Italy
,Shedding light on quark flavor balancing in nuclear collisions,Basanta Kumar Nandi,IIT- Indian Institute of Technology (IN),India
,Superconductivity in confining models,João Paulo Sampaio Santos,UERJ,UERJ
,Universal non-equilibrium scaling of cumulants across a critical point,Leon Sieke,Justus-Liebig-Universität Giessen,USA
,Identification of MOAT regime and inhomogenous phases,Cedric John Norbert Riedel,No affiliation,Unknown
,An Advanced Framework for Higher Order Cumulants of Transverse Momentum and Azimuthal Angle Correlations,Nina Nathanson,University of Copenhagen (DK),DK
,New results on collision dynamics in relativistic heavy-ion collisions,Catalin-Lucian Ristea,Institute of Space Science  subsidiary of INFLPR (RO),RO
,Ideal-spin hydrodynamics on top of a rotating background,Annamaria Chiarini,No affiliation,Unknown
,Validating the Pre-equilibrium Evolution of Heavy Ion Collisions in KøMPøST,Jens Andreas Hügel,No affiliation,Unknown
,Discriminating cluster configurations in $^{20}$Ne in central Ne+Ne Collisions,Pei Li,Fudan University,Italy
,Balance Functions for Charmed and Light Hadron Pair Correlations in PYTHIA,Claude Andre Pruneau,Wayne State University (US),USA
,Parton Fragmentation Functions in Electron-positron Annihilation extracted via a Physics-Informed Neural Network,siwei dai,CENTRAL CHINA NORMAL UNIVERSITY,UK
,Collective flow analysis using bulk and strange hadrons produced in relativistic heavy-ion collisions,Oana Ristea,"University of Bucharest, Faculty of Physics",Italy
,"Performance of hit, track, and vertex reconstruction of the Silicon Tracking System of the CBM experiment at mCBM@SIS18",Dario Alberto Ramirez Zaldivar,No affiliation,Unknown
,Forward Spectator Detector for CBM,Radim Dvořák,No affiliation,Unknown
,Monte-Carlo sampling of nucleon positions in the nuclear shell model for heavy-ion collisions,Lisa Kröger,No affiliation,Unknown
,Stochastic Non-Relativistic Hydrodynamics,Mattis Harhoff,Universität Bielefeld,Italy
,Module and ladder characterization of the Silicon Tracking System for the CBM experiment,Lady Maryann Collazo Sánchez,No affiliation,Unknown
,Impact of the radial profile of atomic nuclei on observables in high-energy collisions,Zhengxi Yan,No affiliation,Unknown
,Investigation of thermal and freeze-out contributions of vector mesons to the dilepton spectrum,Jessica Ou Ya Vogel,No affiliation,Unknown
,Saturation effects in exclusive vector meson production in DIS,Yannik Hoffmann,Universität Bielefeld,Italy
,Studies of Λ transverse polarization in p+p interactions within NA61/SHINE at the CERN SPS,Yehor Bondar,Jan Kochanowski University (PL),PL
,Global electron identifier for CBM using Machine Learning approach,Pavish Subramani,No affiliation,Unknown
,Kadanoff-Baym equations for open quantum systems,TIm Neidig,No affiliation,Unknown
,Cumulants of proton number distributions at the high net-baryon densities,Xin Zhang,"Institute of Modern Physics, Chinese Academy of Sciences",Germany
,Exploring strangeness and resonance production mechanism using EPOS4 hydrodynamical model,Anju Bhasin,University of Jammu (IN),India
,Anisotropic flow of identified particles in $\rm{^{16}}$O$-$$\rm{^{16}}$O collisions at $\rm{\sqrt{s_{NN}}}$ = 7 TeV,Arpit Singh,Indian Institute of Technology Bombay,Italy
,Anisotropic flow of identified particles in $\rm{^{16}}$O$-$$\rm{^{16}}$O collisions at $\rm{\sqrt{s_{NN}}}$ = 7 TeV,Md Samsul Islam,Indian Institute of Technology Bombay,Italy
,Deep Learning Methods for Jet Tagging and Process Classification Using Image Processing and Energy Flow Polynomials,Jhoao Gabriel Martins Campos Almeida Arneiro,Universidade de Sao Paulo (BR),BR
,Feasibility Studies for Di-Electron Spectroscopy with CBM at FAIR,Cornelius Feier-Riesen,No affiliation,Unknown
,Hypernuclei reconstruction performance with the CBM experiment,Susanne Glassel,No affiliation,Unknown
,Softening of the Hypertriton Transverse Momentum Spectrum in Heavy-Ion Collisions,DaiNeng Liu,"Institute of Modern Physics, Fudan University, Shanghai, China",Germany
,Multipoint Energy Correlators in Heavy Ion Collisions at RHIC Energies from Simulation,Benjamin Kimelman,Vanderbilt University,Germany
,Heavy-quark corner of the Columbia plot from the center-symmetric Curci-Ferrari model,Tomas Mari Surkau,"CPHT - Ecole Polytechnique, IP Paris, CNRS",China
,Dilepton yield as a probe of nuclear deformation in relativistic heavy-ion collisions,Wen-Hao Zhou,西安航空学院,西安航空学院
,Exploring heavy flavor $R_{AA} - v_2$ puzzle with anomalous diffusion via Fractional Langevin Equation,Mohammad Yousuf Jamal,"Institute of Particle Physics, Central China Normal University, Wuhan 430079, China",UK
,Induced electric field due to thermoelectric effects in an evolving quark-gluon plasma,Kamaljeet Singh,Indian Institute of Technology  Indore (IN),India
,Induced electric field due to thermoelectric effects in an evolving quark-gluon plasma,Raghunath Sahoo,Indian Institute of Technology  Indore (IN),India
,"Flavor dependence of jet suppression, substructures and axis decorrelation",Yichao Dang,Shandong University,Italy
,Diffusion coefficient matrix related to charm sector in an interacting hadronic medium and a possible probe for QCD critical point,Kangkan Goswami,Indian Institute of Technology Indore,Italy
,Diffusion coefficient matrix related to charm sector in an interacting hadronic medium and a possible probe for QCD critical point,Raghunath Sahoo,Indian Institute of Technology  Indore (IN),India
,Renormalization Group Consistent treatment of NJL Color Superconductivity,Hosein Gholami,TU Darmstadt,TU Darmstadt
,Segregating prompt and non-prompt production of charm hadrons in proton-proton collisions at the Large Hadron Collider using machine learning,Raghunath Sahoo,Indian Institute of Technology  Indore (IN),India
,Phase transition properties of rotating strongly interacting matter in a cylindrical geometry.,Pracheta Singha,west university of Timisoara,Italy
,Particle production in high-energy collisions: a perspective from nonadditive statistics,Trambak Bhattacharyya,Jan Kochanowski University,Italy
,Nuclear structure studies in high-energy $^{96}$Ru+$^{197}$Au and $^{96}$Zr+$^{197}$Au collisions,Maowu Nie,Shandong University (CN),China
,Advances in Balance Function Measurements,Claude Andre Pruneau,Wayne State University (US),USA
,Revealing light nuclei structure through collectivity with modern ab initio calculations in high-energy $^{16}$O+$^{16}$O collisions,Chunjian Zhang,Fudan University,Italy
,Revealing light nuclei structure through collectivity with modern ab initio calculations in high-energy $^{16}$O+$^{16}$O collisions,Lumeng Liu,Fudan University,Italy
,Quarkonium and open heavy-flavour measurements in the NA60+ experiment,Roberta Arnaldi,Universita e INFN Torino (IT),Italy
,New measures of longitudinal decorrelation of event-averaged transverse momentum in heavy ion collisions,Lu-Meng Liu,No affiliation,Unknown
,New measures of longitudinal decorrelation of event-averaged transverse momentum in heavy ion collisions,Chunjian Zhang,Fudan University,Italy
,Relativistic second-order spin hydrodynamics: A correlation function approach using Zubarev's non-equilibrium statistical operator,Abhishek Tiwari,Indian Institute of Technology Roorkee,Italy
,New insights into the analytic structure of correlation functions via kinetic theory,Robbe Brants,No affiliation,Unknown
,Flavor and path-length dependence of jet quenching from inclusive jet and γ-jet suppression,Agnieszka Ewa Ogrodnik,Charles University (CZ),CZ
,Flavor and path-length dependence of jet quenching from inclusive jet and γ-jet suppression,Martin Rybar,Charles University (CZ),CZ
,Flavor and path-length dependence of jet quenching from inclusive jet and γ-jet suppression,Martin Spousta,Charles University,Italy
,Speed of sound in superconducting 2SC phase with the Quark-Meson model,Mathias Pavely Nødtvedt,NTNU,NTNU
,The application of machine learning in holographic QCD,Xun Chen,University of South China,Italy
,Can high-p⊥ theory and data constrain η/s?,Bithika Karmakar,University of Wroclaw,Italy
,Discerning the transport coefficients and observables of a rotating QGP medium in the novel relaxation time approximation method,Shubhalaxmi Rath,Universidad de Tarapacá,Germany
,Impact of Open Heavy-Flavor Production on nCTEQ Nuclear PDFs,Jan Wissmann,Universität Münster,Italy
,Data-Driven Predictions for Small System Energy Loss,Coleridge Faraday,University of Cape Town (ZA),ZA
,The Power of the Tsallis-Thermometer as a QGP Indicator For Large And Small Collisional Systems,Gergely Gabor Barnafoldi,HUN-REN Wigner Research Centre for Physics (HU),HU
,Constraints on the Equation of State of Nuclear Matter from Systematically Comparing SMASH Calculations to FOPI and HADES Data,Lucia Anna Tarasovicova,Pavol Jozef Safarik University (SK),SK
,Spin Hall effects in a hot dense matter: different sources from collisions and self-energies,Shuo Fang,USTC,USA
,Triangular flow in Au + Au collisions at $\sqrt{s_{NN}}$ = 17.3 GeV from RHIC-STAR,Yuli Kong,Central China Normal University,UK
,Measurements of $\Lambda$($\bar{\Lambda}$) hyperons' local spin polarization in Au+Au collisions from the RHIC Beam Energy Scan-II,Qiang Hu,No affiliation,Unknown
,Recent studies of open charm production in small systems at LHCb,Jianqiao Wang,Tsinghua University (CN),China
,Charmonium production measurements in small systems at LHCb,Youen Kang,Tsinghua University (CN),China
,Bottomonium production measurements in small systems at LHCb,Chenzhi Dong,Tsinghua University (CN),China
,Precision Determination of Global Matter Properties with Updated HADES Data,Marvin Kohls,No affiliation,Unknown
,Investigation of NN and NY interaction using femtoscopy at HADES,Jędrzej Kołaś,Warsaw University of Technology,Italy
,Probing the properties of dense baryonic matter with collective flow measurements at HADES,Behruz Kardan Halvai,Johann-Wolfgang-Goethe Univ. (DE),Germany
,Cumulants of the multiplicity distributions of identified particles measured in heavy-ion collisions by HADES,Marvin Nabroth,No affiliation,Unknown
,sPHENIX measurements of collective behavior in small and large systems,Hao-Ren Jheng,Massachusetts Inst. of Technology (US),USA
,Shakhov collision model for relativistic fluids,Victor Eugen Ambrus,West University of Timisoara (RO),RO
,First Look at Dilepton Flow in Au+Au collisions at $\sqrt{s_{NN}}=2.23$ GeV with HADES,Sukyung Kim,Bergische Universtaet Wuppertal,Switzerland
,Jet Substructure and Non-Perturbative Effects at RHIC Energies,Zhuoheng Yang,Stony Brook University,Italy
,Effect of Coriolis forces on the transport coefficients of rotating nuclear matter,Ashutosh Dwibedi,Indian Institute of Technology Bhilai (IIT Bhilai),Italy
,OmniFold-HI: Advanced ML unfolding for heavy-ion data,Adam Takacs,Heidelberg University,Germany
,OmniFold-HI: Advanced ML unfolding for heavy-ion data,Alexandre Falcão,University of Bergen,Italy
,Quantum phase diagram of the two-color one-flavor QCD matrix model at strong coupling,Prasanjit Aich,"Indian Institute of Science, Bangalore",Italy
,Equation of State at finite density in external magnetic fields aiming for an experimental setup,Marc-André Petri,Bergische Universität Wuppertal,Italy
,Direct-photon production in inelastic and high-multiplicity \ proton--proton collisions at $\sqrt{s} =$ 13 TeV with ALICE,Hikari Murakami,Nagoya University (JP),Japan
,General Linblad equation for in-QGP quarkonia evolution,Aoumeur Daddi Hammou,Subatech,Switzerland
,Using an Innovative Event Shape Selection Method to Search for the Chiral Magnetic Effect with RHIC BES-II data at STAR,YUNSHAN CHENG,No affiliation,Unknown
,Dynamical constraints for pseudo-gauge transformation,Mykhailo Hontarenko,Jagiellonian University,Italy
,Boost-invariant spin hydrodynamics with spin feedback effects,Natalia Łygan,"Institute of Theoretical Physics, Jagiellonian University, Kraków",Italy
,The Silicon Tracking System of the E16 experiment at J-PARC: commissioning and results from the test beam,Dairon Rodriguez Garces,No affiliation,Unknown
,Elliptic flow and longitudinal polarization of hyperons in Run 3 Pb-Pb collisions with ALICE,Chiara De Martin,Universita e INFN Trieste (IT),Italy
,Resonances production in-and-out of jets in pp collisions at sqrt(s) = 13.6 TeV,Jimun Lee,Sejong University (KR),Korea
,Differential energy-energy correlators of inclusive jets in pp collisions with ALICE,Beatrice Liang-Gilman,University of California Berkeley (US),USA
,b-jet tagging in pp collisions using graph neural networks with the ALICE experiment,Changhwan Choi,Pusan National University (KR),Korea
,Measurement of the transverse momentum($j_T$) distributions of charged-particle jet fragments in minimum-bias and high multiplicity pp collisions at $\sqrt{s}$ = 13.6 TeV with ALICE,Jaehyeok Ryu,Pusan National University (KR),Korea
,The application of Hough transform for fast interaction vertex position estimation in heavy-ion collisions,Petr Balek,AGH University of Krakow (PL),PL
,Neutral Meson  and EM Calorimeter Calibrations Methods from RHIC to EIC,Justin Edward Frantz,No affiliation,Unknown
,Generalized thermodynamic relations for spin hydrodynamics,Zbigniew Drogosz,Jagiellonian University,Italy
,Smallest size of hot quark matter in pA collisions,Nikhil Hatwar,"Indian Institute of Technology - Bombay, Mumbai, India",Italy
,The weak magnetic field effect on dilepton polarization in heavy-ion collisions,Minghua Wei,Anhui University of Science and Technology,Italy
,The model study of flavor dependence for energy-energy correlation functions in pp collisions.,Hyungjun Lee,Sungkyunkwan University (KR),Korea
,Investigating the Antishadowing Effect in Nuclear PDFs through Dijet Nuclear Modification Factor R_{pA} in p-Pb Collisions Using PYTHIA and POWHEG,Dongguk Kim,Sungkyunkwan University (KR),Korea
,Sensitivity Study of Dark Scalar and Dark Vector Particles in Rare Decay Channels at HIAF,Zaiba Mushtaq,"Institute of Modern Physics, CAS/University of Chinese Academy of Sciences, Beijing China",Germany
,Dirac fermions under imaginary rotation,Tudor Pătuleanu,West University of Timișoara,Italy
,A 2+1 Dimensional Collective Model in Kinetic Theory Using the Relaxation Time Approximation.,Seyed Farid Taghavi,Technische Universitaet Muenchen (DE),Germany
,Development of a versatile preamplifier with extensive readout capabilities for high-energy nuclear experiments.,Koshiro Yoda,University of Tsukuba (JP),Japan
,Studying chiral partner resonances $\mathrm{K^*}$ and $\mathrm{K_1}$ to investigate chiral symmetry restoration with ALICE,Marta Urioni,Universita e INFN Trieste (IT),Italy
,Analyzing the multiplicity and transverse spherocity dependence of event-by-event ⟨pT⟩ fluctuations using PYTHIA8 and HERWIG7 models in pp collisions at √s = 13 TeV,Tanu Gahlaut,IIT- Indian Institute of Technology (IN),India
,Determining proto-neutron stars' minimal mass with a chirally constrained nuclear equation of state,Selina Kunkel,No affiliation,Unknown
,On the local thermodynamic relations in relativistic spin hydrodynamics,Rajeev Singh,"West University of Timisoara, Romania",Italy
,Universal Expansion Anisotropy from Cold Atoms to Hot Quark-Gluon Plasma,Ke Li,Huzhou University,Italy
,Neutron stars with dark matter - the dark siblings of hybrid stars,Sarah Louisa Pitz,Goethe Universität Frankfurt am Main,France
,In-medium bottomonium properties from lattice NRQCD calculations with extended meson operators,Wei-Ping Huang,Central China Normal University,UK
,Color-superconducting phases in compact stars within the RG-consistent NJL model,Dr. ISHFAQ AHMAD RATHER,"Institute for Theoretical Physics, Goethe University, 60438 Frankfurt am Main, Germany",Germany
,Characterize Baryon Interactions with Bayesian Inference Analysis to Femtocopic Correlations,Yu Hu,No affiliation,Unknown
,The order of the chiral phase transition in massless many-flavor lattice QCD,Jan Philipp Klinger,Goethe University Frankfurt,France
,Non-perturbative insights into the spectral properties of QCD within the chiral crossover region,Peter Lowdon,Goethe University Frankfurt,France
,Deformation of Jets Induced by Ambient Medium Flow,Rainer Fries,Texas A&M University,Italy
,Thermalization of the longitudinally boost invariant Quark-Gluon Plasma,Sergio Barrera Cabodevila,Instituto Galego de Física de Altas Enerxías - Universidade de Santiago de Compostela,Germany
,SUBA-Jet: A New Coherent Jet Energy Loss Model for Heavy-Ion Collisions,Alexander Lind,LNF INFN,Italy
,Heavy flavor angular correlations as a direct probe of the glasma,Dana Avramescu,University of Jyväskylä,Italy
,Azimuthal Asymmetries of the multiple interactions in Ultra-Peripheral heavy ion Collisions,Lei Wang,Shandong University,Italy
,New Tool to Detect Inhomogeneous Chiral Symmetry Breaking,Theo Motta,Justus Leibig University Gießen,USA
,Uncovering Energy Loss in Small Systems via the Tau-Algorithm,Liliana Apolinario,LIP (PT),PT
,The net-baryon number and Polyakov loop susceptibilities and their scaling at the deconfinement critical point,Michał Szymański,University of Wroclaw,Italy
,Enhancing Bayesian parameter estimation by simultaneously adapting to multiple energy-scales with RHIC and LHC data,Maxim Virta,University of Jyväskylä,Italy
,"Unlocking ``imprints"" of conserved charges in the initial state of high-energy collisions with dissipative hydrodynamics evolution",Dekrayat Almaalol,University of Illinois Urbana-Champaign,Italy
,Studying chirality imbalance with SU(2) non-Abelian gauge field theory via quantum compute,Xingyu Guo,South China Normal Univeristy,China
,Nuclear structure from isobar data:  a systematic initial-state study,João Paulo Picchetti,No affiliation,Unknown
,Relativistic Hydrodynamics under Rotation: Prospects & Limitations from a Holographic Perspective,Matthias Kaminski,No affiliation,Unknown
,Spectator nucleons in the Zero Degree Calorimeter (ZDC),Olaf Massen,Nikhef National institute  for subatomic physics (NL),NL
,Dileptons as Probe of the Preequilibrium: Theory and Observables,Mika Spier,No affiliation,Unknown
,A new Poincare covariant N-body transport approach for interacting wave packets,Asanosuke Jinno,No affiliation,Unknown
,Dielectron Performance of the CBM Experiment,Adrian Meyer-Ahrens,No affiliation,Unknown
,New-RTA-based viscous correction for particlization in heavy-ion collisions,Gabriel Soares Rocha,No affiliation,Unknown
,Tuning of new hadronisation models in PYTHIA 8.311: Rope Hadronisation and Close Packing,Lorenzo Bernardinis,Universita e INFN Trieste (IT),Italy
,Modeling charged-particle spectra in high-energy pp collisions with deep neural networks,Maria Alejandra Calmon Behling,Goethe University Frankfurt (DE),Germany
,Heavy Quark dynamics in a magnetized medium,Aritra Bandyopadhyay,No affiliation,Unknown
,Measurement of the N-point energy-energy correlator from the collinear limit to the back-to-back limit in e+e- collisions at 91 GeV with the ALEPH experiment,Yen-Jie Lee,Massachusetts Inst. of Technology (US),USA
,Visualizations of heavy-ion collisions based on a transport and a hybrid approach,Robin Sattler,No affiliation,Unknown
,The Micro Vertex Detector for the CBM Experiment at FAIR,Franz Matejcek,"Goethe-Universität Frankfurt, Institut für Kernphysik",France
,Tilted emitting source in the heavy-ion collisions,Michael Lisa,No affiliation,Unknown
,Tilted emitting source in the heavy-ion collisions,Yevheniia Khyzhniak,No affiliation,Unknown
,The Fluctuating Boltzmann Equation and Short-Range Charge Correlations in Relativistic Heavy-Ion Collisions,Li Yan,Fudan University,Italy
,Hadron resonance gas is bad model for hadronic matter in strong magnetic field,Pasi Huovinen,University of Wroclaw,Italy
,A global analysis of the shapes of Xe-129 and Pb-208 at the Large Hadron Collider,Govert Hugo Nijs,CERN,Switzerland
,Effects of sub-nucleonic fluctuations on the longitudinal structure of heavy-ion collisions,Oscar Jesús Garcia Montero,No affiliation,Unknown
,A new perspective on nuclear SIDIS and Drell-Yan data from dynamical TMD effects analysis,Weiyao Ke,Central China Normal University,UK
,Longitudinal dynamics of large and small systems from a 3D Bayesian calibration with RHIC top energy data,JETSCAPE Collaboration,No affiliation,Unknown
,Imaging event-by-event nuclear shapes in relativistic nuclear collisions,Chun Shen,Wayne State University,Italy
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Harri Niemi,University of Jyväskylä,Italy
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Henry Hirvonen,Vanderbilt University,Germany
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Jussi Auvinen,University of Jyväskylä,Italy
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Kari J. Eskola,University of Jyväskylä (FI),FI
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Mikko Kuha,No affiliation,Unknown
,Monte Carlo EKRT event generator for initializing 3+1 D fluid dynamics in high energy nuclear collisions,Yuuka Kanakubo,RIKEN iTHEMS,Japan
,Nuclear suppression in diffractive vector meson production within the color glass condensate framework,Hendrik Roch,Wayne State University,Italy
,Universality of scaled particle spectra in ultrarelativistic heavy-ion collisions,Fernando Gardim,Federal University of Alfenas,UK
,Neutron emission from the photon-induced reactions in UPC of heavy ions - impact of new ALICE data,Mariola Kłusek-Gawenda,IFJ PAS,IFJ PAS
,Charge fluctuations at LHC with local charge conservation as a signature of QGP,Jonathan Parra,University of Houston,USA
,Initial momentum and conserved charges to final flow,Matthew William Luzum,University of São Paulo,Italy
,Pre-hydrodynamic jet momentum broadening beyond the jet quenching parameter,Florian Lindenbauer,TU Wien,TU Wien
,BHAC-QGP: three-dimensional MHD simulations of relativistic heavy-ion collisions,Ashutosh Dash,No affiliation,Unknown
,The (3+1)D structure of the dilute Glasma,Kayran Schmidt,No affiliation,Unknown
,Microscopic study of non-Gaussian particle number fluctuations near the critical point,Volodymyr Kuznietsov,No affiliation,Unknown
,What happens in hydrodynamic simulations of heavy-ion collisions when causality is violated?,Lorenzo Gavassino,No affiliation,Unknown
,Perturbative high-energy evolution in the IP-Glasma initial state,Heikki Mäntysaari,University of Jyväskylä,Italy
,Long-range near-side correlation in e+e- collisions at 183-209 GeV with ALEPH archived data,Michael Joseph Peters,Massachusetts Inst. of Technology (US),USA
,The collectivity of transverse momentum fluctuations,Tribhuban Parida,IISER Berhampur,IISER Berhampur
,Transport Coefficients from pQCD to the Hadron Resonance Gas at finite BSQ densities,Isabella  Danhoni,No affiliation,Unknown
Plenary session 3,Experiment overview: STAR,Sooraj Radhakrishnan,Kent State University/Lawrence Berkeley National Laboratory,USA
Plenary session 2,Experiment overview: HADES,Hanna Zbroszczyk,Warsaw University of Technology (PL),PL
Plenary session 3,Experiment overview: sPHENIX,Christof Roland,Massachusetts Inst. of Technology (US),USA
Plenary session 3,Experiment overview: PHENIX,Roli Esha,"Center for Frontiers in Nuclear Science, Stony Brook University",France
Plenary session 3,Experiment overview: NA61,Katarzyna Grebieszkow,Warsaw University of Technology (PL),PL
Plenary session 3,Experiment overview: LHCb,Thomas Boettcher,Los Alamos National Laboratory (US),USA
